"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_48_rep_3.csv -T 1 90",,,,"Date:","21 Oct 2018 19:24:03 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.551,4.151,90.167,0.809,0.0,2.322,0.0,0.0,1540149843.375
4.167,7.292,84.896,0.0,0.0,3.646,802034.0,24494377.0,1540149844.376
2.551,9.184,81.633,1.531,0.0,5.102,792820.0,24118095.0,1540149845.376
3.535,8.081,82.323,0.0,0.0,6.061,776580.0,23624221.0,1540149846.376
3.046,9.645,82.234,0.0,0.0,5.076,741376.0,22409729.0,1540149847.376
3.665,7.853,84.293,0.0,0.0,4.188,783020.0,23641335.0,1540149848.379
4.040,8.081,82.828,0.0,0.0,5.051,791840.0,24284759.0,1540149849.376
5.473,7.960,79.602,0.0,0.0,6.965,794462.0,23816124.0,1540149850.376
4.167,5.208,85.938,0.0,0.0,4.688,648974.0,19900039.0,1540149851.376
4.455,8.911,81.188,0.0,0.0,5.446,733666.0,22349938.0,1540149852.376
3.141,9.948,84.817,0.0,0.0,2.094,803750.0,24241638.0,1540149853.376
3.030,9.596,82.323,0.0,0.0,5.051,811440.0,24739714.0,1540149854.376
4.211,10.0,83.158,0.0,0.0,2.632,801500.0,24390968.0,1540149855.376
2.564,9.231,84.103,0.0,0.0,4.103,791982.0,23888057.0,1540149856.376
4.478,9.950,80.597,0.0,0.0,4.975,771272.0,23510230.0,1540149857.376
3.535,9.091,84.343,0.0,0.0,3.030,671886.0,20449499.0,1540149858.376
4.167,6.771,85.417,0.0,0.0,3.646,738996.0,22277552.0,1540149859.376
3.175,9.524,84.127,0.0,0.0,3.175,805280.0,24543909.0,1540149860.376
4.500,9.500,81.500,0.0,0.0,4.500,780686.0,23720915.0,1540149861.376
5.528,9.045,79.899,0.0,0.0,5.528,821480.0,24819409.0,1540149862.376
3.590,7.179,84.103,0.0,0.0,5.128,732060.0,22324341.0,1540149863.376
3.608,9.278,84.021,0.0,0.0,3.093,804506.0,24467502.0,1540149864.376
5.528,10.050,80.402,0.0,0.0,4.020,807812.0,24413170.0,1540149865.376
4.145,9.845,82.902,0.0,0.0,3.109,759500.0,23104370.0,1540149866.376
4.639,7.216,83.505,0.0,0.0,4.639,842318.0,25638854.0,1540149867.376
3.518,10.553,81.910,0.0,0.0,4.020,757322.0,22866394.0,1540149868.376
4.082,9.184,83.673,0.0,0.0,3.061,685042.0,20837835.0,1540149869.376
3.723,5.851,86.170,0.0,0.0,4.255,709676.0,21594244.0,1540149870.376
3.553,10.152,81.726,0.0,0.0,4.569,824336.0,24846631.0,1540149871.376
5.051,11.111,79.293,0.0,0.0,4.545,765756.0,23280109.0,1540149872.376
4.061,9.137,82.234,0.0,0.0,4.569,765592.0,23298232.0,1540149873.376
2.660,6.915,86.170,0.0,0.0,4.255,811376.0,24518391.0,1540149874.376
5.612,8.673,81.633,0.0,0.0,4.082,827886.0,25123201.0,1540149875.376
4.663,8.290,82.902,1.036,0.0,3.109,797654.0,24313669.0,1540149876.376
4.639,8.247,83.505,0.0,0.0,3.608,762796.0,23053038.0,1540149877.376
3.590,7.179,85.641,0.0,0.0,3.590,698666.0,21250960.0,1540149878.376
3.465,8.416,81.683,0.0,0.0,6.436,835488.0,25431337.0,1540149879.376
4.167,7.812,82.812,0.0,0.0,5.208,805540.0,24339972.0,1540149880.376
