"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_2_rep_1.csv -T 1 90",,,,"Date:","21 Oct 2018 18:12:20 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
7.484,8.825,54.551,28.533,0.0,0.607,0.0,0.0,1540145540.425
10.345,19.540,60.920,8.046,0.0,1.149,44280521.0,1432200.0,1540145541.425
8.434,22.892,65.060,0.0,0.0,3.614,42629180.0,1384197.0,1540145542.425
9.195,21.839,57.471,6.897,0.0,4.598,41605028.0,1348602.0,1540145543.425
11.236,20.225,62.921,3.371,0.0,2.247,42242789.0,1366466.0,1540145544.425
17.582,18.681,56.044,6.593,0.0,1.099,42067501.0,1366225.0,1540145545.425
8.791,21.978,63.736,3.297,0.0,2.198,44613881.0,1445220.0,1540145546.425
9.302,19.767,62.791,5.814,0.0,2.326,42857349.0,1385300.0,1540145547.425
8.434,20.482,63.855,4.819,0.0,2.410,43148750.0,1400783.0,1540145548.425
13.636,25.0,53.409,5.682,0.0,2.273,41784278.0,1352054.0,1540145549.425
10.227,22.727,57.955,6.818,0.0,2.273,42221322.0,1367520.0,1540145550.425
11.111,20.0,63.333,3.333,0.0,2.222,42274670.0,1370477.0,1540145551.426
7.865,21.348,59.551,8.989,0.0,2.247,44605084.0,1443400.0,1540145552.430
10.465,18.605,63.953,3.488,0.0,3.488,43817588.0,1418126.0,1540145553.425
11.236,22.472,53.933,8.989,0.0,3.371,41910938.0,1361663.0,1540145554.425
8.696,22.826,61.957,4.348,0.0,2.174,44968290.0,1454880.0,1540145555.425
7.692,23.077,59.341,7.692,0.0,2.198,44434994.0,1437306.0,1540145556.425
11.905,17.857,63.095,3.571,0.0,3.571,43509109.0,1412131.0,1540145557.425
9.091,26.136,55.682,6.818,0.0,2.273,43869706.0,1420040.0,1540145558.425
10.0,18.889,64.444,5.556,0.0,1.111,40381843.0,1305842.0,1540145559.425
10.227,26.136,54.545,6.818,0.0,2.273,42616530.0,1382797.0,1540145560.426
9.756,28.049,57.317,2.439,0.0,2.439,41818948.0,1354014.0,1540145561.425
10.870,22.826,56.522,6.522,0.0,3.261,45362151.0,1467060.0,1540145562.425
12.088,21.978,60.440,3.297,0.0,2.198,43932563.0,1422658.0,1540145563.425
13.095,25.0,52.381,8.333,0.0,1.190,42445073.0,1376659.0,1540145564.425
9.091,23.864,62.500,3.409,0.0,1.136,43185883.0,1398600.0,1540145565.425
10.227,23.864,57.955,6.818,0.0,1.136,44505464.0,1439060.0,1540145566.428
10.870,20.652,59.783,4.348,0.0,4.348,42573123.0,1382937.0,1540145567.425
9.302,20.930,61.628,8.140,0.0,0.0,44033895.0,1424566.0,1540145568.425
11.494,22.989,54.023,6.897,0.0,4.598,40763209.0,1319080.0,1540145569.425
12.500,26.136,52.273,6.818,0.0,2.273,39574919.0,1285151.0,1540145570.426
16.092,24.138,54.023,3.448,0.0,2.299,42311975.0,1369200.0,1540145571.425
7.778,20.0,64.444,6.667,0.0,1.111,42688401.0,1381240.0,1540145572.425
8.333,19.048,66.667,4.762,0.0,1.190,42901873.0,1393157.0,1540145573.425
5.495,27.473,58.242,6.593,0.0,2.198,43501734.0,1407000.0,1540145574.425
8.537,19.512,67.073,3.659,0.0,1.220,44687129.0,1446060.0,1540145575.425
11.111,23.333,56.667,4.444,0.0,4.444,41859168.0,1357737.0,1540145576.425
8.235,17.647,67.059,4.706,0.0,2.353,43873917.0,1421420.0,1540145577.425
7.778,17.778,64.444,7.778,0.0,2.222,44038340.0,1423940.0,1540145578.425
11.494,25.287,54.023,3.448,0.0,5.747,41158457.0,1336037.0,1540145579.425
11.765,29.412,44.706,7.059,0.0,7.059,41074840.0,1330206.0,1540145580.425
7.595,31.646,51.899,3.797,0.0,5.063,40033525.0,1293892.0,1540145581.429
8.861,31.646,49.367,6.329,0.0,3.797,39544652.0,1284377.0,1540145582.425
12.644,25.287,49.425,6.897,0.0,5.747,40672550.0,1316840.0,1540145583.425
14.118,31.765,48.235,2.353,0.0,3.529,40278740.0,1302980.0,1540145584.425
15.294,18.824,55.294,8.235,0.0,2.353,41664772.0,1352837.0,1540145585.425
11.364,17.045,68.182,3.409,0.0,0.0,45652034.0,1477000.0,1540145586.425
13.415,21.951,54.878,8.537,0.0,1.220,40944898.0,1323980.0,1540145587.425
10.465,24.419,56.977,2.326,0.0,5.814,41210576.0,1338511.0,1540145588.425
10.345,18.391,57.471,10.345,0.0,3.448,39962895.0,1292480.0,1540145589.427
12.048,22.892,57.831,3.614,0.0,3.614,42913403.0,1388660.0,1540145590.425
11.250,25.0,53.750,8.750,0.0,1.250,41318779.0,1341357.0,1540145591.425
14.286,26.190,52.381,2.381,0.0,4.762,40836701.0,1321446.0,1540145592.425
12.941,18.824,57.647,7.059,0.0,3.529,42082982.0,1362892.0,1540145593.425
9.524,26.190,60.714,2.381,0.0,1.190,42901989.0,1391757.0,1540145594.425
8.046,20.690,62.069,6.897,0.0,2.299,44509869.0,1440180.0,1540145595.425
6.818,23.864,64.773,2.273,0.0,2.273,44998792.0,1457540.0,1540145596.425
9.756,19.512,62.195,6.098,0.0,2.439,42828444.0,1389097.0,1540145597.425
17.722,25.316,53.165,1.266,0.0,2.532,39685938.0,1285340.0,1540145598.425
11.765,20.0,61.176,5.882,0.0,1.176,42941776.0,1388230.0,1540145599.426
12.500,27.273,50.0,4.545,0.0,5.682,42971062.0,1395471.0,1540145600.425
8.989,23.596,58.427,4.494,0.0,4.494,44384532.0,1435420.0,1540145601.425
9.302,20.930,65.116,3.488,0.0,1.163,43493267.0,1407420.0,1540145602.425
11.364,22.727,55.682,6.818,0.0,3.409,39762763.0,1292867.0,1540145603.426
10.309,20.619,62.887,4.124,0.0,2.062,42104356.0,1362480.0,1540145604.425
6.818,23.864,60.227,5.682,0.0,3.409,43579775.0,1411480.0,1540145605.425
12.222,17.778,62.222,4.444,0.0,3.333,40453495.0,1312671.0,1540145606.425
12.791,18.605,58.140,6.977,0.0,3.488,42091445.0,1362620.0,1540145607.425
10.390,23.377,61.039,3.896,0.0,1.299,42498071.0,1376340.0,1540145608.425
9.091,26.136,52.273,5.682,0.0,6.818,41785713.0,1354723.0,1540145609.425
10.112,23.596,59.551,4.494,0.0,2.247,43302907.0,1402734.0,1540145610.425
10.588,25.882,57.647,3.529,0.0,2.353,42666797.0,1379700.0,1540145611.425
11.905,22.619,58.333,7.143,0.0,0.0,42854388.0,1390423.0,1540145612.429
9.302,22.093,61.628,4.651,0.0,2.326,44998821.0,1457754.0,1540145613.425
12.941,21.176,54.118,7.059,0.0,4.706,41291232.0,1335690.0,1540145614.425
11.111,25.556,57.778,3.333,0.0,2.222,44247414.0,1435643.0,1540145615.425
10.976,30.488,47.561,6.098,0.0,4.878,41541798.0,1343514.0,1540145616.425
13.636,28.409,46.591,4.545,0.0,6.818,41702051.0,1350580.0,1540145617.425
7.059,27.059,56.471,5.882,0.0,3.529,44488485.0,1438660.0,1540145618.426
13.636,19.318,61.364,2.273,0.0,3.409,42715944.0,1386437.0,1540145619.424
10.465,22.093,54.651,8.140,0.0,4.651,42005861.0,1359710.0,1540145620.425
9.524,21.429,63.095,3.571,0.0,2.381,43542215.0,1409940.0,1540145621.425
17.442,24.419,46.512,4.651,0.0,6.977,41210311.0,1336597.0,1540145622.425
9.756,24.390,58.537,4.878,0.0,2.439,42874457.0,1388520.0,1540145623.425
13.483,26.966,51.685,5.618,0.0,2.247,43181576.0,1397060.0,1540145624.425
9.877,19.753,61.728,4.938,0.0,3.704,40380596.0,1309941.0,1540145625.425
6.818,23.864,60.227,6.818,0.0,2.273,44055598.0,1425896.0,1540145626.425
7.059,17.647,70.588,3.529,0.0,1.176,44410407.0,1436614.0,1540145627.425
9.195,19.540,59.770,6.897,0.0,4.598,42767666.0,1388257.0,1540145628.425
2.198,9.890,80.220,6.593,0.0,1.099,21762734.0,705288.0,1540145629.425
2.083,5.208,80.208,12.500,0.0,0.0,10340587.0,335424.0,1540145630.425
