"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_16_rep_1.csv -T 1 80",,,,"Date:","06 Dec 2018 07:22:46 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
4.349,4.923,86.110,2.266,0.0,2.353,0.0,0.0,1544080966.464
1.015,2.538,95.939,0.0,0.0,0.508,4179997.0,149694.0,1544080967.465
1.020,2.041,96.429,0.0,0.0,0.510,4412989.0,153941.0,1544080968.465
1.005,2.513,95.980,0.0,0.0,0.503,4126738.0,144482.0,1544080969.465
1.508,2.010,95.477,0.0,0.0,1.005,4095626.0,146285.0,1544080970.465
0.510,1.020,97.449,0.0,0.0,1.020,4187907.0,145155.0,1544080971.465
1.010,2.020,95.960,0.0,0.0,1.010,4440494.0,153930.0,1544080972.465
1.015,2.030,95.431,0.0,0.0,1.523,4154792.0,148407.0,1544080973.465
1.015,1.015,97.462,0.0,0.0,0.508,3599081.0,125718.0,1544080974.465
0.505,2.020,96.970,0.0,0.0,0.505,3700023.0,128903.0,1544080975.465
0.513,1.538,97.436,0.0,0.0,0.513,4206731.0,150030.0,1544080976.465
1.523,0.508,96.954,0.0,0.0,1.015,4271551.0,148150.0,1544080977.465
1.515,2.020,94.949,1.010,0.0,0.505,4101379.0,142651.0,1544080978.465
1.015,1.523,96.954,0.0,0.0,0.508,4249946.0,147347.0,1544080979.464
1.026,2.564,95.385,0.0,0.0,1.026,3962716.0,147050.0,1544080980.465
1.036,0.0,98.446,0.0,0.0,0.518,4280232.0,148475.0,1544080981.465
1.005,2.010,95.980,0.0,0.0,1.005,4432990.0,154201.0,1544080982.465
1.531,2.551,95.408,0.0,0.0,0.510,4427572.0,157563.0,1544080983.465
2.0,1.500,95.500,0.0,0.0,1.0,4081171.0,143520.0,1544080984.465
0.513,0.513,97.949,0.0,0.0,1.026,4154840.0,144651.0,1544080985.465
1.020,1.531,96.939,0.0,0.0,0.510,4036398.0,144455.0,1544080986.465
1.015,2.030,96.447,0.0,0.0,0.508,4232567.0,146833.0,1544080987.465
1.005,2.010,94.975,0.0,0.0,2.010,4138792.0,144188.0,1544080988.465
2.030,1.523,95.939,0.0,0.0,0.508,4340886.0,154667.0,1544080989.465
0.0,2.030,96.954,0.0,0.0,1.015,4208202.0,145852.0,1544080990.465
1.015,1.523,96.954,0.0,0.0,0.508,4151282.0,144877.0,1544080991.465
1.020,1.020,96.939,0.0,0.0,1.020,3915410.0,139997.0,1544080992.465
1.026,0.513,97.436,0.0,0.0,1.026,3785490.0,131264.0,1544080993.465
0.508,2.030,96.954,0.0,0.0,0.508,4048872.0,140795.0,1544080994.465
2.030,0.508,96.447,0.0,0.0,1.015,3870593.0,138444.0,1544080995.465
0.508,1.015,97.462,0.0,0.0,1.015,3760860.0,130307.0,1544080996.465
1.015,1.015,96.447,0.0,0.0,1.523,4436008.0,153557.0,1544080997.465
3.030,1.515,94.949,0.0,0.0,0.505,4140733.0,148827.0,1544080998.465
0.505,2.020,96.970,0.0,0.0,0.505,4086983.0,141621.0,1544080999.465
0.505,1.515,96.970,0.0,0.0,1.010,3570943.0,95441.0,1544081000.465
0.508,1.523,96.954,0.0,0.0,1.015,3266754.0,100415.0,1544081001.465
0.0,1.005,97.990,0.0,0.0,1.005,2232157.0,83178.0,1544081002.465
0.513,2.051,97.436,0.0,0.0,0.0,3841640.0,181260.0,1544081003.465
1.010,0.505,97.980,0.0,0.0,0.505,2009631.0,64216.0,1544081004.465
1.493,2.488,94.527,0.0,0.0,1.493,2985327.0,119292.0,1544081005.465
1.010,2.020,96.465,0.0,0.0,0.505,4587552.0,159084.0,1544081006.465
1.005,2.010,95.980,0.0,0.0,1.005,4356501.0,151313.0,1544081007.465
1.515,2.020,95.455,0.0,0.0,1.010,4134642.0,147503.0,1544081008.465
0.510,1.531,96.429,1.020,0.0,0.510,4306811.0,150597.0,1544081009.465
0.508,1.015,96.954,0.0,0.0,1.523,4262647.0,148261.0,1544081010.465
1.015,1.015,96.954,0.0,0.0,1.015,4208191.0,149946.0,1544081011.465
0.510,1.020,97.449,0.0,0.0,1.020,4510794.0,156957.0,1544081012.465
1.508,2.010,94.975,0.0,0.0,1.508,4415618.0,153969.0,1544081013.465
1.500,2.0,95.500,0.0,0.0,1.0,4104467.0,143622.0,1544081014.465
1.523,2.030,96.447,0.0,0.0,0.0,4172299.0,150278.0,1544081015.465
0.510,1.020,97.959,0.0,0.0,0.510,4307599.0,149453.0,1544081016.465
0.513,1.026,97.949,0.0,0.0,0.513,4004680.0,139075.0,1544081017.465
1.515,2.020,95.455,0.0,0.0,1.010,4312067.0,153744.0,1544081018.465
0.508,1.523,96.954,0.0,0.0,1.015,3923661.0,136553.0,1544081019.465
1.010,1.010,96.970,0.0,0.0,1.010,4055233.0,140792.0,1544081020.465
1.508,2.010,95.477,0.0,0.0,1.005,4366562.0,156074.0,1544081021.465
1.015,2.030,96.954,0.0,0.0,0.0,4047909.0,140674.0,1544081022.465
1.015,1.523,96.447,0.0,0.0,1.015,4411519.0,153026.0,1544081023.465
1.515,1.010,95.455,0.0,0.0,2.020,4164934.0,148598.0,1544081024.465
1.015,1.015,97.462,0.0,0.0,0.508,3955553.0,137447.0,1544081025.465
0.503,3.015,95.980,0.0,0.0,0.503,4642161.0,161279.0,1544081026.465
1.523,1.523,96.447,0.0,0.0,0.508,4453445.0,158810.0,1544081027.465
0.510,1.531,96.939,0.0,0.0,1.020,4303135.0,149147.0,1544081028.465
0.508,1.523,96.954,0.0,0.0,1.015,4319019.0,150310.0,1544081029.465
1.005,2.513,95.477,0.0,0.0,1.005,4045000.0,130969.0,1544081030.465
0.0,1.026,98.974,0.0,0.0,0.0,3209330.0,122088.0,1544081031.465
0.510,0.510,98.469,0.0,0.0,0.510,2756575.0,102284.0,1544081032.465
2.030,1.015,96.447,0.0,0.0,0.508,2685871.0,90972.0,1544081033.465
0.0,1.515,97.980,0.0,0.0,0.505,2585487.0,57804.0,1544081034.465
1.515,1.515,96.465,0.0,0.0,0.505,4146296.0,191304.0,1544081035.465
1.493,2.488,95.522,0.0,0.0,0.498,4423051.0,153763.0,1544081036.465
1.523,1.015,96.447,0.0,0.0,1.015,3780713.0,136810.0,1544081037.465
1.515,2.020,95.455,0.0,0.0,1.010,4358132.0,151304.0,1544081038.465
0.510,1.020,96.429,1.531,0.0,0.510,4457668.0,154758.0,1544081039.465
1.515,3.535,93.939,0.0,0.0,1.010,4190706.0,156755.0,1544081040.465
0.0,2.041,97.449,0.0,0.0,0.510,4441814.0,154078.0,1544081041.465
