"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_40_rep_1.csv -T 1 80",,,,"Date:","06 Dec 2018 07:57:11 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
8.321,15.008,70.406,2.359,0.0,3.907,0.0,0.0,1544083031.722
20.732,53.659,6.098,0.0,0.0,19.512,66327749.0,2128418.0,1544083032.727
16.667,53.571,8.333,0.0,0.0,21.429,68123984.0,2208023.0,1544083033.726
16.867,54.217,4.819,0.0,0.0,24.096,68516528.0,2218934.0,1544083034.726
19.277,61.446,8.434,0.0,0.0,10.843,69049831.0,2242240.0,1544083035.723
21.429,60.714,2.381,0.0,0.0,15.476,68107331.0,2198639.0,1544083036.724
20.482,59.036,1.205,0.0,0.0,19.277,67718630.0,2192370.0,1544083037.725
20.0,56.471,2.353,0.0,0.0,21.176,70640009.0,2289494.0,1544083038.723
22.892,59.036,1.205,0.0,0.0,16.867,69044805.0,2232375.0,1544083039.723
15.116,54.651,4.651,0.0,0.0,25.581,67471994.0,2183094.0,1544083040.726
17.073,62.195,2.439,0.0,0.0,18.293,69103886.0,2235446.0,1544083041.728
22.619,58.333,1.190,0.0,0.0,17.857,65973090.0,2135498.0,1544083042.730
20.238,57.143,2.381,0.0,0.0,20.238,66742035.0,2162497.0,1544083043.728
15.854,60.976,2.439,0.0,0.0,20.732,68713200.0,2224114.0,1544083044.729
23.457,59.259,0.0,0.0,0.0,17.284,65950122.0,2135534.0,1544083045.723
24.096,54.217,2.410,0.0,0.0,19.277,67913356.0,2198387.0,1544083046.723
14.118,42.353,21.176,0.0,0.0,22.353,55300650.0,1814092.0,1544083047.724
19.512,51.220,13.415,0.0,0.0,15.854,60397514.0,1985636.0,1544083048.723
22.093,46.512,9.302,0.0,0.0,22.093,60650730.0,1952769.0,1544083049.724
12.658,49.367,17.722,0.0,0.0,20.253,54768259.0,1788480.0,1544083050.723
11.494,44.828,27.586,0.0,0.0,16.092,55737953.0,1842100.0,1544083051.723
7.609,20.652,67.391,0.0,0.0,4.348,32326959.0,1045451.0,1544083052.723
21.951,59.756,2.439,0.0,0.0,15.854,68520498.0,2210178.0,1544083053.725
21.176,55.294,2.353,0.0,0.0,21.176,70687896.0,2286834.0,1544083054.728
22.222,59.259,0.0,0.0,0.0,18.519,65316312.0,2118141.0,1544083055.724
21.951,57.317,6.098,0.0,0.0,14.634,67143441.0,2173586.0,1544083056.725
25.0,57.143,0.0,0.0,0.0,17.857,68605547.0,2221358.0,1544083057.729
22.989,57.471,1.149,0.0,0.0,18.391,66125126.0,2141233.0,1544083058.724
20.988,61.728,2.469,0.0,0.0,14.815,69917217.0,2261914.0,1544083059.729
17.500,61.250,3.750,0.0,0.0,17.500,66643044.0,2171466.0,1544083060.723
19.512,57.317,2.439,0.0,0.0,20.732,68247965.0,2198245.0,1544083061.726
21.951,53.659,1.220,0.0,0.0,23.171,67736251.0,2189040.0,1544083062.723
16.867,60.241,2.410,0.0,0.0,20.482,69510686.0,2248754.0,1544083063.726
20.0,57.647,1.176,0.0,0.0,21.176,66076498.0,2141935.0,1544083064.724
20.238,53.571,2.381,0.0,0.0,23.810,70284451.0,2279978.0,1544083065.724
19.048,57.143,1.190,0.0,0.0,22.619,67794527.0,2187154.0,1544083066.727
20.930,54.651,1.163,0.0,0.0,23.256,66150852.0,2144213.0,1544083067.726
18.293,54.878,2.439,0.0,0.0,24.390,67589572.0,2190160.0,1544083068.723
20.988,53.086,3.704,0.0,0.0,22.222,69943786.0,2261560.0,1544083069.723
22.892,54.217,2.410,0.0,0.0,20.482,61234760.0,1986965.0,1544083070.729
26.829,56.098,2.439,0.0,0.0,14.634,67416055.0,2184626.0,1544083071.723
15.0,53.750,5.0,0.0,0.0,26.250,66838755.0,2162890.0,1544083072.723
22.892,59.036,1.205,0.0,0.0,16.867,67201345.0,2174769.0,1544083073.729
24.691,59.259,1.235,0.0,0.0,14.815,69904560.0,2266394.0,1544083074.723
21.951,58.537,4.878,0.0,0.0,14.634,67255731.0,2174546.0,1544083075.723
20.732,57.317,3.659,0.0,0.0,18.293,66206899.0,2142515.0,1544083076.729
22.892,49.398,3.614,0.0,0.0,24.096,65365848.0,2112656.0,1544083077.723
22.353,56.471,1.176,0.0,0.0,20.0,71085747.0,2315320.0,1544083078.723
22.892,55.422,0.0,0.0,0.0,21.687,63205568.0,2037573.0,1544083079.723
19.048,54.762,4.762,0.0,0.0,21.429,69212263.0,2239226.0,1544083080.725
17.073,51.220,3.659,0.0,0.0,28.049,66685128.0,2155794.0,1544083081.723
24.096,53.012,2.410,0.0,0.0,20.482,66001839.0,2138088.0,1544083082.726
