"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_4_rep_3.csv -T 1 90",,,,"Date:","23 Oct 2018 12:20:17 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
4.473,4.704,83.913,3.389,0.0,3.521,0.0,0.0,1540297217.238
4.167,5.208,84.375,3.646,0.0,2.604,884698.0,26324378.0,1540297218.239
5.076,5.076,87.817,0.0,0.0,2.030,834300.0,24995607.0,1540297219.239
4.040,5.051,88.384,0.0,0.0,2.525,847560.0,25392773.0,1540297220.239
2.551,7.143,84.694,1.020,0.0,4.592,842727.0,24998628.0,1540297221.239
1.554,4.663,90.674,0.0,0.0,3.109,834496.0,24999770.0,1540297222.239
2.051,4.103,89.744,0.0,0.0,4.103,834540.0,25002877.0,1540297223.239
3.030,5.051,87.879,0.0,0.0,4.040,840076.0,24998778.0,1540297224.239
1.554,6.218,90.155,0.0,0.0,2.073,834494.0,24998562.0,1540297225.239
2.577,6.186,88.660,0.0,0.0,2.577,828692.0,24853150.0,1540297226.239
3.093,5.155,86.598,2.577,0.0,2.577,840356.0,24994581.0,1540297227.239
1.579,5.263,90.0,0.0,0.0,3.158,851698.0,25520063.0,1540297228.239
3.553,3.553,88.832,0.0,0.0,4.061,835940.0,25023775.0,1540297229.239
2.073,5.699,89.119,0.0,0.0,3.109,840076.0,24998796.0,1540297230.239
2.577,4.124,90.206,0.0,0.0,3.093,833140.0,24964976.0,1540297231.239
2.513,7.035,87.940,0.0,0.0,2.513,834400.0,25015325.0,1540297232.239
3.125,4.688,89.583,0.0,0.0,2.604,841556.0,25022416.0,1540297233.239
2.632,3.684,91.579,0.0,0.0,2.105,833840.0,24981635.0,1540297234.239
2.525,4.545,86.364,2.525,0.0,4.040,834960.0,25015445.0,1540297235.241
2.030,6.091,87.310,0.0,0.0,4.569,840638.0,25003687.0,1540297236.239
3.061,5.102,88.776,0.0,0.0,3.061,834416.0,24997076.0,1540297237.239
1.538,5.128,89.231,0.0,0.0,4.103,834424.0,25001322.0,1540297238.239
2.591,3.109,89.637,0.0,0.0,4.663,840076.0,24998706.0,1540297239.239
1.546,5.670,89.691,0.0,0.0,3.093,834634.0,25002727.0,1540297240.239
3.535,4.545,87.879,0.0,0.0,4.040,834400.0,24998390.0,1540297241.239
2.083,3.125,91.146,0.0,0.0,3.646,840076.0,24998584.0,1540297242.239
2.041,6.122,88.265,0.0,0.0,3.571,833980.0,25002833.0,1540297243.239
2.062,4.124,88.144,2.062,0.0,3.608,834960.0,24998561.0,1540297244.239
2.062,5.155,89.691,0.0,0.0,3.093,840076.0,24998658.0,1540297245.239
3.077,5.128,89.231,0.0,0.0,2.564,834478.0,24999959.0,1540297246.239
2.051,5.128,89.744,0.0,0.0,3.077,834540.0,25002758.0,1540297247.239
3.158,4.211,88.947,0.0,0.0,3.684,839280.0,24969418.0,1540297248.239
3.483,5.473,86.567,0.0,0.0,4.478,835536.0,25030730.0,1540297249.239
2.618,3.665,91.623,0.0,0.0,2.094,834400.0,24998519.0,1540297250.239
2.591,3.109,90.155,0.0,0.0,4.145,839756.0,24998506.0,1540297251.239
2.564,4.615,87.692,1.538,0.0,3.590,834860.0,25002730.0,1540297252.239
3.590,5.128,86.154,2.564,0.0,2.564,834400.0,24998576.0,1540297253.239
2.564,5.641,89.231,0.0,0.0,2.564,834400.0,24998549.0,1540297254.239
2.083,4.688,90.104,0.0,0.0,3.125,840232.0,25001425.0,1540297255.239
3.093,4.639,89.175,0.0,0.0,3.093,834260.0,24998615.0,1540297256.239
1.053,4.737,91.579,0.0,0.0,2.632,834680.0,25002808.0,1540297257.239
2.139,2.674,91.979,0.0,0.0,3.209,833866.0,24837860.0,1540297258.239
3.077,4.103,89.744,0.0,0.0,3.077,840280.0,25162119.0,1540297259.239
2.094,2.094,91.623,0.0,0.0,4.188,847840.0,25388675.0,1540297260.239
3.109,5.181,86.528,2.591,0.0,2.591,840092.0,25001429.0,1540297261.239
1.053,5.789,91.053,0.0,0.0,2.105,832720.0,24977607.0,1540297262.239
3.535,6.566,85.859,0.0,0.0,4.040,835766.0,25020965.0,1540297263.239
2.020,6.566,87.879,0.0,0.0,3.535,838956.0,24977732.0,1540297264.239
2.646,4.233,91.005,0.0,0.0,2.116,835520.0,25023821.0,1540297265.239
2.564,5.641,88.718,0.0,0.0,3.077,834432.0,24983003.0,1540297266.239
3.646,3.646,90.104,0.0,0.0,2.604,830976.0,24656048.0,1540297267.239
2.551,5.102,88.776,0.0,0.0,3.571,844652.0,25363339.0,1540297268.239
2.073,4.663,90.155,0.0,0.0,3.109,833280.0,24994274.0,1540297269.239
3.125,4.167,87.500,2.604,0.0,2.604,838676.0,24927423.0,1540297270.239
2.577,4.124,89.691,0.0,0.0,3.608,836920.0,25074085.0,1540297271.239
2.985,5.473,87.065,0.0,0.0,4.478,834540.0,25002805.0,1540297272.239
4.569,6.599,85.787,0.0,0.0,3.046,843436.0,25099337.0,1540297273.239
1.036,5.181,90.155,0.0,0.0,3.627,844200.0,25292249.0,1540297274.239
3.015,5.025,87.437,0.0,0.0,4.523,834400.0,24998547.0,1540297275.239
2.577,4.639,88.660,0.0,0.0,4.124,840002.0,24998673.0,1540297276.239
3.535,5.051,88.889,0.0,0.0,2.525,834614.0,25002812.0,1540297277.244
2.646,4.762,91.005,0.0,0.0,1.587,834584.0,24998681.0,1540297278.239
3.109,4.145,86.528,2.591,0.0,3.627,840076.0,24998652.0,1540297279.239
2.062,5.155,90.206,0.0,0.0,2.577,832580.0,24969239.0,1540297280.239
2.041,6.122,87.755,0.0,0.0,4.082,838669.0,25030675.0,1540297281.239
3.061,4.082,87.245,1.531,0.0,4.082,840216.0,25002903.0,1540297282.239
1.036,5.181,90.155,0.0,0.0,3.627,832440.0,24956595.0,1540297283.239
2.551,5.612,87.245,0.0,0.0,4.592,834120.0,24990190.0,1540297284.239
3.665,3.141,90.052,0.0,0.0,3.141,842316.0,25049011.0,1540297285.239
3.061,5.612,88.776,0.0,0.0,2.551,834540.0,25002748.0,1540297286.239
2.041,4.082,87.755,1.531,0.0,4.592,834400.0,24998534.0,1540297287.239
1.064,5.319,89.362,1.064,0.0,3.191,853236.0,25393055.0,1540297288.239
3.093,5.155,89.175,0.0,0.0,2.577,834478.0,24999961.0,1540297289.239
2.564,5.128,89.744,0.0,0.0,2.564,834400.0,24998615.0,1540297290.239
3.109,5.181,89.119,0.0,0.0,2.591,840076.0,24998720.0,1540297291.239
2.041,5.102,88.776,0.0,0.0,4.082,834400.0,24998591.0,1540297292.239
3.077,4.103,89.231,0.0,0.0,3.590,834540.0,25002725.0,1540297293.239
3.077,5.128,88.718,0.0,0.0,3.077,839972.0,24998538.0,1540297294.239
3.061,5.612,88.265,0.0,0.0,3.061,834400.0,24998475.0,1540297295.239
2.632,2.632,88.421,2.632,0.0,3.684,834260.0,25002702.0,1540297296.239
2.551,6.122,88.265,0.0,0.0,3.061,837746.0,24933729.0,1540297297.239
3.030,5.051,88.384,0.0,0.0,3.535,837368.0,25065546.0,1540297298.239
2.604,4.167,90.104,0.0,0.0,3.125,834400.0,24998574.0,1540297299.239
3.571,4.592,88.265,0.0,0.0,3.571,840216.0,25002888.0,1540297300.239
3.590,4.615,89.231,0.0,0.0,2.564,829858.0,24895077.0,1540297301.239
3.535,5.051,88.889,0.0,0.0,2.525,839098.0,25104802.0,1540297302.239
3.608,4.639,88.660,0.0,0.0,3.093,840076.0,24998693.0,1540297303.239
2.073,5.181,89.637,0.0,0.0,3.109,834478.0,24999969.0,1540297304.239
