"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_16_rep_1.csv -T 1 90",,,,"Date:","23 Oct 2018 12:36:26 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
5.288,5.436,85.505,3.452,0.0,0.319,0.0,0.0,1540298186.804
2.062,4.124,92.784,0.0,0.0,1.031,10698027.0,347580.0,1540298187.805
2.128,6.383,91.489,0.0,0.0,0.0,10881217.0,357277.0,1540298188.805
3.030,4.040,91.919,0.0,0.0,1.010,10670358.0,345782.0,1540298189.805
2.041,4.082,93.878,0.0,0.0,0.0,10314037.0,333916.0,1540298190.805
2.083,5.208,92.708,0.0,0.0,0.0,10641479.0,348633.0,1540298191.805
3.0,5.0,91.0,0.0,0.0,1.0,10423737.0,337572.0,1540298192.805
3.125,5.208,91.667,0.0,0.0,0.0,10540431.0,341976.0,1540298193.805
3.061,6.122,90.816,0.0,0.0,0.0,10395828.0,340993.0,1540298194.805
3.061,4.082,92.857,0.0,0.0,0.0,10455906.0,339062.0,1540298195.805
3.061,4.082,92.857,0.0,0.0,0.0,10616840.0,343560.0,1540298196.805
2.062,4.124,93.814,0.0,0.0,0.0,10377596.0,336476.0,1540298197.805
4.167,4.167,91.667,0.0,0.0,0.0,10211684.0,335085.0,1540298198.805
2.105,2.105,95.789,0.0,0.0,0.0,10654444.0,344746.0,1540298199.805
3.061,4.082,91.837,0.0,0.0,1.020,10946005.0,355258.0,1540298200.805
3.158,2.105,92.632,0.0,0.0,2.105,11104500.0,363691.0,1540298201.805
2.062,4.124,93.814,0.0,0.0,0.0,10523223.0,341026.0,1540298202.805
2.062,6.186,87.629,3.093,0.0,1.031,10560827.0,341900.0,1540298203.805
2.105,4.211,93.684,0.0,0.0,0.0,10680325.0,349811.0,1540298204.805
