"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_1_rep_1.csv -T 1 80",,,,"Date:","06 Dec 2018 09:49:24 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
3.975,5.712,86.963,0.641,0.0,2.709,0.0,0.0,1544089764.513
4.523,5.528,84.925,0.0,0.0,5.025,10464910.0,362290.0,1544089765.514
2.062,3.608,87.629,0.0,0.0,6.701,9474011.0,328359.0,1544089766.514
4.124,5.670,85.567,0.0,0.0,4.639,9851815.0,345488.0,1544089767.514
3.046,5.076,88.325,0.0,0.0,3.553,9382863.0,324507.0,1544089768.514
2.577,5.155,86.598,0.0,0.0,5.670,9841600.0,341196.0,1544089769.514
4.020,6.533,84.925,0.0,0.0,4.523,9834526.0,344761.0,1544089770.514
2.094,4.188,89.529,0.0,0.0,4.188,8872164.0,307414.0,1544089771.516
3.046,6.091,85.787,0.0,0.0,5.076,9382947.0,324457.0,1544089772.514
2.646,3.704,89.418,0.0,0.0,4.233,9150659.0,321520.0,1544089773.514
2.041,6.122,86.735,0.0,0.0,5.102,10079668.0,348956.0,1544089774.514
4.040,4.545,86.364,0.0,0.0,5.051,10019074.0,347304.0,1544089775.514
2.538,7.107,85.787,0.0,0.0,4.569,10470673.0,366494.0,1544089776.514
3.141,4.712,86.387,0.0,0.0,5.759,10577351.0,366319.0,1544089777.514
3.077,6.667,85.128,0.0,0.0,5.128,10313363.0,357339.0,1544089778.515
2.632,4.211,87.368,0.0,0.0,5.789,10340828.0,362439.0,1544089779.514
4.500,4.500,84.500,0.0,0.0,6.500,10547160.0,365238.0,1544089780.514
2.073,5.699,88.083,0.0,0.0,4.145,10040700.0,347740.0,1544089781.514
4.145,5.699,85.492,0.0,0.0,4.663,10038016.0,351815.0,1544089782.514
3.608,5.670,86.082,0.0,0.0,4.639,11356368.0,393296.0,1544089783.514
4.124,3.608,86.598,0.0,0.0,5.670,10590427.0,367025.0,1544089784.514
3.191,4.787,88.830,0.0,0.0,3.191,10873204.0,380635.0,1544089785.514
3.093,5.670,87.113,0.0,0.0,4.124,9227137.0,319805.0,1544089786.514
2.591,5.181,88.083,0.0,0.0,4.145,7922802.0,274306.0,1544089787.514
1.015,2.030,94.924,0.0,0.0,2.030,3856066.0,116847.0,1544089788.514
0.500,0.500,99.0,0.0,0.0,0.0,205823.0,30873.0,1544089789.514
1.531,1.531,96.429,0.0,0.0,0.510,2519720.0,90619.0,1544089790.520
3.030,3.030,90.404,0.0,0.0,3.535,6739907.0,233077.0,1544089791.514
2.618,5.759,89.529,0.0,0.0,2.094,7984932.0,276900.0,1544089792.515
2.604,3.646,83.333,5.729,0.0,4.688,7879483.0,277420.0,1544089793.514
3.077,4.615,82.051,3.590,0.0,6.667,10663937.0,369495.0,1544089794.514
2.591,5.181,85.492,0.0,0.0,6.736,11222209.0,388655.0,1544089795.514
3.627,5.699,84.974,0.0,0.0,5.699,10773755.0,377476.0,1544089796.514
3.125,4.167,89.583,0.0,0.0,3.125,7732393.0,267909.0,1544089797.514
2.083,4.167,91.146,0.0,0.0,2.604,7123714.0,246576.0,1544089798.514
3.030,4.545,88.889,0.0,0.0,3.535,6965288.0,245535.0,1544089799.514
2.985,7.960,82.587,0.0,0.0,6.468,10408577.0,360637.0,1544089800.514
4.545,5.556,84.848,0.0,0.0,5.051,9478074.0,328404.0,1544089801.514
3.093,5.670,85.567,0.0,0.0,5.670,10496601.0,367654.0,1544089802.514
4.592,5.102,85.204,0.0,0.0,5.102,10287383.0,355977.0,1544089803.513
3.061,5.612,86.224,0.0,0.0,5.102,9547314.0,330796.0,1544089804.514
2.591,4.145,87.047,0.0,0.0,6.218,10639408.0,372503.0,1544089805.514
4.592,6.122,84.184,0.0,0.0,5.102,10780744.0,373280.0,1544089806.514
3.175,3.704,87.831,0.0,0.0,5.291,11334744.0,392562.0,1544089807.514
4.082,6.633,84.694,0.0,0.0,4.592,10535550.0,369151.0,1544089808.514
3.553,5.584,85.787,0.0,0.0,5.076,10637947.0,368573.0,1544089809.514
2.525,6.566,84.343,0.0,0.0,6.566,9655521.0,334252.0,1544089810.514
4.663,6.218,86.010,0.0,0.0,3.109,10817285.0,379307.0,1544089811.514
2.591,5.181,86.010,0.0,0.0,6.218,10309018.0,357172.0,1544089812.514
2.030,5.584,85.279,0.0,0.0,7.107,10135883.0,351157.0,1544089813.514
2.094,5.236,87.435,0.0,0.0,5.236,10271575.0,359584.0,1544089814.514
2.604,4.167,89.062,0.0,0.0,4.167,9365563.0,324371.0,1544089815.514
2.083,3.646,87.500,0.0,0.0,6.771,9737725.0,337375.0,1544089816.514
2.688,4.301,88.710,0.0,0.0,4.301,8719252.0,290043.0,1544089817.514
1.531,2.041,93.878,0.0,0.0,2.551,4873036.0,179371.0,1544089818.514
1.010,1.515,96.970,0.0,0.0,0.505,2909939.0,106710.0,1544089819.514
1.515,3.535,92.424,0.0,0.0,2.525,5539784.0,192126.0,1544089820.514
1.538,2.051,95.897,0.0,0.0,0.513,3258880.0,117412.0,1544089821.514
