"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_32_rep_3.csv -T 1 80",,,,"Date:","06 Dec 2018 10:15:48 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
4.775,9.010,83.173,0.932,0.0,2.110,0.0,0.0,1544091348.072
1.020,8.163,89.796,0.0,0.0,1.020,458383.0,12770492.0,1544091349.073
2.062,4.124,92.784,0.0,0.0,1.031,439721.0,12498749.0,1544091350.073
0.0,10.204,89.796,0.0,0.0,0.0,445667.0,12500196.0,1544091351.073
1.031,7.216,90.722,0.0,0.0,1.031,439789.0,12500130.0,1544091352.073
2.062,5.155,91.753,0.0,0.0,1.031,439395.0,12499898.0,1544091353.073
1.064,5.319,93.617,0.0,0.0,0.0,445984.0,12501112.0,1544091354.073
2.083,3.125,93.750,0.0,0.0,1.042,439597.0,12498635.0,1544091355.073
2.105,4.211,92.632,0.0,0.0,1.053,432077.0,12455381.0,1544091356.073
3.093,5.155,91.753,0.0,0.0,0.0,280151.0,7678264.0,1544091357.073
1.042,3.125,94.792,0.0,0.0,1.042,345942.0,9705039.0,1544091358.073
1.053,4.211,94.737,0.0,0.0,0.0,408710.0,11579510.0,1544091359.073
1.053,4.211,94.737,0.0,0.0,0.0,332659.0,9003824.0,1544091360.073
2.062,4.124,92.784,0.0,0.0,1.031,439734.0,12500072.0,1544091361.073
2.062,7.216,90.722,0.0,0.0,0.0,446374.0,12693376.0,1544091362.073
1.042,5.208,92.708,0.0,0.0,1.042,445359.0,12503058.0,1544091363.073
1.042,5.208,93.750,0.0,0.0,0.0,439608.0,12498634.0,1544091364.073
1.053,4.211,94.737,0.0,0.0,0.0,439698.0,12500016.0,1544091365.073
1.042,7.292,91.667,0.0,0.0,0.0,445353.0,12500196.0,1544091366.073
