"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_32_worker_8_rep_1.csv -T 1 60",,,,"Date:","03 Nov 2018 09:29:49 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
1.714,1.311,96.600,0.069,0.0,0.306,0.0,0.0,7859.220,203247.111,1541237389.922
44.861,4.306,47.778,0.0,0.0,3.056,11919001.0,11609833.0,0.0,0.0,1541237390.923
24.767,3.728,68.309,0.0,0.0,3.196,13159978.0,13017045.0,0.0,8192.0,1541237391.923
7.990,2.706,87.113,0.0,0.0,2.191,13155340.0,13007262.0,0.0,0.0,1541237392.923
6.380,1.953,89.714,0.0,0.0,1.953,13157928.0,12982046.0,0.0,0.0,1541237393.923
3.355,1.806,93.419,0.0,0.0,1.419,13168665.0,12990856.0,0.0,0.0,1541237394.923
3.608,1.933,93.170,0.0,0.0,1.289,13147272.0,12969462.0,0.0,0.0,1541237395.923
3.157,2.778,91.919,0.0,0.0,2.146,13151791.0,12974000.0,0.0,4096.0,1541237396.923
3.050,2.287,92.376,0.0,0.0,2.287,13144096.0,12950880.0,0.0,0.0,1541237397.923
3.291,2.911,91.899,0.0,0.0,1.899,13065117.0,12888535.0,0.0,0.0,1541237398.923
3.270,3.145,91.572,0.0,0.0,2.013,13431466.0,13241568.0,0.0,0.0,1541237399.923
3.371,3.121,91.011,0.0,0.0,2.497,13148431.0,12963337.0,0.0,0.0,1541237400.923
3.657,2.396,91.803,0.0,0.0,2.144,13137529.0,12948072.0,0.0,0.0,1541237401.923
2.551,2.551,92.347,0.383,0.0,2.168,13144543.0,12957536.0,0.0,81920.0,1541237402.923
2.908,2.655,91.909,0.0,0.0,2.528,13148317.0,12963154.0,0.0,0.0,1541237403.923
3.019,2.390,91.950,0.0,0.0,2.642,13136588.0,12946447.0,0.0,0.0,1541237404.923
3.026,3.153,91.425,0.0,0.0,2.396,13141420.0,12957282.0,0.0,0.0,1541237405.923
2.893,2.516,91.447,0.0,0.0,3.145,13147000.0,12959391.0,0.0,0.0,1541237406.923
3.185,2.930,92.484,0.0,0.0,1.401,13348851.0,13160592.0,0.0,0.0,1541237407.923
2.396,3.783,92.182,0.0,0.0,1.639,13139032.0,12949878.0,0.0,0.0,1541237408.923
3.778,3.149,91.310,0.0,0.0,1.763,13156116.0,12975999.0,0.0,0.0,1541237409.923
3.097,3.097,92.129,0.0,0.0,1.677,13151259.0,12971412.0,0.0,0.0,1541237410.923
2.284,2.792,92.766,0.0,0.0,2.157,13139912.0,12955105.0,0.0,0.0,1541237411.923
4.183,3.295,91.001,0.0,0.0,1.521,13156836.0,12977187.0,0.0,0.0,1541237412.923
2.922,2.414,92.376,0.0,0.0,2.287,13143825.0,12956811.0,0.0,0.0,1541237413.923
2.059,2.703,93.694,0.0,0.0,1.544,13153117.0,12979852.0,0.0,0.0,1541237414.923
2.813,2.046,93.350,0.0,0.0,1.790,13151262.0,12965385.0,0.0,0.0,1541237415.923
2.538,3.426,92.386,0.0,0.0,1.650,13155478.0,12981267.0,0.0,0.0,1541237416.923
3.283,2.904,92.298,0.0,0.0,1.515,13141526.0,12959267.0,0.0,0.0,1541237417.923
3.008,3.258,90.852,0.0,0.0,2.882,13153724.0,12969179.0,0.0,0.0,1541237418.923
2.314,2.571,93.830,0.0,0.0,1.285,13144747.0,12959875.0,0.0,0.0,1541237419.923
2.305,2.945,93.342,0.0,0.0,1.408,13141176.0,12958823.0,0.0,0.0,1541237420.923
2.519,3.023,92.191,0.0,0.0,2.267,13143755.0,12952433.0,0.0,0.0,1541237421.923
3.061,2.806,92.347,0.0,0.0,1.786,13143446.0,12960050.0,0.0,9936896.0,1541237422.923
2.051,2.051,93.462,0.0,0.0,2.436,13144546.0,12961805.0,0.0,0.0,1541237423.923
2.535,2.408,92.142,0.0,0.0,2.915,13155217.0,12997017.0,0.0,0.0,1541237424.923
2.926,3.053,92.621,0.0,0.0,1.399,13158445.0,12990974.0,0.0,0.0,1541237425.923
2.548,1.783,93.121,0.0,0.0,2.548,13148299.0,12970712.0,0.0,0.0,1541237426.923
2.879,3.254,90.864,0.0,0.0,3.004,13154553.0,12973992.0,0.0,0.0,1541237427.923
3.034,2.402,92.162,0.0,0.0,2.402,13145569.0,12958318.0,0.0,0.0,1541237428.923
2.062,2.191,93.814,0.0,0.0,1.933,13344248.0,13160775.0,0.0,0.0,1541237429.923
2.062,2.062,94.072,0.0,0.0,1.804,13148795.0,12958350.0,0.0,0.0,1541237430.923
3.161,2.276,92.541,0.0,0.0,2.023,13135647.0,12946479.0,0.0,0.0,1541237431.923
2.764,2.638,91.332,0.377,0.0,2.889,13141457.0,12959247.0,0.0,126976.0,1541237432.923
2.402,2.655,92.288,0.0,0.0,2.655,13144445.0,12957414.0,0.0,0.0,1541237433.923
2.662,2.535,92.269,0.0,0.0,2.535,13159806.0,12983477.0,0.0,0.0,1541237434.923
2.535,2.788,92.649,0.0,0.0,2.028,13134977.0,12944116.0,0.0,0.0,1541237435.923
2.774,2.522,92.182,0.0,0.0,2.522,13142848.0,12957428.0,0.0,0.0,1541237436.923
3.177,2.541,92.630,0.0,0.0,1.652,13139953.0,12950802.0,0.0,0.0,1541237437.923
2.399,3.788,92.172,0.0,0.0,1.641,13141389.0,12955000.0,0.0,0.0,1541237438.923
3.169,2.028,92.395,0.0,0.0,2.408,13149108.0,12968085.0,0.0,0.0,1541237439.923
3.562,2.163,92.494,0.0,0.0,1.781,13157822.0,12980628.0,0.0,0.0,1541237440.923
3.401,2.645,91.688,0.0,0.0,2.267,13146216.0,12966165.0,0.0,0.0,1541237441.923
2.163,2.036,93.384,0.0,0.0,2.417,13136875.0,12944980.0,0.0,0.0,1541237442.923
2.411,2.538,92.005,0.0,0.0,3.046,13141658.0,12951802.0,0.0,0.0,1541237443.923
2.904,2.778,92.298,0.0,0.0,2.020,13140034.0,12955475.0,0.0,0.0,1541237444.923
3.254,3.254,91.239,0.0,0.0,2.253,13353444.0,13169050.0,0.0,0.0,1541237445.923
2.788,2.788,92.269,0.0,0.0,2.155,13158208.0,12975081.0,0.0,0.0,1541237446.923
3.008,3.008,91.353,0.0,0.0,2.632,13148134.0,12970845.0,0.0,0.0,1541237447.923
2.414,3.431,92.376,0.0,0.0,1.779,13146052.0,12965956.0,0.0,0.0,1541237448.923
2.662,3.295,92.269,0.0,0.0,1.774,13151017.0,12968937.0,0.0,0.0,1541237449.923
