"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_32_worker_32_rep_1.csv -T 1 90",,,,"Date:","04 Nov 2018 11:49:52 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
0.989,1.075,97.110,0.152,0.0,0.673,0.0,0.0,1541332192.012
0.0,0.0,100.0,0.0,0.0,0.0,2952.0,205282.0,1541332193.013
1.493,1.493,96.020,0.0,0.0,0.995,40888.0,1123335.0,1541332194.013
2.062,2.062,94.330,0.0,0.0,1.546,196378.0,6010504.0,1541332195.013
2.051,5.128,90.769,0.0,0.0,2.051,299452.0,9205416.0,1541332196.013
1.538,5.128,88.205,0.0,0.0,5.128,360174.0,10823228.0,1541332197.013
2.475,6.931,86.634,0.0,0.0,3.960,329954.0,10041569.0,1541332198.013
5.366,6.829,84.390,0.0,0.0,3.415,334994.0,10212208.0,1541332199.013
3.109,5.181,89.637,0.0,0.0,2.073,337818.0,10029143.0,1541332200.013
3.077,2.564,89.744,0.0,0.0,4.615,329146.0,10063152.0,1541332201.013
3.590,3.590,89.744,0.0,0.0,3.077,322040.0,9811794.0,1541332202.013
3.093,4.639,88.660,0.0,0.0,3.608,344094.0,10285910.0,1541332203.013
3.061,4.082,88.776,0.0,0.0,4.082,333706.0,10179515.0,1541332204.013
2.041,6.122,88.265,0.0,0.0,3.571,331792.0,10063154.0,1541332205.013
3.553,4.569,87.310,0.0,0.0,4.569,344154.0,10348560.0,1541332206.013
2.463,7.389,84.729,1.478,0.0,3.941,347464.0,10565781.0,1541332207.013
2.564,4.615,89.744,0.0,0.0,3.077,338874.0,10295899.0,1541332208.013
3.125,4.688,89.583,0.0,0.0,2.604,355974.0,10676450.0,1541332209.013
1.562,3.646,90.625,0.0,0.0,4.167,352158.0,10731902.0,1541332210.013
3.030,7.071,87.374,0.0,0.0,2.525,344186.0,10472073.0,1541332211.013
3.571,5.612,86.224,0.0,0.0,4.592,346194.0,10294509.0,1541332212.013
2.564,4.615,90.256,0.0,0.0,2.564,337930.0,10268630.0,1541332213.013
3.061,3.571,87.245,0.0,0.0,6.122,348064.0,10604089.0,1541332214.013
2.538,6.599,88.325,0.0,0.0,2.538,360988.0,10808656.0,1541332215.013
3.518,4.523,87.437,0.0,0.0,4.523,331960.0,10098470.0,1541332216.013
3.030,4.545,88.889,0.0,0.0,3.535,344210.0,10493260.0,1541332217.013
2.525,4.545,88.384,0.0,0.0,4.545,349254.0,10493810.0,1541332218.017
2.073,5.699,89.119,0.0,0.0,3.109,344178.0,10425366.0,1541332219.013
1.546,5.670,89.691,0.0,0.0,3.093,340896.0,10268869.0,1541332220.014
2.051,5.128,88.718,0.0,0.0,4.103,335754.0,10297382.0,1541332221.013
2.551,4.592,88.776,0.0,0.0,4.082,343858.0,10271874.0,1541332222.013
3.590,2.564,88.718,0.0,0.0,5.128,349118.0,10663777.0,1541332223.013
3.109,5.181,89.637,0.0,0.0,2.073,353222.0,10710612.0,1541332224.013
3.553,5.584,86.802,0.0,0.0,4.061,359458.0,10767226.0,1541332225.013
1.058,3.175,91.534,0.0,0.0,4.233,342336.0,10336937.0,1541332226.013
2.577,4.124,90.206,0.0,0.0,3.093,343538.0,10557225.0,1541332227.013
3.141,3.665,90.576,0.0,0.0,2.618,351256.0,10535865.0,1541332228.013
3.191,3.723,91.489,0.0,0.0,1.596,347430.0,10568482.0,1541332229.013
1.531,4.082,90.306,0.0,0.0,4.082,326296.0,9886724.0,1541332230.013
3.0,5.500,87.500,0.0,0.0,4.0,352058.0,10587065.0,1541332231.013
2.073,4.145,90.674,0.0,0.0,3.109,336670.0,10190799.0,1541332232.013
1.538,4.103,90.769,0.0,0.0,3.590,337956.0,10216365.0,1541332233.013
3.125,4.167,89.062,0.0,0.0,3.646,352254.0,10621163.0,1541332234.013
2.564,4.615,88.718,0.0,0.0,4.103,331602.0,10092807.0,1541332235.013
2.551,4.592,89.286,0.0,0.0,3.571,334792.0,10213504.0,1541332236.013
3.109,3.627,89.637,0.0,0.0,3.627,359484.0,10710675.0,1541332237.013
3.046,5.076,85.279,3.046,0.0,3.553,346834.0,10608328.0,1541332238.013
4.523,5.025,85.930,0.0,0.0,4.523,342332.0,10433666.0,1541332239.013
3.125,4.167,90.104,0.0,0.0,2.604,358868.0,10720608.0,1541332240.013
3.646,3.125,90.104,0.0,0.0,3.125,350810.0,10693427.0,1541332241.013
3.093,4.639,89.691,0.0,0.0,2.577,360424.0,10863999.0,1541332242.013
3.077,3.590,88.205,0.0,0.0,5.128,346492.0,10496005.0,1541332243.013
2.010,5.528,87.940,0.0,0.0,4.523,346200.0,10524497.0,1541332244.013
2.041,4.592,88.776,0.0,0.0,4.592,337690.0,10220710.0,1541332245.013
3.093,5.155,89.691,0.0,0.0,2.062,359660.0,10815714.0,1541332246.013
2.551,6.122,89.286,0.0,0.0,2.041,358316.0,10875254.0,1541332247.013
2.564,4.103,90.256,0.0,0.0,3.077,343108.0,10459264.0,1541332248.013
4.0,7.0,86.500,0.0,0.0,2.500,354738.0,10625496.0,1541332249.013
2.525,4.545,87.879,0.0,0.0,5.051,349924.0,10680739.0,1541332250.013
1.562,3.646,91.146,0.0,0.0,3.646,343766.0,10459218.0,1541332251.013
2.985,5.970,86.567,0.0,0.0,4.478,357258.0,10685092.0,1541332252.013
2.538,6.091,89.848,0.0,0.0,1.523,330704.0,10062998.0,1541332253.013
1.546,5.155,88.144,0.0,0.0,5.155,351000.0,10699193.0,1541332254.013
2.591,4.663,89.637,0.0,0.0,3.109,348382.0,10386890.0,1541332255.013
2.030,4.569,88.325,0.0,0.0,5.076,340926.0,10417972.0,1541332256.013
2.062,3.608,90.206,0.0,0.0,4.124,334826.0,10192182.0,1541332257.013
3.571,4.592,88.265,0.0,0.0,3.571,355182.0,10634006.0,1541332258.013
3.030,5.051,87.374,0.0,0.0,4.545,327524.0,9956246.0,1541332259.013
2.525,5.051,88.889,0.0,0.0,3.535,361406.0,11004541.0,1541332260.013
2.094,3.665,90.576,0.0,0.0,3.665,349890.0,10486259.0,1541332261.013
3.015,5.528,87.940,0.0,0.0,3.518,338996.0,10268884.0,1541332262.013
2.0,5.0,88.0,0.0,0.0,5.0,329928.0,10084342.0,1541332263.013
3.046,5.584,87.817,0.0,0.0,3.553,350600.0,10403930.0,1541332264.013
2.551,4.592,88.776,0.0,0.0,4.082,336464.0,10335662.0,1541332265.013
2.030,6.091,88.325,0.0,0.0,3.553,349160.0,10625396.0,1541332266.013
4.020,4.020,88.442,0.0,0.0,3.518,348162.0,10395377.0,1541332267.013
2.632,3.158,91.053,1.579,0.0,1.579,331388.0,10088593.0,1541332268.013
3.061,4.082,88.776,0.0,0.0,4.082,341624.0,10408124.0,1541332269.013
2.538,5.076,88.832,0.0,0.0,3.553,341824.0,10233572.0,1541332270.013
2.646,2.646,92.593,0.0,0.0,2.116,339508.0,10335757.0,1541332271.013
4.040,4.545,85.859,0.0,0.0,5.556,342726.0,10345557.0,1541332272.012
3.535,4.545,87.374,0.0,0.0,4.545,344306.0,10229311.0,1541332273.013
3.553,5.584,87.310,0.0,0.0,3.553,345636.0,10596977.0,1541332274.013
2.525,6.566,88.384,0.0,0.0,2.525,338784.0,10297380.0,1541332275.013
1.053,4.211,91.579,0.0,0.0,3.158,329390.0,9837360.0,1541332276.013
3.093,4.124,90.206,0.0,0.0,2.577,312784.0,9530532.0,1541332277.013
2.564,4.103,89.744,0.0,0.0,3.590,348214.0,10578587.0,1541332278.013
4.615,4.615,87.692,0.0,0.0,3.077,323772.0,9710221.0,1541332279.013
3.571,4.082,89.286,0.0,0.0,3.061,333192.0,10135485.0,1541332280.013
2.500,4.0,88.500,0.0,0.0,5.0,316404.0,9617101.0,1541332281.013
3.015,5.025,86.432,0.0,0.0,5.528,375596.0,11145257.0,1541332282.013
