"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_8_worker_64_rep_3.csv -T 1 90",,,,"Date:","04 Nov 2018 09:54:10 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.338,1.984,96.039,0.302,0.0,0.336,0.0,0.0,1541325250.656
3.0,8.0,83.0,0.0,0.0,6.0,418663.0,11409384.0,1541325251.657
1.064,8.511,89.362,0.0,0.0,1.064,446457.0,12499299.0,1541325252.657
3.0,8.0,86.0,0.0,0.0,3.0,445552.0,12694909.0,1541325253.657
2.083,5.208,91.667,0.0,0.0,1.042,438670.0,12499986.0,1541325254.657
2.041,9.184,86.735,0.0,0.0,2.041,448536.0,12500313.0,1541325255.657
1.075,5.376,92.473,0.0,0.0,1.075,443563.0,12500573.0,1541325256.657
3.191,4.255,90.426,0.0,0.0,2.128,440189.0,12500214.0,1541325257.657
2.020,8.081,87.879,0.0,0.0,2.020,447982.0,12499587.0,1541325258.657
1.053,6.316,90.526,0.0,0.0,2.105,441471.0,12500110.0,1541325259.657
2.128,5.319,91.489,0.0,0.0,1.064,440180.0,12498814.0,1541325260.657
3.125,6.250,88.542,0.0,0.0,2.083,445456.0,12501478.0,1541325261.657
1.064,7.447,90.426,0.0,0.0,1.064,439953.0,12498696.0,1541325262.657
2.020,8.081,87.879,0.0,0.0,2.020,443165.0,12500280.0,1541325263.657
1.042,8.333,88.542,0.0,0.0,2.083,452833.0,12695367.0,1541325264.657
1.053,6.316,90.526,0.0,0.0,2.105,448702.0,12695170.0,1541325265.657
1.064,4.255,92.553,0.0,0.0,2.128,441389.0,12499812.0,1541325266.658
3.191,7.447,88.298,0.0,0.0,1.064,446183.0,12500998.0,1541325267.657
2.041,7.143,88.776,0.0,0.0,2.041,437336.0,12500223.0,1541325268.657
1.020,9.184,88.776,0.0,0.0,1.020,441538.0,12500067.0,1541325269.657
5.155,5.155,87.629,0.0,0.0,2.062,452647.0,12498678.0,1541325270.657
2.083,7.292,90.625,0.0,0.0,0.0,440969.0,12501282.0,1541325271.657
2.041,7.143,86.735,0.0,0.0,4.082,440344.0,12500400.0,1541325272.657
2.105,6.316,87.368,3.158,0.0,1.053,448191.0,12498328.0,1541325273.657
3.226,4.301,92.473,0.0,0.0,0.0,451623.0,12695892.0,1541325274.657
0.0,9.278,88.660,0.0,0.0,2.062,442010.0,12500242.0,1541325275.657
2.062,10.309,87.629,0.0,0.0,0.0,448500.0,12499852.0,1541325276.657
1.042,9.375,87.500,0.0,0.0,2.083,443135.0,12500049.0,1541325277.657
2.062,6.186,89.691,0.0,0.0,2.062,467648.0,13280419.0,1541325278.657
5.155,6.186,87.629,0.0,0.0,1.031,445835.0,12500356.0,1541325279.657
2.128,5.319,91.489,0.0,0.0,1.064,441875.0,12499297.0,1541325280.657
1.064,4.255,93.617,0.0,0.0,1.064,442520.0,12499610.0,1541325281.657
3.125,9.375,87.500,0.0,0.0,0.0,447269.0,12500646.0,1541325282.657
1.064,7.447,91.489,0.0,0.0,0.0,449928.0,12499603.0,1541325283.657
1.053,6.316,91.579,0.0,0.0,1.053,442439.0,12500798.0,1541325284.657
3.191,5.319,91.489,0.0,0.0,0.0,443011.0,12500130.0,1541325285.657
1.064,8.511,89.362,0.0,0.0,1.064,449504.0,12498801.0,1541325286.657
3.061,9.184,85.714,0.0,0.0,2.041,445362.0,12500624.0,1541325287.657
1.042,6.250,91.667,0.0,0.0,1.042,441172.0,12499600.0,1541325288.657
4.211,6.316,89.474,0.0,0.0,0.0,446391.0,12500574.0,1541325289.657
0.0,8.333,89.583,0.0,0.0,2.083,440961.0,12500261.0,1541325290.657
1.020,8.163,88.776,0.0,0.0,2.041,440102.0,12499444.0,1541325291.657
4.167,7.292,86.458,0.0,0.0,2.083,448640.0,12499643.0,1541325292.657
2.041,8.163,88.776,0.0,0.0,1.020,438999.0,12500443.0,1541325293.657
2.020,9.091,87.879,0.0,0.0,1.010,439083.0,12498669.0,1541325294.657
2.062,9.278,87.629,0.0,0.0,1.031,447503.0,12501993.0,1541325295.657
2.020,8.081,87.879,0.0,0.0,2.020,443132.0,12499452.0,1541325296.657
3.158,7.368,87.368,0.0,0.0,2.105,446804.0,12499201.0,1541325297.658
1.031,9.278,87.629,0.0,0.0,2.062,447615.0,12500518.0,1541325298.657
2.174,4.348,93.478,0.0,0.0,0.0,442244.0,12499682.0,1541325299.657
1.031,6.186,89.691,0.0,0.0,3.093,440616.0,12499851.0,1541325300.657
3.125,6.250,89.583,0.0,0.0,1.042,447137.0,12499766.0,1541325301.657
2.083,8.333,87.500,0.0,0.0,2.083,443707.0,12501240.0,1541325302.657
2.041,7.143,88.776,0.0,0.0,2.041,441772.0,12499843.0,1541325303.657
2.128,5.319,80.851,9.574,0.0,2.128,453340.0,12695525.0,1541325304.657
1.042,9.375,89.583,0.0,0.0,0.0,443000.0,12498828.0,1541325305.657
2.041,9.184,87.755,0.0,0.0,1.020,444326.0,12501244.0,1541325306.657
5.051,9.091,83.838,0.0,0.0,2.020,450528.0,12498843.0,1541325307.657
3.030,10.101,83.838,0.0,0.0,3.030,441028.0,12499687.0,1541325308.657
1.020,8.163,88.776,0.0,0.0,2.041,442980.0,12500362.0,1541325309.658
2.062,9.278,87.629,0.0,0.0,1.031,451437.0,12696231.0,1541325310.657
