"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_16_worker_16_rep_2.csv -T 1 80",,,,"Date:","06 Dec 2018 23:24:12 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.946,2.358,93.788,0.808,0.0,1.101,0.0,0.0,1544138652.846
0.995,0.498,97.512,0.0,0.0,0.995,1448183.0,50090.0,1544138653.847
2.051,1.026,94.872,0.0,0.0,2.051,4260219.0,157007.0,1544138654.847
2.010,1.508,95.477,0.0,0.0,1.005,4248759.0,146991.0,1544138655.847
1.990,2.985,93.532,0.0,0.0,1.493,4314495.0,149127.0,1544138656.847
2.0,2.0,94.500,0.0,0.0,1.500,4216971.0,149888.0,1544138657.847
0.515,1.546,97.423,0.0,0.0,0.515,4340457.0,150097.0,1544138658.847
1.980,1.980,94.059,0.0,0.0,1.980,4222350.0,146044.0,1544138659.847
1.478,3.448,93.103,0.0,0.0,1.970,4321438.0,153481.0,1544138660.847
1.026,1.026,96.410,0.0,0.0,1.538,4324258.0,149420.0,1544138661.847
1.005,1.005,94.975,0.0,0.0,3.015,4252770.0,147027.0,1544138662.847
2.0,2.0,94.0,0.0,0.0,2.0,4346064.0,154420.0,1544138663.847
1.010,2.020,95.455,0.0,0.0,1.515,4244711.0,146732.0,1544138664.847
1.500,2.500,95.0,0.0,0.0,1.0,4233039.0,146266.0,1544138665.847
2.030,3.046,94.924,0.0,0.0,0.0,4272221.0,151806.0,1544138666.847
0.508,1.523,96.447,0.0,0.0,1.523,4258874.0,147237.0,1544138667.847
1.020,1.531,96.939,0.0,0.0,0.510,4239919.0,146574.0,1544138668.847
0.513,2.051,94.359,2.051,0.0,1.026,4296527.0,152760.0,1544138669.847
0.505,2.525,95.455,0.0,0.0,1.515,4266119.0,147575.0,1544138670.847
2.0,3.0,94.0,0.0,0.0,1.0,4237909.0,146501.0,1544138671.847
1.015,2.538,95.431,0.0,0.0,1.015,4260515.0,151372.0,1544138672.847
1.500,2.500,95.0,0.0,0.0,1.0,4321413.0,149306.0,1544138673.847
0.990,2.970,94.059,0.0,0.0,1.980,4297684.0,148437.0,1544138674.847
2.010,2.513,94.472,0.0,0.0,1.005,4297878.0,152732.0,1544138675.847
1.515,2.525,94.949,0.0,0.0,1.010,4271195.0,147676.0,1544138676.847
0.508,1.015,96.447,0.0,0.0,2.030,4245896.0,146724.0,1544138677.847
1.531,1.531,95.918,0.0,0.0,1.020,4268226.0,151731.0,1544138678.847
0.518,0.518,97.927,0.0,0.0,1.036,4307316.0,148922.0,1544138679.847
1.523,1.015,96.447,0.0,0.0,1.015,4275109.0,147748.0,1544138680.847
2.488,2.488,93.035,0.0,0.0,1.990,4263358.0,152242.0,1544138681.847
0.513,1.538,96.923,0.0,0.0,1.026,4252847.0,146910.0,1544138682.847
1.005,3.015,94.975,0.0,0.0,1.005,4257703.0,147119.0,1544138683.847
3.415,3.415,91.707,0.0,0.0,1.463,4266376.0,151545.0,1544138684.847
1.0,3.500,94.500,0.0,0.0,1.0,4262690.0,147331.0,1544138685.847
0.505,3.030,94.949,0.0,0.0,1.515,4363242.0,150739.0,1544138686.847
1.015,2.538,95.431,0.0,0.0,1.015,4255066.0,151232.0,1544138687.847
0.510,2.041,96.429,0.0,0.0,1.020,4314942.0,149118.0,1544138688.847
1.020,1.531,96.429,0.0,0.0,1.020,4265648.0,147503.0,1544138689.847
1.015,3.046,94.924,0.0,0.0,1.015,4288631.0,152429.0,1544138690.847
2.010,2.010,94.975,0.0,0.0,1.005,4262367.0,147341.0,1544138691.847
1.508,2.513,94.975,0.0,0.0,1.005,4296444.0,148587.0,1544138692.847
2.0,1.0,94.0,0.0,0.0,3.0,4257469.0,151258.0,1544138693.847
1.500,2.500,94.500,0.0,0.0,1.500,4236076.0,146268.0,1544138694.847
0.505,2.020,95.455,0.0,0.0,2.020,4254477.0,147014.0,1544138695.847
2.020,2.020,94.444,0.0,0.0,1.515,4392842.0,155891.0,1544138696.847
1.515,2.020,95.455,0.0,0.0,1.010,4237722.0,146658.0,1544138697.847
1.005,3.015,95.477,0.0,0.0,0.503,4227225.0,146151.0,1544138698.847
2.0,2.0,94.500,0.0,0.0,1.500,4237038.0,146420.0,1544138699.847
1.508,3.015,93.970,1.005,0.0,0.503,4329124.0,153730.0,1544138700.847
1.026,1.026,96.410,0.0,0.0,1.538,4247586.0,146701.0,1544138701.847
1.005,2.010,95.477,0.0,0.0,1.508,4306595.0,148865.0,1544138702.847
1.015,2.030,95.431,0.0,0.0,1.523,4251142.0,151090.0,1544138703.847
1.010,2.525,95.455,0.0,0.0,1.010,4318862.0,149258.0,1544138704.847
1.005,2.513,95.477,0.0,0.0,1.005,4245064.0,146752.0,1544138705.847
2.020,2.020,94.949,0.0,0.0,1.010,4263443.0,151583.0,1544138706.847
0.0,2.513,95.477,0.0,0.0,2.010,4249698.0,146758.0,1544138707.847
