"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_0:1_vc_40_worker_32_rep_2.csv -T 1 80",,,,"Date:","07 Dec 2018 00:38:19 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.360,2.366,93.079,0.290,0.0,0.905,0.0,0.0,38680.314,644888.771,0.0,0.0,2143.338,7272.310,1544143099.624
41.313,6.293,48.974,0.0,0.0,3.420,10445156.0,10112934.0,0.0,0.0,0.0,0.0,4170.0,10985.0,1544143100.625
34.019,4.252,58.162,0.0,0.0,3.567,13442116.0,13270521.0,0.0,0.0,0.0,0.0,1996.0,7070.0,1544143101.625
7.106,2.972,87.984,0.0,0.0,1.938,13119912.0,12927222.0,0.0,0.0,0.0,0.0,1749.0,6772.0,1544143102.625
3.117,2.993,92.145,0.0,0.0,1.746,13138437.0,12968123.0,0.0,12288.0,0.0,0.0,1497.0,6465.0,1544143103.625
2.414,2.668,93.266,0.0,0.0,1.652,13347171.0,13148000.0,0.0,0.0,0.0,0.0,1783.0,6710.0,1544143104.625
2.545,2.545,93.766,0.0,0.0,1.145,13333792.0,13138792.0,0.0,0.0,0.0,0.0,1747.0,6647.0,1544143105.625
2.516,3.019,92.453,0.0,0.0,2.013,13131473.0,12939945.0,0.0,0.0,0.0,0.0,1810.0,6829.0,1544143106.625
3.401,3.023,92.569,0.0,0.0,1.008,13139790.0,12944505.0,0.0,0.0,0.0,0.0,1822.0,6807.0,1544143107.625
2.405,3.291,92.911,0.0,0.0,1.392,13129080.0,12935831.0,0.0,0.0,0.0,0.0,1840.0,6647.0,1544143108.625
3.081,2.054,93.068,0.0,0.0,1.797,13132944.0,12939376.0,0.0,0.0,0.0,0.0,1826.0,6879.0,1544143109.625
2.284,2.792,93.020,0.0,0.0,1.904,13139280.0,12944229.0,0.0,0.0,0.0,0.0,1895.0,6984.0,1544143110.625
2.168,1.913,94.133,0.0,0.0,1.786,13127703.0,12931348.0,0.0,0.0,0.0,0.0,1749.0,6676.0,1544143111.625
2.821,2.436,92.821,0.0,0.0,1.923,13339656.0,13143177.0,0.0,0.0,0.0,0.0,1715.0,6603.0,1544143112.625
2.284,2.284,93.528,0.0,0.0,1.904,13135899.0,12930881.0,0.0,0.0,0.0,0.0,1826.0,6633.0,1544143113.625
2.893,3.270,92.327,0.0,0.0,1.509,13132525.0,12949497.0,0.0,0.0,0.0,0.0,1785.0,6773.0,1544143114.625
2.652,2.778,92.424,0.631,0.0,1.515,13130387.0,12908721.0,0.0,77824.0,0.0,0.0,1776.0,6652.0,1544143115.625
2.662,2.915,93.536,0.0,0.0,0.887,13140710.0,12975239.0,0.0,0.0,0.0,0.0,1534.0,6366.0,1544143116.625
3.262,3.137,92.221,0.0,0.0,1.380,13028396.0,12832506.0,0.0,0.0,0.0,0.0,1822.0,6720.0,1544143117.625
2.658,2.532,93.418,0.0,0.0,1.392,13232263.0,13041540.0,0.0,0.0,0.0,0.0,1751.0,6649.0,1544143118.625
2.655,2.908,93.173,0.0,0.0,1.264,13345286.0,13147061.0,0.0,0.0,0.0,0.0,1857.0,6874.0,1544143119.625
2.155,2.408,93.916,0.0,0.0,1.521,13128342.0,12935299.0,0.0,0.0,0.0,0.0,1711.0,6575.0,1544143120.625
2.393,3.275,92.821,0.0,0.0,1.511,13133785.0,12941200.0,0.0,0.0,0.0,0.0,1678.0,6567.0,1544143121.625
1.517,3.287,93.173,0.0,0.0,2.023,13308865.0,13098625.0,0.0,0.0,0.0,0.0,1757.0,6787.0,1544143122.625
2.628,3.379,92.240,0.0,0.0,1.752,13367825.0,13177507.0,0.0,0.0,0.0,0.0,1768.0,6760.0,1544143123.625
1.525,2.795,94.028,0.0,0.0,1.652,13133881.0,12944721.0,0.0,0.0,0.0,0.0,1738.0,6498.0,1544143124.625
2.020,2.904,93.434,0.0,0.0,1.641,13137677.0,12943785.0,0.0,0.0,0.0,0.0,1752.0,6662.0,1544143125.625
3.026,2.900,92.938,0.0,0.0,1.135,13386858.0,13183656.0,0.0,0.0,0.0,0.0,1768.0,6817.0,1544143126.625
2.152,2.658,93.418,0.0,0.0,1.772,13133175.0,12938914.0,0.0,0.0,0.0,0.0,1691.0,6689.0,1544143127.625
2.795,2.033,93.139,0.0,0.0,2.033,13138667.0,12944775.0,0.0,32768.0,0.0,0.0,1785.0,6763.0,1544143128.625
2.273,3.283,92.803,0.0,0.0,1.641,13333969.0,13137912.0,0.0,0.0,0.0,0.0,1850.0,6892.0,1544143129.625
3.015,2.513,92.839,0.0,0.0,1.633,13127167.0,12913929.0,0.0,0.0,0.0,0.0,1754.0,6623.0,1544143130.625
2.054,1.926,94.608,0.0,0.0,1.412,13144165.0,12969282.0,0.0,0.0,0.0,0.0,1761.0,6645.0,1544143131.625
2.420,2.548,93.503,0.0,0.0,1.529,13538236.0,13335537.0,0.0,0.0,0.0,0.0,1889.0,7059.0,1544143132.625
2.155,2.155,93.536,0.0,0.0,2.155,13127789.0,12928670.0,0.0,0.0,0.0,0.0,1816.0,6820.0,1544143133.625
3.015,3.518,92.462,0.0,0.0,1.005,13142968.0,12897166.0,0.0,9789440.0,0.0,0.0,1864.0,6852.0,1544143134.625
3.026,2.270,93.064,0.0,0.0,1.639,13119805.0,12969076.0,0.0,0.0,0.0,0.0,1828.0,6776.0,1544143135.625
2.893,2.767,93.082,0.0,0.0,1.258,13140747.0,12962738.0,0.0,0.0,0.0,0.0,1778.0,6730.0,1544143136.625
2.522,3.026,92.308,0.0,0.0,2.144,13143501.0,12949669.0,0.0,0.0,0.0,0.0,1899.0,6965.0,1544143137.625
2.152,2.152,93.671,0.0,0.0,2.025,13133918.0,12940804.0,0.0,0.0,0.0,0.0,1721.0,6691.0,1544143138.625
2.622,3.371,92.385,0.0,0.0,1.623,13124474.0,12913155.0,0.0,0.0,0.0,0.0,1817.0,6800.0,1544143139.625
