"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_4_worker_64_rep_1.csv -T 1 80",,,,"Date:","07 Dec 2018 01:27:50 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.720,5.875,89.922,0.587,0.0,0.896,0.0,0.0,1544146070.999
3.333,3.333,91.111,0.0,0.0,2.222,11400063.0,372549.0,1544146072.000
4.167,11.458,82.292,0.0,0.0,2.083,18654807.0,603136.0,1544146073.000
6.593,9.890,81.319,0.0,0.0,2.198,25118224.0,810666.0,1544146074.001
9.412,9.412,77.647,0.0,0.0,3.529,25643401.0,835007.0,1544146075.000
5.682,18.182,73.864,0.0,0.0,2.273,26461017.0,856940.0,1544146076.000
6.742,15.730,76.404,0.0,0.0,1.124,26559643.0,858760.0,1544146077.000
8.235,14.118,75.294,0.0,0.0,2.353,28031515.0,911409.0,1544146078.000
7.955,10.227,77.273,2.273,0.0,2.273,27672132.0,895160.0,1544146079.000
6.593,17.582,71.429,0.0,0.0,4.396,27607889.0,891686.0,1544146080.000
5.435,21.739,70.652,0.0,0.0,2.174,26835203.0,872489.0,1544146081.000
6.977,18.605,73.256,0.0,0.0,1.163,27378012.0,886200.0,1544146082.000
6.667,13.333,78.889,0.0,0.0,1.111,27309219.0,882280.0,1544146083.000
9.091,15.909,72.727,0.0,0.0,2.273,27473989.0,893069.0,1544146084.000
11.494,16.092,71.264,0.0,0.0,1.149,28362383.0,916860.0,1544146085.000
12.088,14.286,70.330,0.0,0.0,3.297,28250528.0,915600.0,1544146086.000
10.870,15.217,71.739,0.0,0.0,2.174,28855386.0,930556.0,1544146087.003
9.091,17.045,71.591,0.0,0.0,2.273,28070731.0,915151.0,1544146088.000
6.742,15.730,75.281,0.0,0.0,2.247,27994762.0,904466.0,1544146089.000
8.333,19.048,70.238,0.0,0.0,2.381,28821395.0,931914.0,1544146090.000
