PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=1.23 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=2.24 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=1.34 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=3.26 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=1.92 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.800 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=1.20 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.926 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=1.77 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=1.32 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=1.03 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.913 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.846 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=0.903 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=1.50 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=1.06 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=1.29 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=1.45 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=1.79 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.993 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=1.00 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=1.47 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.882 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=1.65 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=1.46 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=1.33 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=1.72 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.880 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=1.06 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.990 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=1.35 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=1.09 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=1.21 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=5.14 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=0.943 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=1.02 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=0.976 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=1.47 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=1.18 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=0.939 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=0.702 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=1.56 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=1.00 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=1.16 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=1.06 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=1.67 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=0.917 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=0.973 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=1.84 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=2.32 ms

--- 10.0.0.7 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9859ms
rtt min/avg/max/mdev = 0.702/1.377/5.144/0.710 ms
