"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_8_worker_32_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 11:10:57 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.851,2.147,94.019,0.763,0.0,1.220,0.0,0.0,1541243457.199
2.564,4.103,90.256,0.0,0.0,3.077,390426.0,11727155.0,1541243458.200
3.061,5.102,87.755,0.0,0.0,4.082,489320.0,14672349.0,1541243459.200
3.608,4.639,88.144,0.0,0.0,3.608,533814.0,15817179.0,1541243460.200
3.571,5.102,88.776,0.0,0.0,2.551,515760.0,15452147.0,1541243461.200
2.577,5.670,87.629,0.0,0.0,4.124,506174.0,15166767.0,1541243462.200
3.158,3.684,90.0,0.0,0.0,3.158,535782.0,15880200.0,1541243463.200
2.604,4.688,90.625,0.0,0.0,2.083,518856.0,15552661.0,1541243464.200
2.073,3.627,90.155,0.0,0.0,4.145,515262.0,15428272.0,1541243465.200
5.911,6.404,84.729,0.0,0.0,2.956,524474.0,15557059.0,1541243466.200
5.076,5.584,86.294,0.0,0.0,3.046,509230.0,15246682.0,1541243467.200
3.518,5.025,86.432,0.0,0.0,5.025,519836.0,15572986.0,1541243468.200
4.145,3.627,88.083,0.0,0.0,4.145,534488.0,15846501.0,1541243469.200
4.082,4.592,87.755,0.0,0.0,3.571,541908.0,16232144.0,1541243470.200
3.535,4.545,87.374,0.0,0.0,4.545,522636.0,15665980.0,1541243471.200
6.091,3.553,85.279,0.0,0.0,5.076,531004.0,15695706.0,1541243472.200
2.094,4.188,90.576,0.0,0.0,3.141,521296.0,15653613.0,1541243473.200
2.551,4.592,88.776,0.0,0.0,4.082,508900.0,15246626.0,1541243474.200
4.145,4.663,88.601,0.0,0.0,2.591,540056.0,16010092.0,1541243475.200
1.538,5.128,88.718,0.0,0.0,4.615,519498.0,15577978.0,1541243476.200
2.030,6.091,87.310,0.0,0.0,4.569,507262.0,15183615.0,1541243477.200
4.615,5.128,84.615,2.051,0.0,3.590,528188.0,15653635.0,1541243478.200
3.571,5.102,88.265,0.0,0.0,3.061,520250.0,15583475.0,1541243479.200
3.030,6.061,87.374,0.0,0.0,3.535,511462.0,15334831.0,1541243480.200
4.040,4.545,86.364,0.0,0.0,5.051,532380.0,15787889.0,1541243481.200
3.608,5.155,87.629,0.0,0.0,3.608,515176.0,15427077.0,1541243482.200
4.500,5.500,86.0,0.0,0.0,4.0,513800.0,15393524.0,1541243483.200
2.030,4.569,86.802,0.0,0.0,6.599,509956.0,15108407.0,1541243484.200
4.455,5.941,85.149,0.0,0.0,4.455,548914.0,16450348.0,1541243485.201
4.455,5.941,85.149,0.0,0.0,4.455,509148.0,15250903.0,1541243486.200
5.0,6.500,85.0,0.0,0.0,3.500,519254.0,15385223.0,1541243487.200
4.020,5.528,86.935,0.0,0.0,3.518,519260.0,15556932.0,1541243488.200
2.564,4.615,88.718,0.0,0.0,4.103,516394.0,15468983.0,1541243489.200
3.571,6.633,85.714,0.0,0.0,4.082,539165.0,15910986.0,1541243490.200
3.093,3.093,89.175,0.0,0.0,4.639,506914.0,15183778.0,1541243491.200
2.604,5.729,88.021,0.0,0.0,3.646,522810.0,15661951.0,1541243492.200
2.674,3.743,90.374,0.0,0.0,3.209,512320.0,15179682.0,1541243493.200
2.030,5.584,87.817,0.0,0.0,4.569,521640.0,15632458.0,1541243494.200
2.105,4.211,91.053,0.0,0.0,2.632,516402.0,15477283.0,1541243495.200
4.926,5.911,85.222,0.0,0.0,3.941,494218.0,14646978.0,1541243496.200
3.109,4.663,88.601,0.0,0.0,3.627,522736.0,15640878.0,1541243497.200
1.070,3.743,92.513,0.0,0.0,2.674,521928.0,15636647.0,1541243498.200
2.538,4.569,87.310,0.0,0.0,5.584,495380.0,14676338.0,1541243499.200
2.094,4.188,89.529,0.0,0.0,4.188,523320.0,15678642.0,1541243500.200
2.632,3.158,91.053,0.0,0.0,3.158,525362.0,15745719.0,1541243501.200
4.020,5.528,85.427,0.0,0.0,5.025,493354.0,14604999.0,1541243502.200
3.077,5.128,88.718,0.0,0.0,3.077,526614.0,15775152.0,1541243503.200
2.985,5.970,86.070,0.0,0.0,4.975,534100.0,16001592.0,1541243504.200
5.528,5.025,85.427,0.0,0.0,4.020,525002.0,15561342.0,1541243505.200
2.475,6.931,85.644,0.0,0.0,4.950,522620.0,15657645.0,1541243506.200
2.105,4.211,90.526,0.0,0.0,3.158,501900.0,15036832.0,1541243507.200
3.109,4.663,88.601,0.0,0.0,3.627,514444.0,15238323.0,1541243508.200
3.535,4.545,85.354,1.515,0.0,5.051,517028.0,15494098.0,1541243509.200
3.077,4.615,88.718,0.0,0.0,3.590,537032.0,16093896.0,1541243510.200
3.109,5.699,88.083,0.0,0.0,3.109,527170.0,15608203.0,1541243511.200
2.151,2.688,91.935,0.0,0.0,3.226,504204.0,15099807.0,1541243512.203
2.525,6.061,87.374,0.0,0.0,4.040,504808.0,15145911.0,1541243513.200
4.103,3.590,88.205,0.0,0.0,4.103,510064.0,15095750.0,1541243514.200
2.538,4.061,88.325,0.0,0.0,5.076,534470.0,16022591.0,1541243515.200
3.571,4.592,87.755,0.0,0.0,4.082,519170.0,15544368.0,1541243516.200
2.500,6.500,86.500,0.0,0.0,4.500,512540.0,15151300.0,1541243517.203
