"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d --output dstat_mw1_ratio_0:1_vc_8_worker_64_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 11:34:06 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","epoch"
2.637,1.616,95.076,0.354,0.0,0.317,0.0,0.0,38297.304,699501.652,1541244846.681
34.705,3.018,61.180,0.0,0.0,1.097,7001707.0,6782833.0,0.0,0.0,1541244847.682
24.628,1.894,71.989,0.0,0.0,1.488,6732947.0,6534281.0,0.0,0.0,1541244848.682
1.761,1.509,95.975,0.0,0.0,0.755,6588390.0,6394195.0,0.0,0.0,1541244849.682
3.015,1.508,94.724,0.0,0.0,0.754,6553997.0,6362911.0,0.0,0.0,1541244850.682
4.810,1.646,93.038,0.0,0.0,0.506,6504603.0,6311835.0,0.0,12288.0,1541244851.682
2.144,1.387,95.965,0.0,0.0,0.504,6540408.0,6346859.0,0.0,0.0,1541244852.682
1.508,1.382,96.608,0.0,0.0,0.503,6573265.0,6380471.0,0.0,0.0,1541244853.682
1.261,1.135,96.974,0.0,0.0,0.631,6551017.0,6359023.0,0.0,0.0,1541244854.682
1.134,1.889,96.725,0.0,0.0,0.252,6694411.0,6498316.0,0.0,0.0,1541244855.682
2.919,1.396,95.305,0.0,0.0,0.381,6561438.0,6368134.0,0.0,0.0,1541244856.682
1.253,1.629,96.491,0.0,0.0,0.627,6522486.0,6333674.0,0.0,0.0,1541244857.682
1.387,1.387,96.847,0.0,0.0,0.378,6540913.0,6347236.0,0.0,0.0,1541244858.682
1.635,1.509,96.352,0.0,0.0,0.503,6654059.0,6459669.0,0.0,0.0,1541244859.682
0.882,1.511,97.103,0.0,0.0,0.504,6555436.0,6363916.0,0.0,0.0,1541244860.682
1.255,1.631,96.612,0.0,0.0,0.502,6578736.0,6380716.0,0.0,0.0,1541244861.682
1.010,1.263,97.222,0.0,0.0,0.505,6532980.0,6342538.0,0.0,0.0,1541244862.682
0.878,1.631,96.612,0.0,0.0,0.878,6588127.0,6394437.0,0.0,0.0,1541244863.682
1.132,1.258,96.981,0.0,0.0,0.629,6658270.0,6459109.0,0.0,0.0,1541244864.682
1.015,0.508,97.716,0.0,0.0,0.761,6776352.0,6576448.0,0.0,0.0,1541244865.682
0.887,1.014,97.212,0.380,0.0,0.507,6531705.0,6342893.0,0.0,135168.0,1541244866.682
1.387,1.261,96.974,0.0,0.0,0.378,6485096.0,6294673.0,0.0,0.0,1541244867.682
1.377,1.627,96.370,0.0,0.0,0.626,6477634.0,6286394.0,0.0,0.0,1541244868.682
0.885,1.138,97.219,0.0,0.0,0.759,6570385.0,6376067.0,0.0,0.0,1541244869.682
1.256,1.508,96.608,0.0,0.0,0.628,6626821.0,6428848.0,0.0,0.0,1541244870.682
0.886,1.266,97.215,0.0,0.0,0.633,6755459.0,6558761.0,0.0,0.0,1541244871.682
1.135,1.261,97.100,0.0,0.0,0.504,6676336.0,6479788.0,0.0,0.0,1541244872.682
1.255,1.255,96.612,0.0,0.0,0.878,6612077.0,6415424.0,0.0,0.0,1541244873.682
1.633,1.256,96.231,0.0,0.0,0.879,6555496.0,6363766.0,0.0,0.0,1541244874.682
0.506,1.264,97.598,0.0,0.0,0.632,6534496.0,6341642.0,0.0,0.0,1541244875.682
1.138,1.138,97.345,0.0,0.0,0.379,6549321.0,6354660.0,0.0,3981312.0,1541244876.682
1.884,1.382,95.980,0.0,0.0,0.754,6569018.0,6376364.0,0.0,0.0,1541244877.682
1.134,1.637,96.851,0.0,0.0,0.378,6572942.0,6378276.0,0.0,0.0,1541244878.682
1.259,1.259,96.977,0.0,0.0,0.504,6581441.0,6389042.0,0.0,0.0,1541244879.682
1.906,0.889,96.569,0.0,0.0,0.635,6504522.0,6312286.0,0.0,0.0,1541244880.682
2.038,1.146,96.561,0.0,0.0,0.255,6628583.0,6432945.0,0.0,4096.0,1541244881.682
1.135,1.135,97.100,0.0,0.0,0.631,6440430.0,6250525.0,0.0,0.0,1541244882.682
1.633,1.256,96.608,0.0,0.0,0.503,6664412.0,6468610.0,0.0,0.0,1541244883.682
1.010,1.263,97.348,0.0,0.0,0.379,6603102.0,6407573.0,0.0,0.0,1541244884.682
0.887,1.014,97.719,0.0,0.0,0.380,6591125.0,6398330.0,0.0,0.0,1541244885.682
1.015,1.015,97.335,0.0,0.0,0.635,6712111.0,6515917.0,0.0,0.0,1541244886.682
1.014,1.014,97.592,0.0,0.0,0.380,6578212.0,6386254.0,0.0,0.0,1541244887.682
1.643,1.264,96.587,0.0,0.0,0.506,6631984.0,6433398.0,0.0,0.0,1541244888.682
1.138,1.011,97.472,0.0,0.0,0.379,6542926.0,6352783.0,0.0,0.0,1541244889.682
1.627,1.252,96.496,0.0,0.0,0.626,6563373.0,6372317.0,0.0,0.0,1541244890.682
1.368,2.114,95.896,0.0,0.0,0.622,6677791.0,6480911.0,0.0,0.0,1541244891.682
1.259,1.134,97.103,0.0,0.0,0.504,6498688.0,6307067.0,0.0,0.0,1541244892.682
1.131,1.633,96.608,0.0,0.0,0.628,6638119.0,6439468.0,0.0,0.0,1541244893.682
0.756,1.763,97.103,0.0,0.0,0.378,6530421.0,6342061.0,0.0,0.0,1541244894.682
1.132,1.384,96.855,0.0,0.0,0.629,6612679.0,6415302.0,0.0,0.0,1541244895.682
1.255,1.380,96.487,0.251,0.0,0.627,6518097.0,6324503.0,0.0,32768.0,1541244896.682
1.759,1.382,96.106,0.0,0.0,0.754,6510704.0,6324902.0,0.0,0.0,1541244897.682
1.009,1.765,96.721,0.0,0.0,0.504,6662540.0,6468737.0,0.0,0.0,1541244898.682
1.136,1.010,97.348,0.0,0.0,0.505,6570334.0,6376556.0,0.0,0.0,1541244899.682
0.763,0.891,98.092,0.0,0.0,0.254,6586807.0,6394399.0,0.0,0.0,1541244900.682
1.648,0.887,96.705,0.0,0.0,0.760,6703199.0,6506036.0,0.0,0.0,1541244901.682
0.635,1.142,97.843,0.0,0.0,0.381,6735965.0,6536643.0,0.0,0.0,1541244902.682
1.139,1.772,96.962,0.0,0.0,0.127,6686787.0,6489367.0,0.0,0.0,1541244903.682
1.013,0.886,97.342,0.0,0.0,0.759,6583626.0,6390293.0,0.0,0.0,1541244904.682
1.256,1.508,96.734,0.0,0.0,0.503,6804760.0,6607134.0,0.0,0.0,1541244905.682
1.009,1.387,97.100,0.0,0.0,0.504,6591265.0,6398473.0,0.0,0.0,1541244906.682
