"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_40_worker_64_rep_2.csv -T 1 60",,,,"Date:","03 Nov 2018 14:04:41 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
5.003,10.973,81.128,0.570,0.0,2.326,0.0,0.0,1541253881.817
1.053,5.263,91.579,0.0,0.0,2.105,493879.0,13292784.0,1541253882.818
2.062,5.155,91.753,0.0,0.0,1.031,478306.0,12838428.0,1541253883.818
1.031,6.186,90.722,0.0,0.0,2.062,503334.0,13321712.0,1541253884.818
1.980,5.941,89.109,0.0,0.0,2.970,489493.0,12939134.0,1541253885.818
0.0,4.211,94.737,0.0,0.0,1.053,499580.0,12937139.0,1541253886.818
2.041,6.122,89.796,0.0,0.0,2.041,502611.0,12886023.0,1541253887.818
0.0,6.250,92.708,0.0,0.0,1.042,490197.0,12782256.0,1541253888.818
1.031,4.124,91.753,0.0,0.0,3.093,475740.0,12776793.0,1541253889.817
2.0,6.0,90.0,0.0,0.0,2.0,481469.0,12874293.0,1541253890.818
0.0,6.250,93.750,0.0,0.0,0.0,480847.0,12867216.0,1541253891.818
2.020,5.051,89.899,0.0,0.0,3.030,477814.0,12811654.0,1541253892.818
3.061,5.102,89.796,0.0,0.0,2.041,480195.0,12601216.0,1541253893.818
0.0,7.143,91.837,0.0,0.0,1.020,492156.0,12773732.0,1541253894.818
1.031,6.186,92.784,0.0,0.0,0.0,501656.0,12765874.0,1541253895.818
1.010,6.061,89.899,0.0,0.0,3.030,511985.0,13167819.0,1541253896.818
1.042,3.125,93.750,0.0,0.0,2.083,504865.0,12951321.0,1541253897.818
1.031,8.247,89.691,0.0,0.0,1.031,506622.0,12751045.0,1541253898.818
1.031,6.186,91.753,0.0,0.0,1.031,506444.0,12628155.0,1541253899.818
1.020,6.122,89.796,0.0,0.0,3.061,525436.0,12762308.0,1541253900.818
1.031,6.186,91.753,0.0,0.0,1.031,530947.0,12711529.0,1541253901.818
1.042,4.167,93.750,0.0,0.0,1.042,515771.0,12747180.0,1541253902.818
2.970,6.931,87.129,0.0,0.0,2.970,511555.0,12558595.0,1541253903.818
0.0,7.143,88.776,2.041,0.0,2.041,513063.0,12618647.0,1541253904.818
2.041,5.102,91.837,0.0,0.0,1.020,516511.0,12645531.0,1541253905.818
3.125,4.167,92.708,0.0,0.0,0.0,524358.0,12697851.0,1541253906.818
2.041,6.122,89.796,0.0,0.0,2.041,523009.0,12786683.0,1541253907.818
0.0,7.216,90.722,0.0,0.0,2.062,522594.0,12693376.0,1541253908.818
2.083,6.250,91.667,0.0,0.0,0.0,551108.0,13027123.0,1541253909.818
2.083,5.208,92.708,0.0,0.0,0.0,526270.0,12704102.0,1541253910.818
0.0,6.122,91.837,0.0,0.0,2.041,520480.0,12723575.0,1541253911.818
1.064,3.191,95.745,0.0,0.0,0.0,513725.0,12732179.0,1541253912.818
3.030,7.071,88.889,0.0,0.0,1.010,499827.0,12749596.0,1541253913.818
1.031,5.155,92.784,0.0,0.0,1.031,500717.0,12911255.0,1541253914.818
2.020,6.061,89.899,0.0,0.0,2.020,491989.0,12800099.0,1541253915.818
1.0,7.0,90.0,0.0,0.0,2.0,494537.0,12987614.0,1541253916.818
1.031,5.155,92.784,0.0,0.0,1.031,491751.0,12915569.0,1541253917.818
1.031,5.155,90.722,0.0,0.0,3.093,478461.0,12496199.0,1541253918.818
2.041,6.122,89.796,0.0,0.0,2.041,507762.0,13045810.0,1541253919.818
1.031,4.124,92.784,0.0,0.0,2.062,498609.0,12974082.0,1541253920.818
1.031,5.155,92.784,0.0,0.0,1.031,502853.0,13010404.0,1541253921.818
1.053,4.211,92.632,0.0,0.0,2.105,520719.0,13227878.0,1541253922.818
1.031,7.216,90.722,0.0,0.0,1.031,497748.0,12793895.0,1541253923.818
2.020,5.051,90.909,0.0,0.0,2.020,500602.0,12899434.0,1541253924.818
2.041,6.122,89.796,0.0,0.0,2.041,498018.0,12913962.0,1541253925.818
0.0,7.292,90.625,0.0,0.0,2.083,487241.0,12763158.0,1541253926.818
1.042,4.167,93.750,0.0,0.0,1.042,477297.0,12674374.0,1541253927.818
2.970,6.931,87.129,0.0,0.0,2.970,486135.0,12964220.0,1541253928.818
0.0,7.216,90.722,0.0,0.0,2.062,509163.0,13104505.0,1541253929.818
1.031,5.155,91.753,0.0,0.0,2.062,494193.0,12869814.0,1541253930.818
1.031,6.186,92.784,0.0,0.0,0.0,485036.0,12656378.0,1541253931.818
0.0,6.186,92.784,0.0,0.0,1.031,493201.0,12917414.0,1541253932.818
1.0,8.0,89.0,0.0,0.0,2.0,490466.0,12631976.0,1541253933.818
0.0,9.184,79.592,10.204,0.0,1.020,504478.0,12649171.0,1541253934.818
0.0,5.102,91.837,0.0,0.0,3.061,509260.0,12670433.0,1541253935.818
1.020,5.102,91.837,0.0,0.0,2.041,525745.0,12659740.0,1541253936.818
0.0,9.278,89.691,0.0,0.0,1.031,533226.0,12707520.0,1541253937.818
2.0,8.0,89.0,0.0,0.0,1.0,517639.0,12738652.0,1541253938.818
0.0,7.143,90.816,0.0,0.0,2.041,501683.0,12677318.0,1541253939.818
1.031,6.186,91.753,0.0,0.0,1.031,500618.0,12765259.0,1541253940.818
0.0,6.186,91.753,0.0,0.0,2.062,496466.0,12850607.0,1541253941.818
