PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=3.51 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=0.926 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=0.866 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=0.823 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=0.625 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=0.881 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=1.40 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=0.758 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=1.49 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=1.12 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=0.873 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=0.939 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=1.33 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=4.90 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=1.31 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=2.26 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=0.881 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=1.43 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=0.689 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=0.709 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=0.820 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=0.904 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=0.797 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=1.16 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=0.869 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=0.811 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=0.973 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=1.16 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=1.33 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=1.02 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=0.942 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=1.07 ms
64 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=2.02 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=64 time=0.889 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=64 time=1.05 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=0.960 ms
64 bytes from 10.0.0.6: icmp_seq=37 ttl=64 time=2.38 ms
64 bytes from 10.0.0.6: icmp_seq=38 ttl=64 time=0.901 ms
64 bytes from 10.0.0.6: icmp_seq=39 ttl=64 time=0.870 ms
64 bytes from 10.0.0.6: icmp_seq=40 ttl=64 time=1.01 ms
64 bytes from 10.0.0.6: icmp_seq=41 ttl=64 time=2.48 ms
64 bytes from 10.0.0.6: icmp_seq=42 ttl=64 time=0.777 ms
64 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=0.906 ms
64 bytes from 10.0.0.6: icmp_seq=44 ttl=64 time=0.909 ms
64 bytes from 10.0.0.6: icmp_seq=45 ttl=64 time=0.924 ms
64 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=1.40 ms
64 bytes from 10.0.0.6: icmp_seq=47 ttl=64 time=1.75 ms
64 bytes from 10.0.0.6: icmp_seq=48 ttl=64 time=0.667 ms
64 bytes from 10.0.0.6: icmp_seq=49 ttl=64 time=0.708 ms
64 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=2.25 ms

--- 10.0.0.6 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9910ms
rtt min/avg/max/mdev = 0.625/1.250/4.901/0.767 ms
