"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_0:1_vc_32_worker_16_rep_1.csv -T 1 80",,,,"Date:","07 Dec 2018 12:19:53 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.837,2.190,94.500,0.169,0.0,1.304,0.0,0.0,1544185193.169
1.523,0.508,95.431,0.0,0.0,2.538,3810560.0,134093.0,1544185194.170
0.513,0.513,97.436,0.0,0.0,1.538,4420681.0,150956.0,1544185195.170
1.523,1.015,95.939,0.0,0.0,1.523,4332103.0,147864.0,1544185196.170
1.508,2.513,94.975,0.0,0.0,1.005,4316264.0,151341.0,1544185197.170
1.523,2.030,95.431,0.0,0.0,1.015,4429578.0,151300.0,1544185198.170
0.505,1.515,95.960,0.0,0.0,2.020,4411484.0,150522.0,1544185199.170
1.508,2.010,94.975,0.0,0.0,1.508,4311700.0,151157.0,1544185200.170
1.515,2.020,95.960,0.0,0.0,0.505,4345318.0,148214.0,1544185201.170
1.515,1.515,95.960,0.0,0.0,1.010,4363130.0,148896.0,1544185202.170
1.010,2.525,93.939,0.0,0.0,2.525,4337855.0,152047.0,1544185203.170
1.523,1.523,95.431,0.0,0.0,1.523,4367306.0,150836.0,1544185204.170
1.523,1.523,96.447,0.0,0.0,0.508,4337112.0,148617.0,1544185205.170
1.015,2.538,95.431,0.0,0.0,1.015,4412353.0,154209.0,1544185206.170
1.500,2.500,95.0,0.0,0.0,1.0,4464650.0,152598.0,1544185207.170
1.990,1.990,94.030,0.0,0.0,1.990,4376199.0,149455.0,1544185208.170
1.010,1.515,95.455,0.0,0.0,2.020,4347181.0,152427.0,1544185209.170
1.010,2.020,95.960,0.0,0.0,1.010,4340407.0,147858.0,1544185210.170
1.010,1.010,95.960,0.0,0.0,2.020,4362976.0,148823.0,1544185211.170
1.015,1.523,96.447,0.0,0.0,1.015,4302509.0,149887.0,1544185212.170
1.500,1.500,94.500,0.0,0.0,2.500,4332865.0,148406.0,1544185213.170
1.0,2.500,95.0,0.0,0.0,1.500,4328199.0,148111.0,1544185214.170
0.505,1.010,96.465,0.0,0.0,2.020,4371643.0,149130.0,1544185215.170
2.041,1.020,95.918,0.0,0.0,1.020,4315867.0,150985.0,1544185216.170
1.005,2.010,95.980,0.0,0.0,1.005,4350316.0,148656.0,1544185217.170
0.513,2.051,96.410,0.0,0.0,1.026,4336656.0,147890.0,1544185218.170
