"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_32_worker_64_rep_3.csv -T 1 80",,,,"Date:","07 Dec 2018 13:02:02 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.686,2.904,92.618,0.071,0.0,0.720,0.0,0.0,9112.295,316920.651,0.0,0.0,2900.907,9328.284,1544187722.055
46.961,7.597,42.541,0.0,0.0,2.901,11282431.0,10577680.0,0.0,0.0,0.0,0.0,4715.0,12454.0,1544187723.057
44.958,11.064,40.616,0.0,0.0,3.361,20106156.0,19627597.0,0.0,0.0,0.0,0.0,6390.0,18877.0,1544187724.056
20.430,9.140,67.473,0.0,0.0,2.957,27934544.0,27613487.0,0.0,0.0,0.0,0.0,7728.0,23987.0,1544187725.063
10.519,8.921,79.228,0.0,0.0,1.332,30247206.0,29745338.0,0.0,0.0,0.0,0.0,8351.0,25728.0,1544187726.056
9.788,9.127,79.762,0.0,0.0,1.323,30756230.0,30048112.0,0.0,0.0,0.0,0.0,8896.0,26565.0,1544187727.058
8.690,8.556,80.882,0.0,0.0,1.872,31018795.0,30700341.0,0.0,0.0,0.0,0.0,8898.0,26323.0,1544187728.056
9.152,9.960,79.408,0.0,0.0,1.480,31008274.0,30565509.0,0.0,0.0,0.0,0.0,9425.0,27428.0,1544187729.056
9.379,9.775,78.864,0.0,0.0,1.982,30412482.0,29910111.0,0.0,0.0,0.0,0.0,9011.0,26379.0,1544187730.056
10.598,9.918,78.125,0.0,0.0,1.359,31261369.0,30753884.0,0.0,0.0,0.0,0.0,9630.0,27794.0,1544187731.056
10.533,9.467,78.133,0.0,0.0,1.867,31973766.0,31370152.0,0.0,0.0,0.0,0.0,9909.0,28410.0,1544187732.056
9.920,8.311,79.759,0.0,0.0,2.011,30927866.0,30449376.0,0.0,0.0,0.0,0.0,9128.0,27213.0,1544187733.056
9.151,10.080,79.045,0.0,0.0,1.724,31757848.0,31181710.0,0.0,0.0,0.0,0.0,9529.0,28030.0,1544187734.056
8.545,10.147,79.573,0.0,0.0,1.736,30336591.0,29883109.0,0.0,0.0,0.0,0.0,9490.0,27378.0,1544187735.056
10.832,10.568,77.015,0.0,0.0,1.585,31336098.0,30854583.0,0.0,0.0,0.0,0.0,9603.0,27733.0,1544187736.056
7.919,9.128,81.477,0.0,0.0,1.477,30826983.0,30335434.0,0.0,0.0,0.0,0.0,9168.0,26892.0,1544187737.056
8.130,8.537,81.030,0.0,0.0,2.304,32043474.0,31579493.0,0.0,0.0,0.0,0.0,9523.0,28136.0,1544187738.056
8.742,9.139,80.662,0.265,0.0,1.192,30473755.0,29843877.0,0.0,77824.0,0.0,0.0,8848.0,26175.0,1544187739.056
8.667,9.333,80.0,0.0,0.0,2.0,30342602.0,30093128.0,0.0,65536.0,0.0,0.0,9260.0,26907.0,1544187740.056
9.436,7.995,80.996,0.0,0.0,1.573,30503182.0,30022702.0,0.0,0.0,0.0,0.0,8886.0,26118.0,1544187741.056
9.399,9.530,79.112,0.0,0.0,1.958,30876622.0,30318922.0,0.0,0.0,0.0,0.0,9537.0,27595.0,1544187742.061
8.152,8.152,82.201,0.0,0.0,1.495,32019196.0,31579182.0,0.0,0.0,0.0,0.0,9101.0,27296.0,1544187743.056
8.097,7.827,82.051,0.0,0.0,2.024,31417290.0,30953553.0,0.0,0.0,0.0,0.0,9072.0,26901.0,1544187744.056
8.267,8.533,81.467,0.0,0.0,1.733,30684576.0,30221154.0,0.0,8192.0,0.0,0.0,9049.0,26167.0,1544187745.056
8.016,7.880,82.337,0.0,0.0,1.766,30976095.0,30515444.0,0.0,0.0,0.0,0.0,9067.0,26481.0,1544187746.056
8.177,9.786,80.161,0.0,0.0,1.877,32088241.0,31656949.0,0.0,0.0,0.0,0.0,10130.0,29308.0,1544187747.056
8.530,9.843,80.052,0.0,0.0,1.575,28900912.0,28388012.0,0.0,0.0,0.0,0.0,11451.0,31961.0,1544187748.056
8.221,8.895,81.402,0.0,0.0,1.482,30648812.0,30208432.0,0.0,0.0,0.0,0.0,9777.0,28782.0,1544187749.056
9.115,8.454,80.978,0.0,0.0,1.453,30720928.0,30191133.0,0.0,8192.0,0.0,0.0,9344.0,27563.0,1544187750.058
8.097,7.827,82.591,0.0,0.0,1.484,28975122.0,28509294.0,0.0,0.0,0.0,0.0,10758.0,30423.0,1544187751.057
