"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_0:1_vc_1_worker_8_rep_2.csv -T 1 80",,,,"Date:","07 Dec 2018 08:04:51 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
3.301,6.593,88.790,0.307,0.0,1.009,0.0,0.0,1544169891.132
3.191,5.319,90.426,0.0,0.0,1.064,331552.0,9414559.0,1544169892.133
3.093,7.216,84.536,3.093,0.0,2.062,364503.0,10215855.0,1544169893.133
3.261,9.783,86.957,0.0,0.0,0.0,428268.0,12171925.0,1544169894.133
1.064,11.702,87.234,0.0,0.0,0.0,451824.0,12849587.0,1544169895.133
2.174,8.696,88.043,0.0,0.0,1.087,411275.0,11520012.0,1544169896.134
2.151,8.602,88.172,0.0,0.0,1.075,440377.0,12517505.0,1544169897.133
2.083,11.458,86.458,0.0,0.0,0.0,439696.0,12508636.0,1544169898.133
4.124,10.309,82.474,0.0,0.0,3.093,445377.0,12495946.0,1544169899.133
1.053,10.526,88.421,0.0,0.0,0.0,438852.0,12478873.0,1544169900.133
1.111,4.444,93.333,0.0,0.0,1.111,440248.0,12525649.0,1544169901.134
2.151,8.602,87.097,0.0,0.0,2.151,445640.0,12504435.0,1544169902.133
2.083,10.417,87.500,0.0,0.0,0.0,438946.0,12478798.0,1544169903.133
0.0,11.957,88.043,0.0,0.0,0.0,446873.0,12721709.0,1544169904.133
3.158,10.526,85.263,0.0,0.0,1.053,445292.0,12478889.0,1544169905.133
1.087,9.783,89.130,0.0,0.0,0.0,439288.0,12500184.0,1544169906.133
2.083,10.417,87.500,0.0,0.0,0.0,436898.0,12423670.0,1544169907.133
2.198,5.495,90.110,0.0,0.0,2.198,445300.0,12487553.0,1544169908.133
3.261,9.783,86.957,0.0,0.0,0.0,442605.0,12581115.0,1544169909.133
2.198,6.593,91.209,0.0,0.0,0.0,440080.0,12512912.0,1544169910.133
3.125,9.375,87.500,0.0,0.0,0.0,435236.0,12369476.0,1544169911.133
4.255,7.447,85.106,0.0,0.0,3.191,451815.0,12674230.0,1544169912.133
3.125,9.375,86.458,0.0,0.0,1.042,444659.0,12649291.0,1544169913.133
2.198,8.791,89.011,0.0,0.0,0.0,439724.0,12512922.0,1544169914.133
4.255,6.383,87.234,0.0,0.0,2.128,444944.0,12474739.0,1544169915.133
5.376,9.677,83.871,0.0,0.0,1.075,440184.0,12437544.0,1544169916.133
1.087,6.522,90.217,0.0,0.0,2.174,439965.0,12521423.0,1544169917.133
2.273,5.682,90.909,0.0,0.0,1.136,447504.0,12551363.0,1544169918.133
3.261,5.435,90.217,0.0,0.0,1.087,438860.0,12495862.0,1544169919.133
1.042,11.458,87.500,0.0,0.0,0.0,436423.0,12393585.0,1544169920.133
3.261,7.609,88.043,0.0,0.0,1.087,447003.0,12559890.0,1544169921.133
2.128,6.383,90.426,0.0,0.0,1.064,445171.0,12640794.0,1544169922.136
1.053,9.474,86.316,2.105,0.0,1.053,438895.0,12491586.0,1544169923.133
6.452,7.527,84.946,1.075,0.0,0.0,456167.0,12807065.0,1544169924.133
1.087,8.696,90.217,0.0,0.0,0.0,439160.0,12487319.0,1544169925.133
1.042,9.375,87.500,0.0,0.0,2.083,437610.0,12444716.0,1544169926.133
3.061,12.245,83.673,0.0,0.0,1.020,441114.0,12389401.0,1544169927.133
2.128,9.574,87.234,0.0,0.0,1.064,446775.0,12683403.0,1544169928.133
3.297,6.593,87.912,0.0,0.0,2.198,430178.0,12244374.0,1544169929.133
2.299,5.747,90.805,0.0,0.0,1.149,450120.0,12640865.0,1544169930.133
