PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=1 ttl=64 time=1.14 ms
64 bytes from 10.0.0.5: icmp_seq=2 ttl=64 time=1.62 ms
64 bytes from 10.0.0.5: icmp_seq=3 ttl=64 time=0.793 ms
64 bytes from 10.0.0.5: icmp_seq=4 ttl=64 time=3.10 ms
64 bytes from 10.0.0.5: icmp_seq=5 ttl=64 time=0.587 ms
64 bytes from 10.0.0.5: icmp_seq=6 ttl=64 time=0.826 ms
64 bytes from 10.0.0.5: icmp_seq=7 ttl=64 time=0.805 ms
64 bytes from 10.0.0.5: icmp_seq=8 ttl=64 time=1.33 ms
64 bytes from 10.0.0.5: icmp_seq=9 ttl=64 time=1.50 ms
64 bytes from 10.0.0.5: icmp_seq=10 ttl=64 time=0.861 ms
64 bytes from 10.0.0.5: icmp_seq=11 ttl=64 time=1.13 ms
64 bytes from 10.0.0.5: icmp_seq=12 ttl=64 time=0.917 ms
64 bytes from 10.0.0.5: icmp_seq=13 ttl=64 time=1.49 ms
64 bytes from 10.0.0.5: icmp_seq=14 ttl=64 time=0.879 ms
64 bytes from 10.0.0.5: icmp_seq=15 ttl=64 time=0.956 ms
64 bytes from 10.0.0.5: icmp_seq=16 ttl=64 time=0.789 ms
64 bytes from 10.0.0.5: icmp_seq=17 ttl=64 time=0.901 ms
64 bytes from 10.0.0.5: icmp_seq=18 ttl=64 time=0.995 ms
64 bytes from 10.0.0.5: icmp_seq=19 ttl=64 time=0.741 ms
64 bytes from 10.0.0.5: icmp_seq=20 ttl=64 time=0.719 ms
64 bytes from 10.0.0.5: icmp_seq=21 ttl=64 time=0.986 ms
64 bytes from 10.0.0.5: icmp_seq=22 ttl=64 time=1.15 ms
64 bytes from 10.0.0.5: icmp_seq=23 ttl=64 time=0.964 ms
64 bytes from 10.0.0.5: icmp_seq=24 ttl=64 time=0.729 ms
64 bytes from 10.0.0.5: icmp_seq=25 ttl=64 time=1.22 ms
64 bytes from 10.0.0.5: icmp_seq=26 ttl=64 time=0.812 ms
64 bytes from 10.0.0.5: icmp_seq=27 ttl=64 time=0.677 ms
64 bytes from 10.0.0.5: icmp_seq=28 ttl=64 time=0.975 ms
64 bytes from 10.0.0.5: icmp_seq=29 ttl=64 time=0.644 ms
64 bytes from 10.0.0.5: icmp_seq=30 ttl=64 time=0.977 ms
64 bytes from 10.0.0.5: icmp_seq=31 ttl=64 time=1.10 ms
64 bytes from 10.0.0.5: icmp_seq=32 ttl=64 time=1.39 ms
64 bytes from 10.0.0.5: icmp_seq=33 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=34 ttl=64 time=0.784 ms
64 bytes from 10.0.0.5: icmp_seq=35 ttl=64 time=0.905 ms
64 bytes from 10.0.0.5: icmp_seq=36 ttl=64 time=0.752 ms
64 bytes from 10.0.0.5: icmp_seq=37 ttl=64 time=1.40 ms
64 bytes from 10.0.0.5: icmp_seq=38 ttl=64 time=1.25 ms
64 bytes from 10.0.0.5: icmp_seq=39 ttl=64 time=0.876 ms
64 bytes from 10.0.0.5: icmp_seq=40 ttl=64 time=0.955 ms
64 bytes from 10.0.0.5: icmp_seq=41 ttl=64 time=0.766 ms
64 bytes from 10.0.0.5: icmp_seq=42 ttl=64 time=1.96 ms
64 bytes from 10.0.0.5: icmp_seq=43 ttl=64 time=0.846 ms
64 bytes from 10.0.0.5: icmp_seq=44 ttl=64 time=0.761 ms
64 bytes from 10.0.0.5: icmp_seq=45 ttl=64 time=0.792 ms
64 bytes from 10.0.0.5: icmp_seq=46 ttl=64 time=0.768 ms
64 bytes from 10.0.0.5: icmp_seq=47 ttl=64 time=0.811 ms
64 bytes from 10.0.0.5: icmp_seq=48 ttl=64 time=0.695 ms
64 bytes from 10.0.0.5: icmp_seq=49 ttl=64 time=0.826 ms
64 bytes from 10.0.0.5: icmp_seq=50 ttl=64 time=0.962 ms

--- 10.0.0.5 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9907ms
rtt min/avg/max/mdev = 0.587/1.017/3.102/0.407 ms
