"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:0_vc_32_worker_8_rep_3.csv -T 1 90",,,,"Date:","09 Nov 2018 14:22:01 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.949,2.421,92.995,0.469,0.0,2.166,0.0,0.0,1541773321.768
2.551,2.551,93.367,0.0,0.0,1.531,272638.0,8163990.0,1541773322.769
2.985,3.483,90.547,0.0,0.0,2.985,359828.0,10790871.0,1541773323.769
2.513,3.015,89.950,0.0,0.0,4.523,440516.0,13028740.0,1541773324.769
2.500,3.0,91.0,0.0,0.0,3.500,422970.0,12692471.0,1541773325.769
2.0,3.500,89.500,0.0,0.0,5.0,439230.0,13149392.0,1541773326.769
2.051,2.564,92.821,0.0,0.0,2.564,432314.0,12780505.0,1541773327.769
1.015,4.061,92.386,0.0,0.0,2.538,415750.0,12453299.0,1541773328.769
2.564,3.077,92.308,0.0,0.0,2.051,429731.0,12803033.0,1541773329.769
2.020,2.525,91.414,0.0,0.0,4.040,439330.0,12994617.0,1541773330.769
3.061,1.531,92.347,0.0,0.0,3.061,413700.0,12390241.0,1541773331.769
1.523,5.076,91.371,0.0,0.0,2.030,417060.0,12499043.0,1541773332.769
1.546,2.062,92.784,0.0,0.0,3.608,432602.0,12788909.0,1541773333.769
1.508,3.015,90.955,0.0,0.0,4.523,432600.0,12960531.0,1541773334.769
1.538,3.590,92.821,0.0,0.0,2.051,435976.0,13052777.0,1541773335.769
1.523,5.584,90.863,0.0,0.0,2.030,415094.0,12277266.0,1541773336.769
1.531,2.041,93.367,0.0,0.0,3.061,408190.0,12230874.0,1541773337.769
1.036,2.073,93.782,0.0,0.0,3.109,438966.0,13145265.0,1541773338.769
1.523,3.046,91.371,0.0,0.0,4.061,437494.0,12935602.0,1541773339.769
2.0,3.500,90.500,0.0,0.0,4.0,433654.0,12998382.0,1541773340.769
