"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:0_vc_8_worker_32_rep_3.csv -T 1 90",,,,"Date:","09 Nov 2018 13:14:19 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
2.992,2.640,93.183,0.477,0.0,0.709,0.0,0.0,43536.754,1024990.828,0.0,0.0,4492.213,13431.587,1541769259.768
41.160,9.052,46.393,0.0,0.0,3.395,12995634.0,34823055.0,0.0,0.0,0.0,0.0,6376.0,18766.0,1541769260.772
38.672,9.812,47.042,0.0,0.0,4.473,17950047.0,48120421.0,0.0,0.0,0.0,0.0,8481.0,25253.0,1541769261.769
25.981,8.119,63.058,0.0,0.0,2.842,21568932.0,57697913.0,0.0,0.0,0.0,0.0,9979.0,30913.0,1541769262.770
10.040,7.898,79.518,0.0,0.0,2.544,24815588.0,66452706.0,0.0,0.0,0.0,0.0,12084.0,36428.0,1541769263.772
8.812,7.877,81.842,0.0,0.0,1.469,25239676.0,67834418.0,0.0,0.0,0.0,0.0,12592.0,36952.0,1541769264.770
7.278,7.951,83.423,0.0,0.0,1.348,26009337.0,69743665.0,0.0,0.0,0.0,0.0,13245.0,38607.0,1541769265.769
8.037,8.037,82.477,0.0,0.0,1.449,25455317.0,68217889.0,0.0,0.0,0.0,0.0,12882.0,37455.0,1541769266.769
6.915,7.979,83.245,0.0,0.0,1.862,23609333.0,63264857.0,0.0,0.0,0.0,0.0,12115.0,35118.0,1541769267.770
7.703,7.432,83.108,0.0,0.0,1.757,25393764.0,68071731.0,0.0,0.0,0.0,0.0,13009.0,37599.0,1541769268.769
5.653,8.075,84.926,0.0,0.0,1.346,24709003.0,66223925.0,0.0,0.0,0.0,0.0,12720.0,36762.0,1541769269.769
7.152,6.748,84.345,0.0,0.0,1.754,24999455.0,67022727.0,0.0,0.0,0.0,0.0,12809.0,36690.0,1541769270.769
5.922,7.941,83.984,0.0,0.0,2.153,25861411.0,69156510.0,0.0,0.0,0.0,0.0,13301.0,38164.0,1541769271.769
6.057,8.075,83.580,0.0,0.0,2.288,24608951.0,65992648.0,0.0,0.0,0.0,0.0,12799.0,36512.0,1541769272.770
5.186,7.447,85.638,0.0,0.0,1.729,24221041.0,65049529.0,0.0,0.0,0.0,0.0,12210.0,34856.0,1541769273.769
6.267,8.267,84.0,0.0,0.0,1.467,25326180.0,67848986.0,0.0,0.0,0.0,0.0,13295.0,37666.0,1541769274.769
7.467,7.067,83.333,0.0,0.0,2.133,26040598.0,69828666.0,0.0,0.0,0.0,0.0,13442.0,38612.0,1541769275.769
6.622,7.973,83.514,0.0,0.0,1.892,26406037.0,70779840.0,0.0,0.0,0.0,0.0,13347.0,38585.0,1541769276.769
6.566,7.250,84.679,0.0,0.0,1.505,25951604.0,69563615.0,0.0,0.0,0.0,0.0,13262.0,38025.0,1541769277.769
6.324,8.432,83.267,0.0,0.0,1.976,25418711.0,68078066.0,0.0,0.0,0.0,0.0,12903.0,37191.0,1541769278.769
6.631,7.825,83.156,0.663,0.0,1.724,25178426.0,67437476.0,0.0,69632.0,0.0,0.0,12729.0,36550.0,1541769279.769
6.117,9.043,83.511,0.0,0.0,1.330,25934585.0,69575015.0,0.0,0.0,0.0,0.0,13008.0,37876.0,1541769280.769
5.954,7.172,85.927,0.0,0.0,0.947,26418242.0,70665413.0,0.0,57344.0,0.0,0.0,13431.0,38505.0,1541769281.771
6.842,8.026,83.289,0.0,0.0,1.842,25539319.0,68661833.0,0.0,0.0,0.0,0.0,13119.0,38032.0,1541769282.770
6.217,7.937,84.524,0.0,0.0,1.323,25776858.0,69122666.0,0.0,0.0,0.0,0.0,13167.0,37494.0,1541769283.769
7.457,6.525,84.021,0.0,0.0,1.997,26448244.0,70894318.0,0.0,0.0,0.0,0.0,13594.0,39355.0,1541769284.769
5.718,7.979,84.309,0.0,0.0,1.995,24756765.0,66363927.0,0.0,0.0,0.0,0.0,12480.0,36284.0,1541769285.770
5.474,7.076,85.714,0.0,0.0,1.736,24298140.0,65025576.0,0.0,4096.0,0.0,0.0,12378.0,35662.0,1541769286.770
5.284,8.190,84.941,0.0,0.0,1.585,24897903.0,66836979.0,0.0,0.0,0.0,0.0,12611.0,36434.0,1541769287.769
5.333,8.133,84.800,0.0,0.0,1.733,24914707.0,66779706.0,0.0,0.0,0.0,0.0,12967.0,37054.0,1541769288.769
6.324,7.246,84.848,0.0,0.0,1.581,24820910.0,66492275.0,0.0,0.0,0.0,0.0,12672.0,36109.0,1541769289.770
5.960,8.212,84.238,0.0,0.0,1.589,25511722.0,68421177.0,0.0,0.0,0.0,0.0,13258.0,37616.0,1541769290.769
6.209,7.662,83.884,0.0,0.0,2.246,24765356.0,66313462.0,0.0,14712832.0,0.0,0.0,12866.0,36399.0,1541769291.769
5.541,7.703,85.811,0.0,0.0,0.946,25119734.0,67423552.0,0.0,0.0,0.0,0.0,13225.0,36894.0,1541769292.770
5.797,9.881,82.740,0.0,0.0,1.581,25475223.0,68317136.0,0.0,0.0,0.0,0.0,13103.0,37287.0,1541769293.769
5.263,7.018,85.830,0.0,0.0,1.889,24701257.0,66165842.0,0.0,0.0,0.0,0.0,13085.0,37153.0,1541769294.769
7.050,9.008,82.376,0.0,0.0,1.567,26351030.0,70672781.0,0.0,0.0,0.0,0.0,13523.0,38908.0,1541769295.770
5.890,7.764,84.337,0.0,0.0,2.008,26286459.0,70440359.0,0.0,0.0,0.0,0.0,13749.0,39279.0,1541769296.770
5.954,6.901,85.386,0.0,0.0,1.759,25515759.0,68427780.0,0.0,0.0,0.0,0.0,13035.0,37695.0,1541769297.770
5.496,7.239,85.657,0.0,0.0,1.609,25657598.0,68687432.0,0.0,0.0,0.0,0.0,12857.0,37342.0,1541769298.770
6.209,9.379,82.695,0.0,0.0,1.717,27211227.0,72954591.0,0.0,0.0,0.0,0.0,14050.0,40572.0,1541769299.769
6.815,7.995,83.093,0.0,0.0,2.097,25427398.0,68191962.0,0.0,0.0,0.0,0.0,13214.0,37447.0,1541769300.769
5.898,7.239,85.255,0.0,0.0,1.609,24855959.0,66651887.0,0.0,0.0,0.0,0.0,12546.0,36281.0,1541769301.769
6.827,7.229,84.739,0.0,0.0,1.205,26477259.0,70881633.0,0.0,0.0,0.0,0.0,13444.0,38656.0,1541769302.770
5.836,9.019,83.422,0.0,0.0,1.724,25555842.0,68556215.0,0.0,0.0,0.0,0.0,13292.0,37713.0,1541769303.770
5.376,7.392,85.618,0.0,0.0,1.613,25326410.0,67844966.0,0.0,0.0,0.0,0.0,13046.0,37399.0,1541769304.770
5.673,8.971,83.641,0.0,0.0,1.715,24229172.0,64960798.0,0.0,0.0,0.0,0.0,12785.0,36024.0,1541769305.770
5.836,7.958,83.952,0.0,0.0,2.255,24644679.0,66054375.0,0.0,0.0,0.0,0.0,13002.0,36710.0,1541769306.769
6.008,8.411,83.712,0.0,0.0,1.869,25499336.0,68440992.0,0.0,0.0,0.0,0.0,13151.0,37392.0,1541769307.769
4.459,7.838,86.216,0.0,0.0,1.486,24552637.0,65666254.0,0.0,0.0,0.0,0.0,13126.0,36821.0,1541769308.769
5.534,8.432,84.190,0.264,0.0,1.581,24990331.0,67172715.0,0.0,36864.0,0.0,0.0,13103.0,37123.0,1541769309.769
7.048,9.309,81.915,0.0,0.0,1.729,25541603.0,68455066.0,0.0,0.0,0.0,0.0,13355.0,37655.0,1541769310.769
6.242,8.234,83.665,0.0,0.0,1.859,25137507.0,67181727.0,0.0,0.0,0.0,0.0,13077.0,37157.0,1541769311.769
6.117,8.378,84.309,0.0,0.0,1.197,25538493.0,68651602.0,0.0,0.0,0.0,0.0,13369.0,37808.0,1541769312.769
4.993,7.962,85.695,0.0,0.0,1.350,24993754.0,66966934.0,0.0,0.0,0.0,0.0,12787.0,36417.0,1541769313.769
