"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:0_vc_8_worker_64_rep_2.csv -T 1 90",,,,"Date:","09 Nov 2018 13:18:50 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
5.305,8.495,83.173,1.206,0.0,1.820,0.0,0.0,1541769530.481
5.682,10.227,79.545,0.0,0.0,4.545,29586136.0,959679.0,1541769531.482
6.452,16.129,68.817,0.0,0.0,8.602,38194677.0,1236060.0,1541769532.482
8.421,22.105,65.263,0.0,0.0,4.211,45019533.0,1455160.0,1541769533.482
18.280,16.129,61.290,0.0,0.0,4.301,45076890.0,1459701.0,1541769534.482
8.889,24.444,60.0,0.0,0.0,6.667,45826428.0,1487036.0,1541769535.482
8.791,21.978,60.440,0.0,0.0,8.791,45841697.0,1483580.0,1541769536.482
9.677,27.957,56.989,0.0,0.0,5.376,45938272.0,1487929.0,1541769537.482
9.574,22.340,60.638,0.0,0.0,7.447,46804171.0,1515360.0,1541769538.482
13.978,19.355,61.290,0.0,0.0,5.376,45606490.0,1473080.0,1541769539.485
14.130,29.348,47.826,0.0,0.0,8.696,45044484.0,1461445.0,1541769540.484
10.465,24.419,60.465,0.0,0.0,4.651,45304861.0,1469020.0,1541769541.482
12.360,22.472,61.798,0.0,0.0,3.371,45019260.0,1456000.0,1541769542.485
16.667,26.667,50.0,1.111,0.0,5.556,45859704.0,1485375.0,1541769543.482
12.766,22.340,55.319,0.0,0.0,9.574,46726798.0,1513474.0,1541769544.482
12.360,23.596,56.180,0.0,0.0,7.865,42801741.0,1386682.0,1541769545.482
10.526,30.526,51.579,0.0,0.0,7.368,46323424.0,1503395.0,1541769546.482
13.978,25.806,53.763,0.0,0.0,6.452,46701901.0,1511514.0,1541769547.482
11.579,28.421,52.632,0.0,0.0,7.368,44436787.0,1434346.0,1541769548.482
10.345,19.540,64.368,0.0,0.0,5.747,45851357.0,1491149.0,1541769549.482
12.088,21.978,60.440,0.0,0.0,5.495,45891487.0,1483576.0,1541769550.482
12.088,20.879,63.736,0.0,0.0,3.297,45505470.0,1470000.0,1541769551.482
14.130,22.826,56.522,0.0,0.0,6.522,45374571.0,1470989.0,1541769552.484
11.957,20.652,63.043,0.0,0.0,4.348,45976157.0,1491840.0,1541769553.483
11.957,20.652,60.870,0.0,0.0,6.522,45073767.0,1454806.0,1541769554.484
13.580,20.988,59.259,0.0,0.0,6.173,44841377.0,1458977.0,1541769555.481
13.333,22.222,58.889,0.0,0.0,5.556,46426026.0,1501640.0,1541769556.482
12.500,22.917,56.250,0.0,0.0,8.333,45850993.0,1484048.0,1541769557.482
10.227,21.591,63.636,0.0,0.0,4.545,45100874.0,1459281.0,1541769558.482
11.236,23.596,60.674,0.0,0.0,4.494,46513447.0,1509632.0,1541769559.482
11.236,26.966,55.056,0.0,0.0,6.742,46411429.0,1500116.0,1541769560.482
14.444,23.333,55.556,0.0,0.0,6.667,45829936.0,1487163.0,1541769561.482
9.574,25.532,58.511,0.0,0.0,6.383,47555054.0,1539720.0,1541769562.482
10.112,22.472,57.303,0.0,0.0,10.112,46947559.0,1519140.0,1541769563.482
12.766,24.468,55.319,0.0,0.0,7.447,45362940.0,1470849.0,1541769564.482
12.222,24.444,56.667,0.0,0.0,6.667,47147495.0,1522426.0,1541769565.482
12.360,23.596,58.427,0.0,0.0,5.618,46562303.0,1510814.0,1541769566.482
17.778,18.889,58.889,0.0,0.0,4.444,45512937.0,1476663.0,1541769567.482
10.753,24.731,59.140,0.0,0.0,5.376,46248614.0,1494006.0,1541769568.482
11.236,23.596,57.303,0.0,0.0,7.865,46099539.0,1487986.0,1541769569.483
9.783,23.913,57.609,0.0,0.0,8.696,45901343.0,1487070.0,1541769570.482
13.333,24.444,56.667,0.0,0.0,5.556,45334720.0,1474513.0,1541769571.482
18.072,25.301,51.807,0.0,0.0,4.819,45749363.0,1485956.0,1541769572.482
11.628,22.093,62.791,1.163,0.0,2.326,45339926.0,1467060.0,1541769573.482
15.789,27.368,48.421,0.0,0.0,8.421,44267995.0,1435075.0,1541769574.482
14.130,28.261,48.913,0.0,0.0,8.696,46904338.0,1514314.0,1541769575.482
14.773,22.727,57.955,0.0,0.0,4.545,45650780.0,1482040.0,1541769576.482
15.054,25.806,52.688,0.0,0.0,6.452,46760293.0,1512429.0,1541769577.484
14.444,26.667,54.444,0.0,0.0,4.444,45817796.0,1481900.0,1541769578.482
11.628,22.093,61.628,0.0,0.0,4.651,44786322.0,1454320.0,1541769579.482
11.628,32.558,46.512,0.0,0.0,9.302,46182982.0,1491495.0,1541769580.482
12.088,23.077,58.242,0.0,0.0,6.593,47770444.0,1552328.0,1541769581.486
13.483,22.472,58.427,0.0,0.0,5.618,45365483.0,1466360.0,1541769582.482
15.909,25.0,51.136,0.0,0.0,7.955,47062025.0,1526849.0,1541769583.482
9.783,25.0,57.609,0.0,0.0,7.609,46165731.0,1488760.0,1541769584.481
14.943,26.437,52.874,0.0,0.0,5.747,46257253.0,1500458.0,1541769585.483
12.500,30.682,50.0,0.0,0.0,6.818,45060423.0,1462195.0,1541769586.482
14.286,24.490,54.082,0.0,0.0,7.143,46909187.0,1518094.0,1541769587.482
