PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=1.26 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=0.739 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.715 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=0.872 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=1.49 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=0.825 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=0.728 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=0.691 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=0.878 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=0.696 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=0.632 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=0.561 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.912 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.715 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.933 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.974 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=0.708 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=0.750 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=0.682 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=0.685 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=0.602 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=0.758 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=0.585 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=0.600 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=0.777 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=1.02 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=0.574 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=0.542 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=1.52 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=0.610 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=0.742 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=0.728 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=0.637 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=0.636 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=0.625 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=0.716 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=0.793 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=0.612 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=0.445 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=0.505 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=0.839 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=0.766 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=0.603 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=1.17 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=0.751 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=26.7 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=0.534 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=0.785 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=0.656 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=0.705 ms

--- 10.0.0.4 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9968ms
rtt min/avg/max/mdev = 0.445/1.280/26.719/3.640 ms
