PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=1.05 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=1.04 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=0.837 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=0.585 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=1.94 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.504 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=1.44 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=0.490 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=0.573 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=0.614 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=1.24 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=0.447 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.575 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=1.37 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=1.44 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.807 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=0.668 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=1.53 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=1.21 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=0.798 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.603 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=1.09 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=0.572 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=2.04 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=1.02 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.947 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=0.640 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=1.04 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=1.35 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=0.587 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=1.19 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=0.769 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=1.01 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=1.53 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=1.66 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=0.918 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=1.21 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=0.623 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=0.652 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=0.863 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=0.652 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=1.01 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=1.58 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=0.759 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=1.21 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=0.869 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=0.804 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=0.999 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=1.57 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=0.806 ms

--- 10.0.0.7 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9895ms
rtt min/avg/max/mdev = 0.447/0.996/2.043/0.389 ms
