PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=1.44 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=1.38 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.976 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=1.32 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=2.15 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=1.40 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=2.69 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=1.02 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=1.44 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=1.17 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=1.28 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=1.04 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.979 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.903 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.923 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.974 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=1.10 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=1.49 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=2.69 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=2.69 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=1.72 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=1.43 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=3.51 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=2.39 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=1.27 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=1.34 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=1.26 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=1.40 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=1.12 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=1.46 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=1.15 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=2.30 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=1.14 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=2.06 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=1.18 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=2.45 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=1.29 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=1.02 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=2.24 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=0.966 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=1.36 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=0.987 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=1.40 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=1.05 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=2.42 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=1.93 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=1.14 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=1.16 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=1.16 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=2.45 ms

--- 10.0.0.4 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9834ms
rtt min/avg/max/mdev = 0.903/1.539/3.519/0.606 ms
