"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:1_vc_2_worker_64_rep_3_sharded_true.csv -T 1 30",,,,"Date:","17 Nov 2018 16:15:45 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.567,2.757,91.084,2.522,0.0,1.071,0.0,0.0,1542471345.295
1.531,2.551,93.878,0.0,0.0,2.041,2470752.0,2403140.0,1542471346.296
1.010,2.525,93.434,0.0,0.0,3.030,2632723.0,2559304.0,1542471347.297
2.513,4.523,90.955,0.0,0.0,2.010,3485083.0,3389158.0,1542471348.297
2.030,1.523,93.401,0.0,0.0,3.046,3091800.0,3008574.0,1542471349.296
2.041,5.102,90.816,0.0,0.0,2.041,4590559.0,4479492.0,1542471350.296
1.990,4.975,89.055,0.0,0.0,3.980,4315922.0,4193227.0,1542471351.296
2.488,4.975,89.055,0.0,0.0,3.483,4195337.0,4080202.0,1542471352.297
2.551,5.102,90.816,0.0,0.0,1.531,4272925.0,4158494.0,1542471353.297
2.041,3.571,91.837,0.0,0.0,2.551,4280165.0,4162658.0,1542471354.296
3.046,3.046,90.863,0.0,0.0,3.046,4293334.0,4158297.0,1542471355.297
2.618,3.141,91.099,0.0,0.0,3.141,4536473.0,4423593.0,1542471356.297
2.551,3.571,91.327,0.0,0.0,2.551,4333776.0,4219121.0,1542471357.297
2.051,3.077,91.282,0.0,0.0,3.590,4333997.0,4210667.0,1542471358.297
2.564,4.615,90.256,0.0,0.0,2.564,4652713.0,4524282.0,1542471359.297
2.439,4.390,88.293,0.0,0.0,4.878,4195438.0,4084530.0,1542471360.297
1.546,4.639,91.753,0.0,0.0,2.062,4441102.0,4319299.0,1542471361.297
2.551,3.571,90.306,0.0,0.0,3.571,4594274.0,4458252.0,1542471362.297
2.564,2.564,91.795,0.0,0.0,3.077,4566198.0,4440838.0,1542471363.297
1.538,3.077,92.821,0.0,0.0,2.564,4239969.0,4128033.0,1542471364.297
2.020,4.040,89.899,0.0,0.0,4.040,4402502.0,4285830.0,1542471365.297
3.535,4.040,89.394,0.0,0.0,3.030,4338396.0,4219396.0,1542471366.297
2.488,3.980,89.552,0.0,0.0,3.980,4342511.0,4219115.0,1542471367.297
4.103,3.590,90.769,0.0,0.0,1.538,4344010.0,4215102.0,1542471368.296
1.554,3.109,91.192,1.036,0.0,3.109,4177824.0,4075715.0,1542471369.296
0.510,4.592,91.327,0.0,0.0,3.571,4271222.0,4154010.0,1542471370.296
3.571,2.551,88.776,0.0,0.0,5.102,4495395.0,4365135.0,1542471371.297
2.051,2.564,91.795,0.0,0.0,3.590,4209451.0,4099474.0,1542471372.296
2.564,2.564,92.308,0.0,0.0,2.564,4065713.0,3954169.0,1542471373.296
3.030,3.030,90.404,0.0,0.0,3.535,4231037.0,4110814.0,1542471374.296
3.061,2.041,91.837,0.0,0.0,3.061,3776875.0,3667890.0,1542471375.297
