"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:1_vc_2_worker_64_rep_2_sharded_true.csv -T 1 30",,,,"Date:","17 Nov 2018 16:14:51 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
0.529,0.321,97.704,1.330,0.0,0.116,0.0,0.0,151419.266,2485375.634,0.0,0.0,388.340,1041.836,1542471291.149
29.849,3.851,64.237,0.0,0.0,2.063,6903062.0,12881560.0,0.0,0.0,0.0,0.0,3629.0,10285.0,1542471292.150
26.676,2.949,68.231,0.0,0.0,2.145,9058738.0,16939794.0,0.0,0.0,0.0,0.0,4246.0,12556.0,1542471293.150
11.458,2.995,83.724,0.0,0.0,1.823,11185591.0,20858056.0,0.0,0.0,0.0,0.0,5149.0,15118.0,1542471294.154
14.961,2.887,79.659,0.0,0.0,2.493,10836284.0,20185900.0,0.0,0.0,0.0,0.0,5556.0,14765.0,1542471295.150
4.713,3.312,89.554,0.0,0.0,2.420,13210978.0,24568911.0,0.0,65536.0,0.0,0.0,6748.0,17725.0,1542471296.150
3.526,3.275,90.050,0.378,0.0,2.771,13612088.0,25330415.0,0.0,12288.0,0.0,0.0,6916.0,18346.0,1542471297.150
4.304,3.418,90.380,0.0,0.0,1.899,12792024.0,23768254.0,0.0,0.0,0.0,0.0,6598.0,17397.0,1542471298.150
2.191,3.479,92.139,0.0,0.0,2.191,13722977.0,25504524.0,0.0,0.0,0.0,0.0,6984.0,18335.0,1542471299.150
3.544,2.911,91.266,0.0,0.0,2.278,13386244.0,24908057.0,0.0,0.0,0.0,0.0,6827.0,17838.0,1542471300.150
2.821,2.821,92.308,0.0,0.0,2.051,13616647.0,25287468.0,0.0,0.0,0.0,0.0,6902.0,18308.0,1542471301.150
3.496,3.620,90.512,0.0,0.0,2.372,12638312.0,23498355.0,0.0,4096.0,0.0,0.0,6393.0,16872.0,1542471302.150
2.799,3.181,91.603,0.0,0.0,2.417,13483402.0,25100351.0,0.0,0.0,0.0,0.0,6739.0,17894.0,1542471303.150
3.270,4.025,90.692,0.0,0.0,2.013,13552121.0,25161872.0,0.0,0.0,0.0,0.0,6733.0,17840.0,1542471304.150
3.061,2.679,92.474,0.0,0.0,1.786,12423057.0,23122007.0,0.0,0.0,0.0,0.0,6140.0,16325.0,1542471305.150
3.177,3.304,91.360,0.0,0.0,2.160,13320759.0,24769273.0,0.0,0.0,0.0,0.0,6633.0,17629.0,1542471306.150
3.934,2.665,90.990,0.0,0.0,2.411,13335762.0,24785831.0,0.0,0.0,0.0,0.0,6807.0,17738.0,1542471307.150
4.713,2.930,90.064,0.0,0.0,2.293,12376939.0,23038800.0,0.0,0.0,0.0,0.0,6344.0,16635.0,1542471308.150
3.279,3.657,91.173,0.0,0.0,1.892,13749886.0,25544445.0,0.0,0.0,0.0,0.0,6955.0,18275.0,1542471309.150
3.165,3.291,91.519,0.0,0.0,2.025,13317402.0,24740799.0,0.0,0.0,0.0,0.0,6593.0,17557.0,1542471310.150
3.053,3.181,91.858,0.0,0.0,1.908,13413443.0,24941121.0,0.0,0.0,0.0,0.0,6749.0,17984.0,1542471311.150
3.969,3.073,91.293,0.0,0.0,1.665,13288572.0,24680255.0,0.0,0.0,0.0,0.0,6664.0,17585.0,1542471312.150
3.648,3.396,90.818,0.0,0.0,2.138,13401197.0,24918377.0,0.0,0.0,0.0,0.0,6782.0,17953.0,1542471313.150
3.085,2.699,91.774,0.0,0.0,2.442,13690297.0,25451819.0,0.0,0.0,0.0,0.0,6872.0,18327.0,1542471314.150
2.792,2.919,92.132,0.0,0.0,2.157,12896234.0,23963063.0,0.0,0.0,0.0,0.0,6494.0,17316.0,1542471315.150
3.165,2.911,91.519,0.0,0.0,2.405,13567328.0,25218564.0,0.0,0.0,0.0,0.0,6847.0,17941.0,1542471316.150
3.379,3.880,90.738,0.0,0.0,2.003,12688624.0,23613510.0,0.0,0.0,0.0,0.0,6500.0,17139.0,1542471317.150
2.795,3.050,91.741,0.0,0.0,2.414,13214862.0,24554745.0,0.0,0.0,0.0,0.0,6688.0,17785.0,1542471318.150
3.880,3.630,90.238,0.0,0.0,2.253,13535468.0,25174987.0,0.0,0.0,0.0,0.0,6913.0,18205.0,1542471319.150
2.427,3.321,92.209,0.0,0.0,2.043,13449207.0,24973045.0,0.0,0.0,0.0,0.0,6832.0,17969.0,1542471320.150
2.015,2.519,92.569,0.0,0.0,2.897,11066841.0,20633033.0,0.0,0.0,0.0,0.0,5562.0,14834.0,1542471321.150
