"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:3_vc_2_worker_64_rep_2_sharded_true.csv -T 1 30",,,,"Date:","17 Nov 2018 16:17:36 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
2.613,3.628,88.927,3.668,0.0,1.163,0.0,0.0,1542471456.923
2.062,5.155,89.691,0.0,0.0,3.093,3781735.0,3645104.0,1542471457.924
2.970,3.960,86.139,0.0,0.0,6.931,4529663.0,4366969.0,1542471458.924
5.155,4.124,84.536,0.0,0.0,6.186,5162253.0,5030324.0,1542471459.924
1.099,7.692,89.011,0.0,0.0,2.198,5666753.0,5511536.0,1542471460.924
4.082,8.163,85.714,0.0,0.0,2.041,6747962.0,6563752.0,1542471461.924
3.030,6.061,84.848,0.0,0.0,6.061,6595974.0,6444418.0,1542471462.924
3.061,8.163,83.673,0.0,0.0,5.102,6884728.0,6713074.0,1542471463.924
2.105,9.474,84.211,0.0,0.0,4.211,6683712.0,6493748.0,1542471464.924
3.158,5.263,87.368,0.0,0.0,4.211,6599298.0,6474044.0,1542471465.924
5.155,5.155,83.505,0.0,0.0,6.186,6581273.0,6422146.0,1542471466.924
3.158,5.263,87.368,0.0,0.0,4.211,6739199.0,6546567.0,1542471467.924
3.030,7.071,84.848,0.0,0.0,5.051,6571645.0,6430467.0,1542471468.924
6.383,5.319,84.043,0.0,0.0,4.255,6561306.0,6404656.0,1542471469.924
2.062,9.278,84.536,0.0,0.0,4.124,6743102.0,6584925.0,1542471470.924
3.061,6.122,84.694,0.0,0.0,6.122,6839399.0,6643833.0,1542471471.924
3.125,6.250,85.417,0.0,0.0,5.208,6408206.0,6254612.0,1542471472.924
4.0,7.0,83.0,0.0,0.0,6.0,7169040.0,7015896.0,1542471473.924
2.105,6.316,84.211,0.0,0.0,7.368,6752014.0,6573021.0,1542471474.924
5.319,5.319,85.106,0.0,0.0,4.255,6598431.0,6453265.0,1542471475.924
4.040,7.071,82.828,0.0,0.0,6.061,7022022.0,6815692.0,1542471476.924
4.0,8.0,84.0,0.0,0.0,4.0,6837007.0,6690307.0,1542471477.924
5.0,6.0,83.0,0.0,0.0,6.0,6919723.0,6750509.0,1542471478.924
6.122,9.184,79.592,2.041,0.0,3.061,6735750.0,6582035.0,1542471479.924
4.082,6.122,83.673,0.0,0.0,6.122,6564809.0,6439400.0,1542471480.924
2.970,6.931,83.168,0.0,0.0,6.931,6239648.0,6023751.0,1542471481.924
3.061,6.122,83.673,0.0,0.0,7.143,6329968.0,6226810.0,1542471482.924
2.0,8.0,83.0,0.0,0.0,7.0,6443753.0,6247132.0,1542471483.924
4.167,7.292,84.375,0.0,0.0,4.167,7177187.0,7042344.0,1542471484.924
5.208,6.250,82.292,0.0,0.0,6.250,6983498.0,6801417.0,1542471485.924
1.020,8.163,86.735,0.0,0.0,4.082,5600081.0,5484193.0,1542471486.924
