PING 10.0.0.10 (10.0.0.10) 56(84) bytes of data.
64 bytes from 10.0.0.10: icmp_seq=1 ttl=64 time=6.54 ms
64 bytes from 10.0.0.10: icmp_seq=2 ttl=64 time=1.04 ms
64 bytes from 10.0.0.10: icmp_seq=3 ttl=64 time=5.41 ms
64 bytes from 10.0.0.10: icmp_seq=4 ttl=64 time=5.07 ms
64 bytes from 10.0.0.10: icmp_seq=5 ttl=64 time=2.81 ms
64 bytes from 10.0.0.10: icmp_seq=6 ttl=64 time=8.04 ms
64 bytes from 10.0.0.10: icmp_seq=7 ttl=64 time=2.62 ms
64 bytes from 10.0.0.10: icmp_seq=8 ttl=64 time=2.06 ms
64 bytes from 10.0.0.10: icmp_seq=9 ttl=64 time=4.38 ms
64 bytes from 10.0.0.10: icmp_seq=10 ttl=64 time=1.78 ms
64 bytes from 10.0.0.10: icmp_seq=11 ttl=64 time=7.47 ms
64 bytes from 10.0.0.10: icmp_seq=12 ttl=64 time=2.69 ms
64 bytes from 10.0.0.10: icmp_seq=13 ttl=64 time=5.73 ms
64 bytes from 10.0.0.10: icmp_seq=14 ttl=64 time=1.33 ms
64 bytes from 10.0.0.10: icmp_seq=15 ttl=64 time=0.638 ms
64 bytes from 10.0.0.10: icmp_seq=16 ttl=64 time=0.663 ms
64 bytes from 10.0.0.10: icmp_seq=17 ttl=64 time=0.605 ms
64 bytes from 10.0.0.10: icmp_seq=18 ttl=64 time=0.744 ms
64 bytes from 10.0.0.10: icmp_seq=19 ttl=64 time=0.716 ms
64 bytes from 10.0.0.10: icmp_seq=20 ttl=64 time=0.643 ms
64 bytes from 10.0.0.10: icmp_seq=21 ttl=64 time=0.722 ms
64 bytes from 10.0.0.10: icmp_seq=22 ttl=64 time=1.01 ms
64 bytes from 10.0.0.10: icmp_seq=23 ttl=64 time=1.21 ms
64 bytes from 10.0.0.10: icmp_seq=24 ttl=64 time=0.767 ms
64 bytes from 10.0.0.10: icmp_seq=25 ttl=64 time=0.955 ms
64 bytes from 10.0.0.10: icmp_seq=26 ttl=64 time=1.55 ms
64 bytes from 10.0.0.10: icmp_seq=27 ttl=64 time=0.792 ms
64 bytes from 10.0.0.10: icmp_seq=28 ttl=64 time=0.705 ms
64 bytes from 10.0.0.10: icmp_seq=29 ttl=64 time=0.881 ms
64 bytes from 10.0.0.10: icmp_seq=30 ttl=64 time=0.811 ms
64 bytes from 10.0.0.10: icmp_seq=31 ttl=64 time=0.654 ms
64 bytes from 10.0.0.10: icmp_seq=32 ttl=64 time=0.659 ms
64 bytes from 10.0.0.10: icmp_seq=33 ttl=64 time=0.693 ms
64 bytes from 10.0.0.10: icmp_seq=34 ttl=64 time=2.63 ms
64 bytes from 10.0.0.10: icmp_seq=35 ttl=64 time=0.924 ms
64 bytes from 10.0.0.10: icmp_seq=36 ttl=64 time=0.755 ms
64 bytes from 10.0.0.10: icmp_seq=37 ttl=64 time=0.999 ms
64 bytes from 10.0.0.10: icmp_seq=38 ttl=64 time=1.17 ms
64 bytes from 10.0.0.10: icmp_seq=39 ttl=64 time=3.62 ms
64 bytes from 10.0.0.10: icmp_seq=40 ttl=64 time=6.26 ms
64 bytes from 10.0.0.10: icmp_seq=41 ttl=64 time=1.36 ms
64 bytes from 10.0.0.10: icmp_seq=42 ttl=64 time=7.72 ms
64 bytes from 10.0.0.10: icmp_seq=43 ttl=64 time=1.13 ms
64 bytes from 10.0.0.10: icmp_seq=44 ttl=64 time=5.80 ms
64 bytes from 10.0.0.10: icmp_seq=45 ttl=64 time=0.790 ms
64 bytes from 10.0.0.10: icmp_seq=46 ttl=64 time=1.88 ms
64 bytes from 10.0.0.10: icmp_seq=47 ttl=64 time=5.64 ms
64 bytes from 10.0.0.10: icmp_seq=48 ttl=64 time=0.662 ms
64 bytes from 10.0.0.10: icmp_seq=49 ttl=64 time=1.26 ms
64 bytes from 10.0.0.10: icmp_seq=50 ttl=64 time=0.628 ms

--- 10.0.0.10 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9903ms
rtt min/avg/max/mdev = 0.605/2.314/8.044/2.221 ms
