"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:3_vc_2_worker_64_rep_2_sharded_false.csv -T 1 30",,,,"Date:","21 Nov 2018 10:52:48 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
3.909,2.187,90.133,2.977,0.0,0.794,0.0,0.0,1542797568.728
1.546,1.546,95.876,0.0,0.0,1.031,4507176.0,1597685.0,1542797569.729
1.020,3.571,92.347,0.0,0.0,3.061,6553174.0,2318183.0,1542797570.729
1.515,4.545,90.404,0.0,0.0,3.535,7681526.0,2717278.0,1542797571.729
3.448,5.911,85.714,0.0,0.0,4.926,8750604.0,3098366.0,1542797572.729
1.546,3.608,91.237,0.0,0.0,3.608,8145478.0,2888498.0,1542797573.729
0.521,4.167,91.146,0.0,0.0,4.167,8460176.0,2991657.0,1542797574.729
2.083,3.646,92.188,0.0,0.0,2.083,8383151.0,2968094.0,1542797575.729
2.591,3.109,91.192,0.0,0.0,3.109,8394862.0,2972739.0,1542797576.729
2.941,4.412,89.216,0.0,0.0,3.431,6454080.0,2285262.0,1542797577.729
2.051,2.564,94.359,0.0,0.0,1.026,5515043.0,1955377.0,1542797578.729
1.031,3.093,93.814,0.0,0.0,2.062,5239750.0,1855291.0,1542797579.729
2.010,3.518,91.457,0.0,0.0,3.015,6754440.0,2388035.0,1542797580.729
2.564,3.590,90.256,0.0,0.0,3.590,8378806.0,2973376.0,1542797581.729
1.538,4.103,90.769,0.0,0.0,3.590,8683486.0,3070400.0,1542797582.729
2.051,4.615,91.282,0.0,0.0,2.051,8652706.0,3061474.0,1542797583.729
3.077,3.590,90.769,0.0,0.0,2.564,8466462.0,3000083.0,1542797584.729
1.515,5.051,88.889,1.010,0.0,3.535,8652763.0,3057106.0,1542797585.729
1.036,3.627,91.710,0.0,0.0,3.627,8574228.0,3037695.0,1542797586.729
3.571,3.571,89.796,0.0,0.0,3.061,8391774.0,2972595.0,1542797587.729
3.483,3.980,87.562,0.0,0.0,4.975,8416679.0,2978957.0,1542797588.729
2.577,4.124,90.206,0.0,0.0,3.093,8517251.0,3014638.0,1542797589.729
2.030,4.061,89.340,0.0,0.0,4.569,8378650.0,2967800.0,1542797590.729
1.042,2.604,93.229,0.0,0.0,3.125,8097522.0,2869888.0,1542797591.729
2.488,4.478,87.562,0.0,0.0,5.473,8696369.0,3071353.0,1542797592.729
3.535,3.030,88.889,0.0,0.0,4.545,8296209.0,2944762.0,1542797593.729
3.046,4.569,88.832,0.0,0.0,3.553,8385901.0,2963876.0,1542797594.729
1.531,2.041,90.306,0.0,0.0,6.122,8268106.0,2934982.0,1542797595.729
3.571,3.061,89.796,0.0,0.0,3.571,8785338.0,3107598.0,1542797596.729
3.046,4.061,89.340,0.0,0.0,3.553,8386171.0,2968514.0,1542797597.729
2.551,4.082,90.306,0.0,0.0,3.061,7305830.0,2587347.0,1542797598.729
