"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:6_vc_2_worker_64_rep_3_sharded_false.csv -T 1 30",,,,"Date:","21 Nov 2018 11:00:42 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.126,0.821,94.706,1.024,0.0,0.323,0.0,0.0,116842.529,1460702.524,0.0,0.0,1432.323,3835.146,1542798042.656
32.915,2.929,61.785,0.0,0.0,2.371,9302707.0,10305948.0,0.0,0.0,0.0,0.0,4344.0,12589.0,1542798043.657
27.462,3.190,66.852,0.416,0.0,2.080,11251150.0,12396097.0,0.0,77824.0,0.0,0.0,5186.0,14578.0,1542798044.657
9.573,3.105,84.735,0.129,0.0,2.458,15379053.0,16934372.0,0.0,77824.0,0.0,0.0,6875.0,19360.0,1542798045.657
2.919,2.919,92.640,0.0,0.0,1.523,15033308.0,16536988.0,0.0,0.0,0.0,0.0,6955.0,18604.0,1542798046.657
3.466,2.953,92.426,0.0,0.0,1.155,14859892.0,16348376.0,0.0,0.0,0.0,0.0,7048.0,18504.0,1542798047.657
2.411,3.680,92.386,0.0,0.0,1.523,14572183.0,16026288.0,0.0,0.0,0.0,0.0,6847.0,18002.0,1542798048.657
2.174,2.813,93.350,0.0,0.0,1.662,14910062.0,16413140.0,0.0,0.0,0.0,0.0,6977.0,18243.0,1542798049.657
3.812,3.558,91.614,0.0,0.0,1.017,14655448.0,16129030.0,0.0,0.0,0.0,0.0,6930.0,18362.0,1542798050.657
2.439,2.696,93.582,0.0,0.0,1.284,15414784.0,16954460.0,0.0,0.0,0.0,0.0,7175.0,19086.0,1542798051.657
3.169,3.549,91.762,0.0,0.0,1.521,15532962.0,17088789.0,0.0,0.0,0.0,0.0,7265.0,19302.0,1542798052.657
2.062,2.706,93.557,0.0,0.0,1.675,15180754.0,16703640.0,0.0,0.0,0.0,0.0,7096.0,18847.0,1542798053.657
2.930,2.930,92.739,0.0,0.0,1.401,15260654.0,16785394.0,0.0,0.0,0.0,0.0,7147.0,19000.0,1542798054.657
2.915,2.915,92.269,0.0,0.0,1.901,15030810.0,16547302.0,0.0,0.0,0.0,0.0,7007.0,18912.0,1542798055.657
2.567,2.824,93.068,0.0,0.0,1.540,15511127.0,17056906.0,0.0,0.0,0.0,0.0,7293.0,19383.0,1542798056.657
2.545,3.308,93.003,0.0,0.0,1.145,14872224.0,16363601.0,0.0,0.0,0.0,0.0,7003.0,18554.0,1542798057.657
2.821,2.692,92.949,0.0,0.0,1.538,15157501.0,16677388.0,0.0,0.0,0.0,0.0,7055.0,19005.0,1542798058.657
2.414,4.193,91.995,0.0,0.0,1.398,15450638.0,16992578.0,0.0,0.0,0.0,0.0,7179.0,19292.0,1542798059.657
2.806,3.316,92.347,0.0,0.0,1.531,15498357.0,17056825.0,0.0,0.0,0.0,0.0,7242.0,19177.0,1542798060.657
4.672,3.157,90.530,0.0,0.0,1.641,15377407.0,16920156.0,0.0,0.0,0.0,0.0,7172.0,19164.0,1542798061.657
2.305,3.073,93.086,0.0,0.0,1.536,15718093.0,17282385.0,0.0,0.0,0.0,0.0,7221.0,19617.0,1542798062.657
2.645,3.904,92.065,0.0,0.0,1.385,15499134.0,17040271.0,0.0,0.0,0.0,0.0,7275.0,19406.0,1542798063.657
3.291,2.911,92.278,0.0,0.0,1.519,15285413.0,16835199.0,0.0,0.0,0.0,0.0,7307.0,19273.0,1542798064.657
3.077,2.692,93.077,0.0,0.0,1.154,15591403.0,17157090.0,0.0,0.0,0.0,0.0,7335.0,19473.0,1542798065.657
2.682,3.065,93.103,0.0,0.0,1.149,15746279.0,17320902.0,0.0,8192.0,0.0,0.0,7445.0,19708.0,1542798066.657
2.423,3.444,92.985,0.0,0.0,1.148,15465217.0,17001094.0,0.0,0.0,0.0,0.0,7404.0,19401.0,1542798067.657
2.548,2.930,92.994,0.0,0.0,1.529,14850027.0,16345517.0,0.0,0.0,0.0,0.0,7007.0,18576.0,1542798068.657
2.564,2.821,93.718,0.0,0.0,0.897,14924806.0,16429896.0,0.0,0.0,0.0,0.0,7011.0,18577.0,1542798069.657
1.667,2.949,93.462,0.0,0.0,1.923,15212985.0,16740282.0,0.0,0.0,0.0,0.0,7062.0,19084.0,1542798070.657
2.792,3.426,92.005,0.0,0.0,1.777,15017822.0,16496934.0,0.0,53248.0,0.0,0.0,7078.0,19150.0,1542798071.657
1.804,2.835,94.072,0.0,0.0,1.289,14784133.0,16263182.0,0.0,0.0,0.0,0.0,6875.0,18643.0,1542798072.657
