latency,weight
1,0
2,0
3,612
4,9935
5,18307
6,16291
7,10901
8,7030
9,4328
10,2733
11,1959
12,1378
13,1030
14,796
15,631
16,513
17,412
18,338
19,308
20,268
21,237
22,225
23,215
24,204
25,169
26,162
27,157
28,162
29,144
30,143
31,137
32,141
33,120
34,135
35,138
36,140
37,137
38,128
39,135
40,118
41,157
42,115
43,140
44,148
45,155
46,158
47,177
48,121
49,118
50,120
51,85
52,84
53,64
54,75
55,60
56,78
57,73
58,61
59,60
60,64
61,69
62,54
63,53
64,67
65,57
66,44
67,41
68,54
69,46
70,34
71,39
72,48
73,44
74,42
75,22
76,29
77,23
78,11
79,8
80,8
81,8
82,7
83,3
84,10
85,1
86,1
87,10
88,4
89,3
90,1
91,0
92,1
93,3
94,1
95,2
96,2
97,3
98,4
99,2
100,3
