"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:6_vc_2_worker_64_rep_1_sharded_true.csv -T 1 90",,,,"Date:","21 Nov 2018 18:25:11 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.053,1.457,96.055,0.701,0.0,0.734,0.0,0.0,1542824711.655
1.515,2.525,92.929,0.0,0.0,3.030,4347478.0,855301.0,1542824712.657
1.010,3.535,91.919,0.0,0.0,3.535,5283901.0,1029469.0,1542824713.657
2.030,4.569,90.355,0.0,0.0,3.046,6600671.0,1286068.0,1542824714.656
2.020,6.566,89.394,0.0,0.0,2.020,8411050.0,1644658.0,1542824715.656
3.077,4.103,88.718,0.0,0.0,4.103,8769222.0,1716164.0,1542824716.656
3.061,3.571,88.776,0.0,0.0,4.592,9267983.0,1808499.0,1542824717.656
2.488,3.483,87.065,0.0,0.0,6.965,8597972.0,1680475.0,1542824718.656
4.523,4.020,86.432,0.0,0.0,5.025,8738791.0,1710633.0,1542824719.656
2.500,5.0,88.0,0.0,0.0,4.500,8819929.0,1717661.0,1542824720.656
3.0,5.0,87.500,0.0,0.0,4.500,9263718.0,1804225.0,1542824721.656
3.500,5.500,87.0,0.0,0.0,4.0,8747343.0,1706636.0,1542824722.656
3.980,4.478,86.567,0.0,0.0,4.975,8351120.0,1636044.0,1542824723.656
3.046,5.076,87.310,0.0,0.0,4.569,8838051.0,1731972.0,1542824724.656
3.980,5.473,86.567,0.0,0.0,3.980,8708676.0,1697192.0,1542824725.656
2.062,5.155,89.175,0.515,0.0,3.093,9363894.0,1828869.0,1542824726.656
2.525,5.051,88.384,0.0,0.0,4.040,8854662.0,1727053.0,1542824727.656
3.077,4.103,89.231,0.0,0.0,3.590,8443018.0,1654502.0,1542824728.656
1.554,5.181,89.637,0.0,0.0,3.627,8963346.0,1743488.0,1542824729.656
2.551,3.061,90.816,0.0,0.0,3.571,8576226.0,1671184.0,1542824730.656
2.564,4.615,89.231,0.0,0.0,3.590,8386406.0,1648365.0,1542824731.656
2.463,6.897,86.700,0.0,0.0,3.941,8698075.0,1692424.0,1542824732.656
2.564,4.103,89.744,0.0,0.0,3.590,8658700.0,1687226.0,1542824733.656
2.538,3.046,88.325,0.0,0.0,6.091,8782490.0,1720601.0,1542824734.656
3.061,3.061,88.265,0.0,0.0,5.612,9233278.0,1803157.0,1542824735.656
2.604,3.646,90.625,0.0,0.0,3.125,9385509.0,1829459.0,1542824736.656
3.109,2.591,90.155,0.0,0.0,4.145,8982270.0,1756684.0,1542824737.656
2.551,3.571,89.286,0.0,0.0,4.592,8972493.0,1752218.0,1542824738.656
4.040,5.556,87.374,0.0,0.0,3.030,9246041.0,1795212.0,1542824739.656
5.025,4.020,87.437,0.0,0.0,3.518,8952066.0,1755956.0,1542824740.656
1.531,5.102,90.306,0.0,0.0,3.061,8824314.0,1726025.0,1542824741.656
2.051,3.590,90.256,0.0,0.0,4.103,8480560.0,1651382.0,1542824742.656
2.062,3.608,90.722,0.0,0.0,3.608,8325346.0,1629583.0,1542824743.656
3.980,3.980,85.572,0.0,0.0,6.468,9289906.0,1809356.0,1542824744.656
3.015,5.528,87.437,0.0,0.0,4.020,9511704.0,1854604.0,1542824745.656
2.564,4.615,88.718,0.0,0.0,4.103,9417727.0,1847316.0,1542824746.656
2.041,4.592,90.306,0.0,0.0,3.061,8697983.0,1696814.0,1542824747.656
3.061,5.102,88.776,0.0,0.0,3.061,9315984.0,1818742.0,1542824748.656
3.077,6.154,88.205,0.0,0.0,2.564,8582167.0,1680083.0,1542824749.656
3.608,5.155,86.598,0.0,0.0,4.639,8665824.0,1691273.0,1542824750.656
4.061,3.553,88.325,0.0,0.0,4.061,9298403.0,1809829.0,1542824751.656
2.094,3.141,91.623,0.0,0.0,3.141,8060353.0,1582696.0,1542824752.657
1.026,4.103,90.769,0.0,0.0,4.103,7906183.0,1539661.0,1542824753.656
2.551,6.122,88.265,0.0,0.0,3.061,9194105.0,1797585.0,1542824754.656
2.985,5.473,87.065,0.0,0.0,4.478,9279228.0,1809146.0,1542824755.656
2.956,5.419,85.222,0.0,0.0,6.404,9341223.0,1827428.0,1542824756.656
2.030,5.076,87.310,1.523,0.0,4.061,9346108.0,1819813.0,1542824757.656
4.412,4.412,86.275,0.0,0.0,4.902,8480680.0,1655871.0,1542824758.656
4.145,4.663,88.083,0.0,0.0,3.109,9278278.0,1812565.0,1542824759.656
3.030,4.040,88.384,0.0,0.0,4.545,8998336.0,1757791.0,1542824760.656
2.062,5.155,89.691,0.0,0.0,3.093,9189810.0,1793224.0,1542824761.656
2.083,3.646,90.625,0.0,0.0,3.646,9169501.0,1792822.0,1542824762.656
1.538,5.128,90.769,0.0,0.0,2.564,8502305.0,1660634.0,1542824763.656
3.125,3.646,90.104,0.0,0.0,3.125,8841605.0,1722480.0,1542824764.656
2.591,5.699,89.119,0.0,0.0,2.591,9378434.0,1837552.0,1542824765.656
2.538,4.061,89.848,0.0,0.0,3.553,8806906.0,1717093.0,1542824766.656
1.562,3.646,91.146,0.0,0.0,3.646,8993900.0,1752950.0,1542824767.656
3.046,5.584,88.325,0.0,0.0,3.046,9269589.0,1813187.0,1542824768.656
2.083,5.729,90.625,0.0,0.0,1.562,8654513.0,1686803.0,1542824769.656
3.465,5.446,86.139,0.0,0.0,4.950,8780709.0,1716073.0,1542824770.656
4.523,5.528,85.427,0.0,0.0,4.523,9604795.0,1878977.0,1542824771.656
3.030,5.051,87.879,0.0,0.0,4.040,9681354.0,1885635.0,1542824772.656
2.030,5.076,89.340,0.0,0.0,3.553,8423999.0,1645562.0,1542824773.656
2.577,4.639,89.691,0.0,0.0,3.093,8786500.0,1716427.0,1542824774.656
3.500,5.0,88.0,0.0,0.0,3.500,8702255.0,1700854.0,1542824775.656
2.062,3.608,90.206,0.0,0.0,4.124,9015931.0,1757971.0,1542824776.656
4.0,4.500,86.500,0.0,0.0,5.0,9682817.0,1890101.0,1542824777.656
2.513,4.523,87.437,0.0,0.0,5.528,9146284.0,1787175.0,1542824778.656
2.500,5.0,87.0,0.0,0.0,5.500,9107106.0,1778265.0,1542824779.656
4.040,5.556,87.879,0.0,0.0,2.525,8642974.0,1690325.0,1542824780.656
3.015,5.025,88.442,0.0,0.0,3.518,9150605.0,1783681.0,1542824781.656
2.041,3.571,89.796,0.0,0.0,4.592,8685077.0,1696231.0,1542824782.656
