"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:9_vc_2_worker_64_rep_2_sharded_false.csv -T 1 90",,,,"Date:","21 Nov 2018 19:54:38 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
3.933,1.071,94.249,0.219,0.0,0.528,0.0,0.0,23818.443,476898.168,0.0,0.0,1413.319,3717.764,1542830078.717
40.213,5.060,52.330,0.0,0.0,2.397,7903928.0,9195630.0,0.0,0.0,0.0,0.0,3668.0,10409.0,1542830079.718
39.108,4.462,54.462,0.0,0.0,1.969,10635371.0,12314134.0,0.0,0.0,0.0,0.0,4643.0,13360.0,1542830080.721
15.112,4.336,77.661,0.131,0.0,2.760,13303302.0,15362873.0,0.0,90112.0,0.0,0.0,6100.0,16754.0,1542830081.718
5.499,4.987,86.317,0.0,0.0,3.197,14331054.0,16525410.0,0.0,77824.0,0.0,0.0,6665.0,17811.0,1542830082.718
5.777,4.493,87.677,0.0,0.0,2.054,15180125.0,17481935.0,0.0,0.0,0.0,0.0,7237.0,18776.0,1542830083.718
4.762,5.277,87.130,0.0,0.0,2.831,15685749.0,18091847.0,0.0,0.0,0.0,0.0,7362.0,19524.0,1542830084.718
5.619,5.109,86.207,0.0,0.0,3.065,15434895.0,17768465.0,0.0,0.0,0.0,0.0,7355.0,19422.0,1542830085.718
5.838,4.569,86.675,0.0,0.0,2.919,15154367.0,17484435.0,0.0,0.0,0.0,0.0,7063.0,18832.0,1542830086.718
5.243,4.220,87.340,0.0,0.0,3.197,15470596.0,17830786.0,0.0,0.0,0.0,0.0,7244.0,19206.0,1542830087.718
5.860,4.586,86.752,0.0,0.0,2.803,14847165.0,17102879.0,0.0,0.0,0.0,0.0,7027.0,18508.0,1542830088.718
5.250,5.506,86.812,0.0,0.0,2.433,15505343.0,17882277.0,0.0,0.0,0.0,0.0,7252.0,19340.0,1542830089.718
4.575,4.314,88.497,0.0,0.0,2.614,15834635.0,18240851.0,0.0,0.0,0.0,0.0,7384.0,19740.0,1542830090.718
6.760,4.719,85.587,0.0,0.0,2.934,14348529.0,16550104.0,0.0,0.0,0.0,0.0,6782.0,18079.0,1542830091.718
5.243,4.859,87.084,0.0,0.0,2.813,15703580.0,18086011.0,0.0,0.0,0.0,0.0,7353.0,19554.0,1542830092.718
4.220,5.627,87.980,0.0,0.0,2.174,14487055.0,16705336.0,0.0,0.0,0.0,0.0,6832.0,18037.0,1542830093.718
6.477,4.404,86.658,0.0,0.0,2.461,15236891.0,17576282.0,0.0,0.0,0.0,0.0,7260.0,19159.0,1542830094.718
5.457,5.711,86.548,0.0,0.0,2.284,15545138.0,17898630.0,0.0,0.0,0.0,0.0,7343.0,19333.0,1542830095.718
5.648,3.979,87.548,0.0,0.0,2.824,14209287.0,16401337.0,0.0,0.0,0.0,0.0,6665.0,17695.0,1542830096.718
5.860,5.350,85.987,0.0,0.0,2.803,14510455.0,16707752.0,0.0,16384.0,0.0,0.0,6803.0,18006.0,1542830097.718
