"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:1_vc_2_worker_64_rep_2_sharded_true.csv -T 1 90",,,,"Date:","21 Nov 2018 18:00:25 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.570,2.149,93.896,1.558,0.0,0.827,0.0,0.0,1542823225.436
3.125,4.167,88.542,0.0,0.0,4.167,5949393.0,2020958.0,1542823226.437
3.061,4.082,88.776,0.0,0.0,4.082,7279988.0,2556176.0,1542823227.437
5.882,9.804,80.392,0.0,0.0,3.922,10683543.0,3765060.0,1542823228.437
4.167,5.208,84.375,0.0,0.0,6.250,9300727.0,3315894.0,1542823229.437
5.263,8.421,81.053,0.0,0.0,5.263,12370716.0,4357039.0,1542823230.437
2.0,9.0,80.0,2.0,0.0,7.0,11724299.0,4182685.0,1542823231.437
4.167,8.333,80.208,0.0,0.0,7.292,13152961.0,4646334.0,1542823232.437
4.211,6.316,81.053,0.0,0.0,8.421,13522724.0,4786153.0,1542823233.437
3.261,6.522,85.870,0.0,0.0,4.348,12604293.0,4461424.0,1542823234.437
5.319,8.511,79.787,0.0,0.0,6.383,12659815.0,4499075.0,1542823235.437
3.093,8.247,81.443,0.0,0.0,7.216,11789425.0,4189163.0,1542823236.437
4.950,9.901,77.228,0.0,0.0,7.921,13214495.0,4665413.0,1542823237.437
2.151,8.602,82.796,0.0,0.0,6.452,12632495.0,4480094.0,1542823238.437
3.846,13.462,74.038,0.0,0.0,8.654,13974070.0,4979701.0,1542823239.437
5.0,9.0,79.0,0.0,0.0,7.0,12916299.0,4587142.0,1542823240.437
7.368,9.474,77.895,0.0,0.0,5.263,12828079.0,4537833.0,1542823241.437
4.040,7.071,80.808,0.0,0.0,8.081,12254789.0,4348646.0,1542823242.437
4.082,10.204,80.612,0.0,0.0,5.102,12531297.0,4430308.0,1542823243.437
4.124,8.247,80.412,0.0,0.0,7.216,13017568.0,4624762.0,1542823244.437
3.125,9.375,83.333,0.0,0.0,4.167,13062729.0,4630752.0,1542823245.437
4.211,7.368,82.105,0.0,0.0,6.316,11684712.0,4134390.0,1542823246.437
5.051,9.091,77.778,0.0,0.0,8.081,13227368.0,4695755.0,1542823247.437
2.128,8.511,85.106,0.0,0.0,4.255,12911044.0,4574365.0,1542823248.437
5.155,7.216,80.412,0.0,0.0,7.216,12571242.0,4456885.0,1542823249.437
6.250,6.250,79.167,0.0,0.0,8.333,13099139.0,4658159.0,1542823250.437
6.250,7.292,79.167,0.0,0.0,7.292,12423112.0,4401112.0,1542823251.437
5.051,7.071,79.798,0.0,0.0,8.081,12325164.0,4376699.0,1542823252.437
4.040,9.091,79.798,0.0,0.0,7.071,11617142.0,4101974.0,1542823253.437
3.191,7.447,80.851,0.0,0.0,8.511,13494471.0,4781216.0,1542823254.438
4.211,8.421,82.105,0.0,0.0,5.263,12951000.0,4588673.0,1542823255.437
8.0,12.0,75.0,0.0,0.0,5.0,12282348.0,4366763.0,1542823256.437
5.102,7.143,81.633,0.0,0.0,6.122,13063352.0,4617595.0,1542823257.437
5.102,8.163,79.592,0.0,0.0,7.143,12912869.0,4587349.0,1542823258.437
7.0,10.0,77.0,0.0,0.0,6.0,12606175.0,4479587.0,1542823259.437
3.960,14.851,73.267,0.0,0.0,7.921,13205786.0,4692898.0,1542823260.437
5.941,10.891,73.267,1.980,0.0,7.921,12638905.0,4476002.0,1542823261.437
7.368,6.316,78.947,0.0,0.0,7.368,13292205.0,4706360.0,1542823262.437
3.846,11.538,75.0,0.0,0.0,9.615,13553934.0,4842393.0,1542823263.437
6.061,9.091,79.798,0.0,0.0,5.051,12839007.0,4525515.0,1542823264.437
4.0,9.0,80.0,0.0,0.0,7.0,12914078.0,4566239.0,1542823265.437
5.208,8.333,78.125,0.0,0.0,8.333,11858632.0,4216357.0,1542823266.437
3.061,9.184,80.612,0.0,0.0,7.143,13049837.0,4655944.0,1542823267.437
7.143,8.163,80.612,0.0,0.0,4.082,12772346.0,4484756.0,1542823268.437
6.186,9.278,77.320,0.0,0.0,7.216,13844393.0,4945625.0,1542823269.437
4.040,9.091,78.788,0.0,0.0,8.081,13549290.0,4799627.0,1542823270.437
5.0,11.0,76.0,0.0,0.0,8.0,12389858.0,4374436.0,1542823271.437
4.950,11.881,76.238,0.0,0.0,6.931,12435349.0,4414547.0,1542823272.437
3.333,4.444,86.667,0.0,0.0,5.556,13219752.0,4685895.0,1542823273.437
6.186,8.247,80.412,0.0,0.0,5.155,13560804.0,4821495.0,1542823274.437
7.071,7.071,77.778,0.0,0.0,8.081,13000353.0,4594840.0,1542823275.437
4.124,12.371,78.351,0.0,0.0,5.155,13509185.0,4806762.0,1542823276.437
2.105,11.579,80.0,0.0,0.0,6.316,13816314.0,4906329.0,1542823277.437
5.319,8.511,80.851,0.0,0.0,5.319,14005296.0,4980230.0,1542823278.437
3.093,11.340,78.351,0.0,0.0,7.216,14686731.0,5215899.0,1542823279.437
3.093,7.216,80.412,0.0,0.0,9.278,13424434.0,4765446.0,1542823280.437
6.863,9.804,73.529,0.0,0.0,9.804,13780285.0,4888098.0,1542823281.437
4.211,7.368,82.105,0.0,0.0,6.316,14371703.0,5089903.0,1542823282.437
4.082,9.184,79.592,0.0,0.0,7.143,13168426.0,4672244.0,1542823283.437
3.061,12.245,78.571,0.0,0.0,6.122,14518061.0,5120746.0,1542823284.437
3.093,10.309,79.381,0.0,0.0,7.216,14554531.0,5181188.0,1542823285.437
6.0,10.0,76.0,0.0,0.0,8.0,13393933.0,4751402.0,1542823286.437
4.211,8.421,81.053,0.0,0.0,6.316,13877632.0,4938076.0,1542823287.437
3.061,9.184,80.612,0.0,0.0,7.143,13815634.0,4881162.0,1542823288.437
3.125,9.375,80.208,0.0,0.0,7.292,13957884.0,4983268.0,1542823289.437
6.061,9.091,75.758,0.0,0.0,9.091,13945555.0,4939745.0,1542823290.437
5.319,8.511,77.660,2.128,0.0,6.383,13465353.0,4784389.0,1542823291.437
3.191,8.511,82.979,0.0,0.0,5.319,13699984.0,4846858.0,1542823292.437
5.263,9.474,80.0,0.0,0.0,5.263,14282108.0,5078955.0,1542823293.437
7.0,9.0,78.0,0.0,0.0,6.0,14372378.0,5103247.0,1542823294.437
3.922,9.804,76.471,0.0,0.0,9.804,14173650.0,5036051.0,1542823295.443
3.125,10.417,77.083,0.0,0.0,9.375,13342174.0,4725798.0,1542823296.437
5.0,7.0,77.0,0.0,0.0,11.0,14121243.0,5018153.0,1542823297.437
4.167,9.375,81.250,0.0,0.0,5.208,13701719.0,4860084.0,1542823298.437
6.122,9.184,77.551,0.0,0.0,7.143,14405201.0,5103642.0,1542823299.437
5.208,8.333,82.292,0.0,0.0,4.167,14631672.0,5209395.0,1542823300.437
3.125,10.417,78.125,0.0,0.0,8.333,13393806.0,4764325.0,1542823301.437
6.250,9.375,79.167,0.0,0.0,5.208,13664435.0,4841988.0,1542823302.437
2.128,7.447,84.043,0.0,0.0,6.383,13541662.0,4795211.0,1542823303.437
4.0,12.0,78.0,0.0,0.0,6.0,13871660.0,4904037.0,1542823304.437
4.301,8.602,80.645,0.0,0.0,6.452,14624079.0,5239190.0,1542823305.437
5.941,12.871,74.257,0.0,0.0,6.931,14306667.0,5058257.0,1542823306.437
5.882,11.765,77.451,0.0,0.0,4.902,13704394.0,4855825.0,1542823307.437
4.0,10.0,77.0,0.0,0.0,9.0,13983156.0,4958365.0,1542823308.437
2.970,10.891,76.238,0.0,0.0,9.901,14740547.0,5272304.0,1542823309.437
5.102,9.184,79.592,0.0,0.0,6.122,14669478.0,5167895.0,1542823310.437
6.452,7.527,78.495,0.0,0.0,7.527,13042527.0,4635172.0,1542823311.438
4.0,11.0,79.0,0.0,0.0,6.0,14205035.0,5016136.0,1542823312.437
6.061,9.091,78.788,0.0,0.0,6.061,12836758.0,4577076.0,1542823313.437
4.255,8.511,80.851,0.0,0.0,6.383,14018954.0,4963882.0,1542823314.437
6.186,6.186,80.412,0.0,0.0,7.216,13061186.0,4630667.0,1542823315.437
