"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:9_vc_2_worker_64_rep_3_sharded_false.csv -T 1 90",,,,"Date:","21 Nov 2018 20:01:03 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.433,2.241,94.406,0.579,0.0,1.341,0.0,0.0,1542830463.379
4.124,2.062,89.691,0.0,0.0,4.124,1594577.0,4103589.0,1542830464.380
1.020,3.061,89.796,0.0,0.0,6.122,2207641.0,5816291.0,1542830465.380
3.030,7.071,85.859,0.0,0.0,4.040,2721136.0,7277209.0,1542830466.380
1.053,5.263,88.421,0.0,0.0,5.263,3201569.0,8612639.0,1542830467.380
1.031,9.278,86.598,0.0,0.0,3.093,3260361.0,8810634.0,1542830468.380
1.053,7.368,87.368,0.0,0.0,4.211,3328067.0,8868425.0,1542830469.379
2.041,8.163,83.673,0.0,0.0,6.122,3387847.0,9150370.0,1542830470.380
3.061,7.143,86.735,0.0,0.0,3.061,3552946.0,9594813.0,1542830471.380
3.061,6.122,84.694,0.0,0.0,6.122,3517582.0,9444483.0,1542830472.380
5.051,5.051,81.818,0.0,0.0,8.081,3487760.0,9405432.0,1542830473.380
2.041,8.163,84.694,0.0,0.0,5.102,3304396.0,8888585.0,1542830474.380
3.158,10.526,82.105,0.0,0.0,4.211,3324943.0,8925645.0,1542830475.380
3.922,9.804,79.412,0.0,0.0,6.863,3317978.0,8952778.0,1542830476.380
1.053,7.368,88.421,0.0,0.0,3.158,3508052.0,9418833.0,1542830477.380
1.042,7.292,85.417,0.0,0.0,6.250,3315109.0,8914462.0,1542830478.380
2.062,7.216,84.536,0.0,0.0,6.186,3362314.0,9001051.0,1542830479.380
2.105,6.316,84.211,0.0,0.0,7.368,3319266.0,8935754.0,1542830480.380
1.010,7.071,84.848,0.0,0.0,7.071,3183652.0,8578141.0,1542830481.380
3.125,6.250,85.417,0.0,0.0,5.208,3040635.0,8177510.0,1542830482.380
3.960,5.941,85.149,0.0,0.0,4.950,3223362.0,8651935.0,1542830483.380
3.158,5.263,86.316,0.0,0.0,5.263,3424062.0,9203073.0,1542830484.380
4.082,7.143,81.633,0.0,0.0,7.143,3334847.0,8979033.0,1542830485.380
1.0,10.0,81.0,2.0,0.0,6.0,3354416.0,9043433.0,1542830486.380
2.020,6.061,82.828,0.0,0.0,9.091,3654759.0,9836600.0,1542830487.380
4.211,5.263,87.368,0.0,0.0,3.158,3354209.0,9005034.0,1542830488.380
1.980,7.921,85.149,0.0,0.0,4.950,3422513.0,9206902.0,1542830489.385
2.151,6.452,86.022,0.0,0.0,5.376,3641685.0,9802476.0,1542830490.380
2.083,7.292,84.375,0.0,0.0,6.250,3283104.0,8828203.0,1542830491.380
2.083,8.333,86.458,0.0,0.0,3.125,3530534.0,9517372.0,1542830492.380
5.208,5.208,84.375,0.0,0.0,5.208,3522869.0,9487438.0,1542830493.380
3.158,5.263,87.368,0.0,0.0,4.211,3277539.0,8798234.0,1542830494.380
3.093,10.309,83.505,0.0,0.0,3.093,3546934.0,9543585.0,1542830495.380
1.031,8.247,85.567,0.0,0.0,5.155,3463309.0,9315157.0,1542830496.380
3.093,6.186,82.474,0.0,0.0,8.247,3449935.0,9276334.0,1542830497.380
1.042,6.250,88.542,0.0,0.0,4.167,3401722.0,9172682.0,1542830498.380
4.082,6.122,85.714,0.0,0.0,4.082,3470642.0,9319562.0,1542830499.380
4.301,4.301,84.946,0.0,0.0,6.452,3322082.0,8897604.0,1542830500.380
0.0,8.333,86.458,0.0,0.0,5.208,3231906.0,8737197.0,1542830501.380
2.041,6.122,84.694,0.0,0.0,7.143,3170525.0,8471220.0,1542830502.380
4.082,8.163,84.694,0.0,0.0,3.061,3060522.0,8242551.0,1542830503.380
0.0,4.301,90.323,0.0,0.0,5.376,3165623.0,8492287.0,1542830504.380
3.125,4.167,86.458,0.0,0.0,6.250,3067328.0,8242430.0,1542830505.380
2.062,8.247,85.567,0.0,0.0,4.124,2921049.0,7832899.0,1542830506.380
2.083,5.208,89.583,0.0,0.0,3.125,3064770.0,8246267.0,1542830507.380
1.010,7.071,85.859,0.0,0.0,6.061,3126001.0,8410348.0,1542830508.380
3.0,8.0,86.0,0.0,0.0,3.0,2898971.0,7789838.0,1542830509.380
1.020,8.163,84.694,0.0,0.0,6.122,3163468.0,8509346.0,1542830510.380
1.010,8.081,84.848,0.0,0.0,6.061,3285721.0,8789861.0,1542830511.380
3.125,6.250,84.375,0.0,0.0,6.250,3298280.0,8871362.0,1542830512.380
2.062,7.216,84.536,0.0,0.0,6.186,3411163.0,9194278.0,1542830513.380
1.042,6.250,86.458,0.0,0.0,6.250,3306190.0,8914196.0,1542830514.380
2.083,10.417,83.333,0.0,0.0,4.167,3370086.0,9043791.0,1542830515.380
3.0,6.0,78.0,6.0,0.0,7.0,3318156.0,8893271.0,1542830516.380
1.980,8.911,83.168,0.0,0.0,5.941,3443664.0,9297535.0,1542830517.380
4.0,7.0,84.0,0.0,0.0,5.0,3267100.0,8793656.0,1542830518.380
2.020,9.091,84.848,0.0,0.0,4.040,3447783.0,9289154.0,1542830519.380
2.083,7.292,86.458,0.0,0.0,4.167,3636647.0,9767816.0,1542830520.380
2.105,9.474,86.316,0.0,0.0,2.105,3308788.0,8901337.0,1542830521.380
2.062,7.216,86.598,0.0,0.0,4.124,3610776.0,9724354.0,1542830522.380
2.941,7.843,81.373,0.0,0.0,7.843,3594054.0,9660010.0,1542830523.380
2.062,5.155,86.598,0.0,0.0,6.186,3425043.0,9190363.0,1542830524.380
3.922,9.804,80.392,0.0,0.0,5.882,3486812.0,9401097.0,1542830525.380
2.105,5.263,87.368,0.0,0.0,5.263,3499231.0,9418407.0,1542830526.380
3.0,7.0,83.0,0.0,0.0,7.0,3335227.0,8961822.0,1542830527.380
1.961,8.824,83.333,0.0,0.0,5.882,3428145.0,9211862.0,1542830528.380
1.042,6.250,87.500,0.0,0.0,5.208,3411042.0,9193964.0,1542830529.380
4.082,6.122,82.653,0.0,0.0,7.143,3354080.0,9011810.0,1542830530.380
2.041,6.122,86.735,0.0,0.0,5.102,3431159.0,9247942.0,1542830531.380
3.125,7.292,86.458,0.0,0.0,3.125,3570916.0,9565507.0,1542830532.380
2.105,7.368,87.368,0.0,0.0,3.158,3395931.0,9151071.0,1542830533.380
4.082,7.143,82.653,0.0,0.0,6.122,3479301.0,9366629.0,1542830534.380
2.083,10.417,81.250,0.0,0.0,6.250,3290077.0,8852165.0,1542830535.380
2.020,8.081,82.828,0.0,0.0,7.071,3423749.0,9190269.0,1542830536.380
2.020,9.091,83.838,0.0,0.0,5.051,3492722.0,9401291.0,1542830537.380
1.053,5.263,88.421,0.0,0.0,5.263,3282269.0,8832504.0,1542830538.380
3.061,8.163,84.694,0.0,0.0,4.082,3330935.0,8953070.0,1542830539.380
4.040,10.101,81.818,0.0,0.0,4.040,3247523.0,8711985.0,1542830540.381
2.041,6.122,84.694,0.0,0.0,7.143,3105397.0,8324385.0,1542830541.380
1.053,6.316,88.421,0.0,0.0,4.211,3163780.0,8560623.0,1542830542.380
3.061,5.102,84.694,0.0,0.0,7.143,3157212.0,8466537.0,1542830543.380
1.020,9.184,86.735,0.0,0.0,3.061,3001692.0,8108229.0,1542830544.380
3.191,5.319,86.170,0.0,0.0,5.319,3350439.0,8975395.0,1542830545.380
4.082,7.143,79.592,2.041,0.0,7.143,3207132.0,8617093.0,1542830546.380
3.0,5.0,85.0,0.0,0.0,7.0,3519975.0,9457289.0,1542830547.380
1.010,8.081,85.859,0.0,0.0,5.051,3466612.0,9341004.0,1542830548.380
3.158,6.316,85.263,0.0,0.0,5.263,3330570.0,8948912.0,1542830549.380
2.041,9.184,83.673,0.0,0.0,5.102,3520935.0,9478669.0,1542830550.380
2.062,5.155,84.536,0.0,0.0,8.247,3442716.0,9272107.0,1542830551.380
4.082,5.102,81.633,0.0,0.0,9.184,3502779.0,9435539.0,1542830552.380
1.031,6.186,86.598,0.0,0.0,6.186,3151705.0,8432380.0,1542830553.380
