PING 10.0.0.7 (10.0.0.7) 56(84) bytes of data.
64 bytes from 10.0.0.7: icmp_seq=1 ttl=64 time=0.701 ms
64 bytes from 10.0.0.7: icmp_seq=2 ttl=64 time=2.52 ms
64 bytes from 10.0.0.7: icmp_seq=3 ttl=64 time=0.976 ms
64 bytes from 10.0.0.7: icmp_seq=4 ttl=64 time=2.48 ms
64 bytes from 10.0.0.7: icmp_seq=5 ttl=64 time=0.902 ms
64 bytes from 10.0.0.7: icmp_seq=6 ttl=64 time=0.936 ms
64 bytes from 10.0.0.7: icmp_seq=7 ttl=64 time=2.69 ms
64 bytes from 10.0.0.7: icmp_seq=8 ttl=64 time=1.08 ms
64 bytes from 10.0.0.7: icmp_seq=9 ttl=64 time=1.37 ms
64 bytes from 10.0.0.7: icmp_seq=10 ttl=64 time=2.26 ms
64 bytes from 10.0.0.7: icmp_seq=11 ttl=64 time=0.956 ms
64 bytes from 10.0.0.7: icmp_seq=12 ttl=64 time=1.71 ms
64 bytes from 10.0.0.7: icmp_seq=13 ttl=64 time=0.972 ms
64 bytes from 10.0.0.7: icmp_seq=14 ttl=64 time=2.51 ms
64 bytes from 10.0.0.7: icmp_seq=15 ttl=64 time=1.45 ms
64 bytes from 10.0.0.7: icmp_seq=16 ttl=64 time=0.985 ms
64 bytes from 10.0.0.7: icmp_seq=17 ttl=64 time=1.31 ms
64 bytes from 10.0.0.7: icmp_seq=18 ttl=64 time=2.16 ms
64 bytes from 10.0.0.7: icmp_seq=19 ttl=64 time=2.80 ms
64 bytes from 10.0.0.7: icmp_seq=20 ttl=64 time=1.04 ms
64 bytes from 10.0.0.7: icmp_seq=21 ttl=64 time=0.756 ms
64 bytes from 10.0.0.7: icmp_seq=22 ttl=64 time=0.739 ms
64 bytes from 10.0.0.7: icmp_seq=23 ttl=64 time=1.84 ms
64 bytes from 10.0.0.7: icmp_seq=24 ttl=64 time=0.648 ms
64 bytes from 10.0.0.7: icmp_seq=25 ttl=64 time=0.933 ms
64 bytes from 10.0.0.7: icmp_seq=26 ttl=64 time=0.757 ms
64 bytes from 10.0.0.7: icmp_seq=27 ttl=64 time=1.95 ms
64 bytes from 10.0.0.7: icmp_seq=28 ttl=64 time=0.773 ms
64 bytes from 10.0.0.7: icmp_seq=29 ttl=64 time=0.733 ms
64 bytes from 10.0.0.7: icmp_seq=30 ttl=64 time=1.26 ms
64 bytes from 10.0.0.7: icmp_seq=31 ttl=64 time=0.982 ms
64 bytes from 10.0.0.7: icmp_seq=32 ttl=64 time=1.52 ms
64 bytes from 10.0.0.7: icmp_seq=33 ttl=64 time=1.16 ms
64 bytes from 10.0.0.7: icmp_seq=34 ttl=64 time=1.11 ms
64 bytes from 10.0.0.7: icmp_seq=35 ttl=64 time=0.881 ms
64 bytes from 10.0.0.7: icmp_seq=36 ttl=64 time=1.23 ms
64 bytes from 10.0.0.7: icmp_seq=37 ttl=64 time=0.938 ms
64 bytes from 10.0.0.7: icmp_seq=38 ttl=64 time=1.11 ms
64 bytes from 10.0.0.7: icmp_seq=39 ttl=64 time=0.963 ms
64 bytes from 10.0.0.7: icmp_seq=40 ttl=64 time=0.807 ms
64 bytes from 10.0.0.7: icmp_seq=41 ttl=64 time=0.830 ms
64 bytes from 10.0.0.7: icmp_seq=42 ttl=64 time=1.19 ms
64 bytes from 10.0.0.7: icmp_seq=43 ttl=64 time=0.906 ms
64 bytes from 10.0.0.7: icmp_seq=44 ttl=64 time=0.937 ms
64 bytes from 10.0.0.7: icmp_seq=45 ttl=64 time=0.856 ms
64 bytes from 10.0.0.7: icmp_seq=46 ttl=64 time=0.721 ms
64 bytes from 10.0.0.7: icmp_seq=47 ttl=64 time=2.75 ms
64 bytes from 10.0.0.7: icmp_seq=48 ttl=64 time=0.801 ms
64 bytes from 10.0.0.7: icmp_seq=49 ttl=64 time=0.730 ms
64 bytes from 10.0.0.7: icmp_seq=50 ttl=64 time=0.860 ms

--- 10.0.0.7 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 9884ms
rtt min/avg/max/mdev = 0.648/1.271/2.801/0.621 ms
