"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_client1_ratio_1:3_vc_2_worker_64_rep_1_sharded_false.csv -T 1 60",,,,"Date:","22 Nov 2018 12:31:46 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.089,1.471,95.589,0.940,0.0,0.912,0.0,0.0,1542889906.812
0.521,1.042,96.875,0.0,0.0,1.562,4114106.0,1469022.0,1542889907.813
2.030,2.030,92.893,0.0,0.0,3.046,4441757.0,1578551.0,1542889908.813
2.551,2.551,92.347,0.0,0.0,2.551,6421708.0,2271258.0,1542889909.813
3.483,3.980,88.557,0.0,0.0,3.980,7441109.0,2634009.0,1542889910.813
3.448,4.433,86.207,0.0,0.0,5.911,8474853.0,3000621.0,1542889911.813
2.041,4.592,90.306,0.0,0.0,3.061,7974703.0,2815575.0,1542889912.813
3.046,3.046,89.848,0.0,0.0,4.061,8018846.0,2846690.0,1542889913.813
3.046,6.091,88.832,0.0,0.0,2.030,8456557.0,2993426.0,1542889914.813
2.051,4.103,90.769,0.0,0.0,3.077,8207396.0,2902616.0,1542889915.813
2.030,4.569,89.848,0.0,0.0,3.553,8499677.0,3005501.0,1542889916.813
2.500,5.500,88.0,0.0,0.0,4.0,8079726.0,2869671.0,1542889917.813
4.0,5.500,87.0,0.0,0.0,3.500,8308889.0,2936207.0,1542889918.813
2.010,3.015,90.955,0.0,0.0,4.020,6513818.0,2308313.0,1542889919.813
1.515,3.535,90.909,0.0,0.0,4.040,7069257.0,2503437.0,1542889920.812
2.538,3.553,88.832,2.030,0.0,3.046,6860910.0,2429288.0,1542889921.813
2.062,2.577,92.784,0.0,0.0,2.577,6960039.0,2466246.0,1542889922.813
3.465,5.941,87.129,0.0,0.0,3.465,7773636.0,2750035.0,1542889923.813
2.073,3.627,91.192,0.0,0.0,3.109,7805538.0,2767743.0,1542889924.813
2.577,2.577,91.753,0.0,0.0,3.093,7677342.0,2709231.0,1542889925.813
1.523,4.569,90.355,0.0,0.0,3.553,7830625.0,2776998.0,1542889926.813
2.475,3.960,88.614,0.0,0.0,4.950,7114448.0,2521884.0,1542889927.813
1.990,4.478,90.050,0.0,0.0,3.483,6172444.0,2183155.0,1542889928.813
2.030,3.046,91.878,0.0,0.0,3.046,6496151.0,2295191.0,1542889929.813
3.500,3.500,89.500,0.0,0.0,3.500,6638022.0,2355142.0,1542889930.813
3.535,2.525,90.909,0.0,0.0,3.030,6680087.0,2364495.0,1542889931.813
1.531,3.061,92.347,0.0,0.0,3.061,6168045.0,2187183.0,1542889932.813
1.538,3.590,92.821,0.0,0.0,2.051,6208976.0,2197189.0,1542889933.813
2.041,2.551,92.347,0.0,0.0,3.061,6329884.0,2243106.0,1542889934.813
2.525,4.545,90.909,0.0,0.0,2.020,6395837.0,2262560.0,1542889935.813
2.525,2.020,90.404,0.0,0.0,5.051,6606943.0,2340634.0,1542889936.813
1.515,4.040,91.919,0.0,0.0,2.525,6251094.0,2215204.0,1542889937.813
3.093,4.124,89.175,0.0,0.0,3.608,5776439.0,2034641.0,1542889938.813
3.518,3.015,89.447,0.0,0.0,4.020,6276469.0,2234467.0,1542889939.813
1.010,3.535,92.424,0.0,0.0,3.030,6124381.0,2164998.0,1542889940.813
1.015,3.046,91.878,0.0,0.0,4.061,6461244.0,2285584.0,1542889941.813
1.961,5.392,89.216,0.0,0.0,3.431,6047066.0,2145218.0,1542889942.813
2.030,4.061,90.355,0.0,0.0,3.553,6566259.0,2322714.0,1542889943.813
3.015,3.518,90.955,0.0,0.0,2.513,6610008.0,2341029.0,1542889944.813
3.500,4.0,90.0,0.0,0.0,2.500,6068872.0,2150329.0,1542889945.813
1.980,3.960,90.099,0.0,0.0,3.960,6662271.0,2359333.0,1542889946.813
1.036,2.073,94.819,0.0,0.0,2.073,6334330.0,2235169.0,1542889947.813
2.538,3.553,90.355,0.0,0.0,3.553,6751618.0,2396209.0,1542889948.813
2.010,3.015,90.955,0.0,0.0,4.020,6063214.0,2150119.0,1542889949.813
2.551,2.551,92.347,0.0,0.0,2.551,6395482.0,2257945.0,1542889950.813
4.061,3.046,90.863,0.0,0.0,2.030,6423236.0,2280069.0,1542889951.813
2.500,4.0,89.500,1.500,0.0,2.500,5936295.0,2095520.0,1542889952.813
2.041,2.551,91.837,0.0,0.0,3.571,6588048.0,2331773.0,1542889953.813
