"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n -d -g -y --output dstat_mw1_ratio_1:9_vc_2_worker_64_rep_3_sharded_true.csv -T 1 60",,,,"Date:","22 Nov 2018 12:20:24 UTC"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","in","out","int","csw","epoch"
2.503,0.737,95.768,0.553,0.0,0.440,0.0,0.0,58577.724,1191245.624,0.0,0.0,1350.732,3709.042,1542889224.760
34.250,3.164,60.523,0.0,0.0,2.063,8615878.0,10039500.0,0.0,4096.0,0.0,0.0,4003.0,11907.0,1542889225.764
35.497,2.901,59.254,0.0,0.0,2.348,10650789.0,12329934.0,0.0,0.0,0.0,0.0,4542.0,13831.0,1542889226.761
28.552,2.656,67.065,0.0,0.0,1.726,10599958.0,12246299.0,0.0,0.0,0.0,0.0,5015.0,13757.0,1542889227.761
8.108,3.604,85.199,0.0,0.0,3.089,14095360.0,16258667.0,0.0,0.0,0.0,0.0,6529.0,17907.0,1542889228.761
2.699,3.213,92.159,0.0,0.0,1.928,16559987.0,19071438.0,0.0,0.0,0.0,0.0,7542.0,20684.0,1542889229.761
2.919,3.426,90.990,0.0,0.0,2.665,15573012.0,17942574.0,0.0,0.0,0.0,0.0,7061.0,19516.0,1542889230.761
3.342,2.185,92.545,0.0,0.0,1.928,14892420.0,17162730.0,0.0,0.0,0.0,0.0,6779.0,18622.0,1542889231.761
4.051,3.418,90.380,0.0,0.0,2.152,15615275.0,18002268.0,0.0,0.0,0.0,0.0,7169.0,19695.0,1542889232.761
2.926,2.799,91.730,0.0,0.0,2.545,15289144.0,17622077.0,0.0,0.0,0.0,0.0,6900.0,19022.0,1542889233.761
3.181,2.672,92.112,0.0,0.0,2.036,15234932.0,17569659.0,0.0,0.0,0.0,0.0,6888.0,19043.0,1542889234.761
3.448,2.937,91.315,0.0,0.0,2.299,15948587.0,18378918.0,0.0,0.0,0.0,0.0,7270.0,20016.0,1542889235.761
3.396,3.145,91.069,0.0,0.0,2.390,15433015.0,17766735.0,0.0,0.0,0.0,0.0,7004.0,19448.0,1542889236.761
3.026,3.153,90.921,0.0,0.0,2.900,15568702.0,17953012.0,0.0,0.0,0.0,0.0,7118.0,19603.0,1542889237.761
4.0,3.375,90.250,0.0,0.0,2.375,14917639.0,17176271.0,0.0,0.0,0.0,0.0,6812.0,18917.0,1542889238.761
3.401,3.778,90.554,0.0,0.0,2.267,16408641.0,18916640.0,0.0,0.0,0.0,0.0,7498.0,20547.0,1542889239.764
4.574,3.050,89.708,0.0,0.0,2.668,14695580.0,16936148.0,0.0,0.0,0.0,0.0,6810.0,18694.0,1542889240.761
2.799,3.181,91.476,0.0,0.0,2.545,15816662.0,18226055.0,0.0,0.0,0.0,0.0,7299.0,19957.0,1542889241.761
3.453,3.197,91.688,0.0,0.0,1.662,15334256.0,17664924.0,0.0,0.0,0.0,0.0,6993.0,19238.0,1542889242.761
3.909,3.909,89.912,0.0,0.0,2.270,15141672.0,17487358.0,0.0,0.0,0.0,0.0,6951.0,19098.0,1542889243.761
3.291,2.911,90.886,0.0,0.0,2.911,16163649.0,18619238.0,0.0,0.0,0.0,0.0,7370.0,20328.0,1542889244.761
2.668,3.685,91.614,0.0,0.0,2.033,15766943.0,18167817.0,0.0,16384.0,0.0,0.0,7148.0,19760.0,1542889245.761
3.157,3.157,91.414,0.0,0.0,2.273,15055158.0,17355304.0,0.0,0.0,0.0,0.0,6887.0,18901.0,1542889246.761
3.073,2.817,91.805,0.0,0.0,2.305,16586516.0,19095438.0,0.0,0.0,0.0,0.0,7560.0,20699.0,1542889247.761
3.038,3.671,91.139,0.0,0.0,2.152,15497009.0,17863906.0,0.0,0.0,0.0,0.0,7151.0,19639.0,1542889248.761
2.554,3.321,92.337,0.0,0.0,1.788,15456271.0,17825671.0,0.0,0.0,0.0,0.0,7106.0,19559.0,1542889249.761
3.562,3.181,90.967,0.382,0.0,1.908,16396551.0,18877859.0,0.0,200704.0,0.0,0.0,7500.0,20707.0,1542889250.761
3.375,3.625,89.875,0.0,0.0,3.125,16246221.0,18731110.0,0.0,0.0,0.0,0.0,7429.0,20387.0,1542889251.761
2.767,2.767,91.195,0.0,0.0,3.270,15005812.0,17303292.0,0.0,0.0,0.0,0.0,6797.0,18932.0,1542889252.761
2.806,3.061,92.092,0.0,0.0,2.041,15144141.0,17452272.0,0.0,0.0,0.0,0.0,6920.0,19213.0,1542889253.761
2.685,3.197,91.688,0.0,0.0,2.430,15552068.0,17912437.0,0.0,0.0,0.0,0.0,7151.0,19611.0,1542889254.761
2.908,3.287,91.277,0.0,0.0,2.528,15618113.0,18009876.0,0.0,9248768.0,0.0,0.0,7141.0,19611.0,1542889255.761
3.371,4.120,89.888,0.0,0.0,2.622,16378930.0,18876936.0,0.0,0.0,0.0,0.0,7490.0,20668.0,1542889256.761
2.813,3.325,91.432,0.0,0.0,2.430,16259206.0,18728067.0,0.0,0.0,0.0,0.0,7505.0,20628.0,1542889257.761
2.699,3.213,92.159,0.0,0.0,1.928,15759190.0,18148202.0,0.0,0.0,0.0,0.0,7267.0,19931.0,1542889258.761
