PING 10.0.0.11 (10.0.0.11) 56(84) bytes of data.
64 bytes from 10.0.0.11: icmp_seq=1 ttl=64 time=0.669 ms
64 bytes from 10.0.0.11: icmp_seq=2 ttl=64 time=0.756 ms
64 bytes from 10.0.0.11: icmp_seq=3 ttl=64 time=0.792 ms
64 bytes from 10.0.0.11: icmp_seq=4 ttl=64 time=0.683 ms
64 bytes from 10.0.0.11: icmp_seq=5 ttl=64 time=0.563 ms
64 bytes from 10.0.0.11: icmp_seq=6 ttl=64 time=0.679 ms
64 bytes from 10.0.0.11: icmp_seq=7 ttl=64 time=0.607 ms
64 bytes from 10.0.0.11: icmp_seq=8 ttl=64 time=0.635 ms
64 bytes from 10.0.0.11: icmp_seq=9 ttl=64 time=0.518 ms
64 bytes from 10.0.0.11: icmp_seq=10 ttl=64 time=0.637 ms
64 bytes from 10.0.0.11: icmp_seq=11 ttl=64 time=0.604 ms
64 bytes from 10.0.0.11: icmp_seq=12 ttl=64 time=0.643 ms
64 bytes from 10.0.0.11: icmp_seq=13 ttl=64 time=1.04 ms
64 bytes from 10.0.0.11: icmp_seq=14 ttl=64 time=0.621 ms
64 bytes from 10.0.0.11: icmp_seq=15 ttl=64 time=0.599 ms
64 bytes from 10.0.0.11: icmp_seq=16 ttl=64 time=0.576 ms
64 bytes from 10.0.0.11: icmp_seq=17 ttl=64 time=0.746 ms
64 bytes from 10.0.0.11: icmp_seq=18 ttl=64 time=0.682 ms
64 bytes from 10.0.0.11: icmp_seq=19 ttl=64 time=0.780 ms
64 bytes from 10.0.0.11: icmp_seq=20 ttl=64 time=0.706 ms
64 bytes from 10.0.0.11: icmp_seq=21 ttl=64 time=2.20 ms
64 bytes from 10.0.0.11: icmp_seq=22 ttl=64 time=0.670 ms
64 bytes from 10.0.0.11: icmp_seq=23 ttl=64 time=0.856 ms
64 bytes from 10.0.0.11: icmp_seq=24 ttl=64 time=0.683 ms
64 bytes from 10.0.0.11: icmp_seq=25 ttl=64 time=1.27 ms
