latency,weight
1,0
2,0
3,17
4,3412
5,16135
6,20933
7,23075
8,24717
9,20582
10,14924
11,10268
12,7204
13,5436
14,3917
15,3039
16,2388
17,1741
18,1430
19,1095
20,894
21,726
22,609
23,564
24,462
25,439
26,353
27,326
28,284
29,266
30,249
31,245
32,240
33,230
34,214
35,196
36,198
37,184
38,187
39,193
40,199
41,153
42,179
43,174
44,162
45,166
46,147
47,130
48,110
49,82
50,83
51,85
52,87
53,64
54,55
55,52
56,51
57,62
58,61
59,57
60,54
61,44
62,45
63,49
64,61
65,51
66,48
67,41
68,51
69,45
70,33
71,39
72,39
73,42
74,28
75,36
76,28
77,37
78,26
79,20
80,18
81,18
82,15
83,23
84,25
85,18
86,11
87,16
88,12
89,6
90,6
91,10
92,7
93,10
94,13
95,7
96,7
97,10
98,3
99,2
100,6
