latency,weight
1,0
2,0
3,4
4,1175
5,9697
6,16113
7,15239
8,11543
9,8300
10,6110
11,4766
12,3603
13,3101
14,2517
15,2066
16,1702
17,1471
18,1124
19,1000
20,946
21,817
22,705
23,711
24,636
25,597
26,543
27,504
28,552
29,539
30,527
31,482
32,419
33,444
34,507
35,460
36,498
37,510
38,504
39,533
40,600
41,601
42,622
43,574
44,510
45,523
46,434
47,347
48,315
49,258
50,210
51,167
52,141
53,148
54,128
55,119
56,115
57,119
58,110
59,64
60,74
61,58
62,85
63,98
64,62
65,65
66,59
67,65
68,63
69,56
70,66
71,53
72,55
73,53
74,58
75,37
76,41
77,47
78,41
79,32
80,32
81,31
82,26
83,23
84,22
85,15
86,20
87,17
88,15
89,13
90,11
91,9
92,8
93,15
94,11
95,11
96,9
97,5
98,9
99,6
100,8
