"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Server1",,,,"User:","fmorath"
"Cmdline:","dstat -c -n --output dstat_server1_ratio_1:1_vc_2_worker_64_rep_3_sharded_false.csv -T 1 60",,,,"Date:","22 Nov 2018 17:45:48 UTC"

"total cpu usage",,,,,,"net/total",,"epoch"
"usr","sys","idl","wai","hiq","siq","recv","send","epoch"
1.678,2.515,93.409,0.854,0.0,1.544,0.0,0.0,1542908748.784
1.042,4.167,92.708,0.0,0.0,2.083,6964697.0,2330142.0,1542908749.784
3.125,5.208,89.583,0.0,0.0,2.083,8932601.0,3154690.0,1542908750.784
3.158,5.263,87.368,0.0,0.0,4.211,14177423.0,5045191.0,1542908751.784
3.158,4.211,86.316,0.0,0.0,6.316,15134630.0,5366363.0,1542908752.784
5.435,7.609,83.696,0.0,0.0,3.261,16194779.0,5771031.0,1542908753.784
3.061,9.184,82.653,0.0,0.0,5.102,16357355.0,5831506.0,1542908754.784
1.099,6.593,87.912,0.0,0.0,4.396,16667974.0,5927136.0,1542908755.784
5.102,7.143,82.653,0.0,0.0,5.102,15422380.0,5451582.0,1542908756.784
4.040,10.101,80.808,0.0,0.0,5.051,16509027.0,5866957.0,1542908757.784
6.0,9.0,79.0,0.0,0.0,6.0,16684913.0,5922184.0,1542908758.786
2.128,8.511,84.043,0.0,0.0,5.319,16095981.0,5717667.0,1542908759.784
2.062,8.247,83.505,0.0,0.0,6.186,16074675.0,5707805.0,1542908760.784
0.0,5.376,87.097,0.0,0.0,7.527,16104984.0,5746724.0,1542908761.784
3.125,8.333,83.333,0.0,0.0,5.208,15649366.0,5574701.0,1542908762.784
3.093,8.247,81.443,0.0,0.0,7.216,15701911.0,5542331.0,1542908763.784
4.082,6.122,84.694,0.0,0.0,5.102,14519982.0,5159149.0,1542908764.784
4.902,9.804,79.412,0.0,0.0,5.882,15716047.0,5597668.0,1542908765.784
2.105,7.368,86.316,0.0,0.0,4.211,16282396.0,5769777.0,1542908766.784
1.042,7.292,84.375,0.0,0.0,7.292,15478689.0,5517709.0,1542908767.784
3.191,9.574,81.915,0.0,0.0,5.319,16171011.0,5710514.0,1542908768.784
5.102,7.143,82.653,0.0,0.0,5.102,17295164.0,6151725.0,1542908769.784
1.031,9.278,83.505,0.0,0.0,6.186,14972333.0,5326867.0,1542908770.784
4.301,3.226,87.097,0.0,0.0,5.376,15444747.0,5478450.0,1542908771.784
4.167,5.208,88.542,0.0,0.0,2.083,13570668.0,4804890.0,1542908772.785
