latency,weight
1,0
2,0
3,0
4,31
5,1011
6,5242
7,10114
8,11989
9,10448
10,8245
11,5548
12,3812
13,2687
14,1950
15,1409
16,1108
17,896
18,736
19,622
20,583
21,501
22,428
23,392
24,323
25,320
26,335
27,318
28,298
29,259
30,272
31,272
32,265
33,245
34,277
35,300
36,261
37,262
38,235
39,264
40,298
41,298
42,240
43,265
44,270
45,267
46,289
47,263
48,262
49,307
50,254
51,232
52,243
53,233
54,236
55,213
56,200
57,225
58,200
59,198
60,172
61,178
62,173
63,157
64,171
65,149
66,152
67,120
68,132
69,134
70,89
71,87
72,87
73,83
74,76
75,73
76,62
77,65
78,49
79,40
80,38
81,28
82,26
83,27
84,18
85,20
86,16
87,16
88,15
89,19
90,19
91,16
92,6
93,21
94,11
95,10
96,9
97,3
98,7
99,8
100,5
101,2
102,0
103,3
104,3
105,2
106,1
107,3
108,0
109,6
110,2
111,5
112,6
113,3
114,1
115,2
116,4
117,3
118,1
119,1
120,1
121,2
122,0
123,1
124,0
125,1
126,2
127,4
128,2
129,0
130,2
131,2
132,3
133,2
134,2
135,1
136,1
137,2
138,1
139,2
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,2
154,1
155,1
156,0
157,0
158,1
159,1
160,2
161,0
162,0
163,0
164,1
165,0
166,0
167,0
168,1
169,0
170,1
171,0
172,0
173,0
174,0
175,2
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,1
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,0
199,2
200,1
