client,worker,cpu_mean,cpu_std
6,8,11.698248826291083,8.861004803814224
6,16,5.620723004694837,0.29370247372342656
6,32,5.40899061032864,0.06960546312161213
6,64,5.1339201877934295,0.2732603521188465
24,8,5.336948356807514,0.2615346448813827
24,16,5.420244131455401,0.13116961490581555
24,32,4.793183098591551,0.16646351819434269
24,64,4.842042253521128,0.3450852588551479
48,8,5.3240892018779356,0.3191311487755529
48,16,4.978276995305166,0.11648838476605261
48,32,4.612638497652584,0.039048723344815385
48,64,4.532826291079814,0.39416788597580293
96,8,5.588084507042255,0.1722310861823238
96,16,4.889633802816903,0.03906579343056078
96,32,5.0390281690140855,0.026783847048898298
96,64,4.30868075117371,0.06240845900397852
144,8,6.282352112676058,0.02870511224309025
144,16,5.422906103286387,0.17945750069516156
144,32,5.407586854460095,0.14707165821029206
144,64,5.275563380281691,0.10498931846935641
