client,worker,netsend_mean,netsend_std
6,8,143459.12206572772,3007.0915116488277
6,16,143592.67605633804,3270.812502640348
6,32,140744.1690140845,1099.2720798185053
6,64,140243.4835680751,1582.2061134140413
24,8,151958.8544600939,1026.6640187441483
24,16,151333.20187793428,1821.6411426149607
24,32,152707.93427230048,884.51939529167
24,64,152557.9295774648,360.61330768617245
48,8,150230.08920187794,155.11711071492542
48,16,151455.36150234743,949.5113410205432
48,32,150993.30046948357,738.3335296617197
48,64,150391.15023474177,12.400832357973696
96,8,149929.82629107984,68.10727458062428
96,16,150301.3943661972,437.67898948627516
96,32,152986.9530516432,1093.9982272307743
96,64,156816.15492957746,536.8349508598712
144,8,150915.9201877934,151.03403266522272
144,16,147651.60093896717,5615.267240704689
144,32,155790.9248826291,2348.203045436061
144,64,159570.13145539907,1068.3063141199982
