client,worker,netrecv_mean,netrecv_std
6,8,12260067.516431926,218137.372634919
6,16,12282766.685446009,142619.68126212197
6,32,12179560.610328639,122673.73758796863
6,64,12039495.633802818,109868.69003137785
24,8,13150800.042253518,8361.637060659396
24,16,13160465.826291079,10166.766283192252
24,32,13167698.065727701,12972.72609039965
24,64,13168283.802816903,9982.547123640712
48,8,13142075.690140845,901.8502282302181
48,16,13163318.187793426,2949.9530232804327
48,32,13176547.267605633,6180.248792939741
48,64,13175440.22065728,5960.171166199388
96,8,13160208.962441316,3214.169066346449
96,16,13160582.338028168,5468.59094474762
96,32,13171771.389671361,9960.454667450682
96,64,13185626.877934271,5423.490336299335
144,8,13155648.309859157,3198.4271321929446
144,16,13065231.986335926,143925.94921386006
144,32,13179604.154929578,8460.10972395154
144,64,13191831.615023473,6852.515979603613
