client,worker,netsend_mean,netsend_std
6,8,12074464.084507043,251249.60780465463
6,16,11893330.88262911,265531.6374276523
6,32,11516244.150234744,26132.516147016497
6,64,11653314.417840376,70570.87607835463
24,8,27229479.460093897,1776272.3813691076
24,16,27057895.0,1769040.802835969
24,32,27517362.619718313,677443.7882732183
24,64,27945936.347417843,223432.63259842928
48,8,28682544.04694836,751173.804995681
48,16,31808466.2629108,453278.44088590966
48,32,30390681.65727699,987457.8307319827
48,64,28706197.75117371,1639535.2223538505
96,8,29511245.1971831,469133.61398059316
96,16,32449112.450704228,890146.7968310793
96,32,32560188.568075117,142348.13155637056
96,64,30018916.43192488,872167.7967865922
144,8,29617943.201877933,262720.26941434277
144,16,32951363.478873238,1158416.169437894
144,32,31994198.051643193,1401436.4790174242
144,64,29575724.591549296,1812520.5241216149
