client,worker,netrecv_mean,netrecv_std
6,8,11954470.962546816,227988.05531901272
6,16,11742614.419475654,273669.4481399166
6,32,11393784.370786518,22821.579624541017
6,64,11523915.580524346,58478.10374510641
24,8,26799015.011235956,1735447.0630547854
24,16,26641270.79400749,1715386.7349884545
24,32,27099666.194756553,635000.8302839446
24,64,27488349.460674156,240564.14683155992
48,8,28260487.808988765,752227.0394590228
48,16,31306433.558052436,431580.1973888317
48,32,29907657.15355805,968622.0201261858
48,64,28255290.494382024,1587617.5256313442
96,8,29164204.333333332,495489.46228021616
96,16,31858584.539325844,881210.2201337889
96,32,32079008.98127341,130115.33687598811
96,64,29559503.992509365,797033.5692934152
144,8,29213051.38951311,256520.83470831896
144,16,32357032.0,1171780.5078417172
144,32,31468550.258426964,1349984.9761509183
144,64,29105622.389513105,1752125.654535425
192,8,29004488.224719103,911701.7969294816
192,16,32869030.340823967,1234993.2357057657
192,32,30509089.775280897,1105754.0987633106
192,64,30990621.003745317,1044045.4276926327
