client,worker,netsend_mean,netsend_std
6,8,11667906.234741783,206805.13928340664
6,16,11690667.746478872,138707.6400544147
6,32,11591264.596244132,117054.54338854099
6,64,11457311.30516432,104928.95638087222
24,8,12515152.46948357,8524.956879180518
24,16,12523991.643192487,9682.652933596573
24,32,12530445.056338027,12223.442039115276
24,64,12531403.737089202,9349.896891237988
48,8,12506089.53051643,640.7297384046159
48,16,12525975.807511738,2793.3390145616827
48,32,12538615.079812206,5976.115402844606
48,64,12537605.615023473,5669.209018575701
96,8,12523489.610328639,3756.3628218946483
96,16,12524149.69483568,5400.532606446931
96,32,12530546.380281689,9954.641022670055
96,64,12542165.366197184,4673.59722199672
144,8,12515750.887323944,2856.1591869961726
144,16,12198210.014084505,461198.4767827006
144,32,12528398.676056338,3423.084504173455
144,64,12536513.02347418,5227.258828998972
