client,worker,netrecv_mean,netrecv_std
6,8,161682.98907103823,2333.7136858576946
6,16,166296.57923497268,2232.7269058381576
6,32,162969.57923497268,3179.440190024734
6,64,167027.62841530054,2767.298408622985
24,8,317167.12021857925,9939.071107901447
24,16,321255.2076502733,8055.512810771908
24,32,316968.59016393445,5719.364243452135
24,64,303173.431693989,8036.542450834549
48,8,333190.45901639346,11936.307073673113
48,16,382061.27868852456,14764.403723193234
48,32,366910.3333333333,10370.588511461356
48,64,352305.6338797814,10017.620871341873
96,8,327615.81420765026,2748.9985406181254
96,16,398670.30054644804,2058.317796210926
96,32,385912.6229508196,15587.067978082481
96,64,369090.59016393445,14130.11912640448
144,8,331276.4480874317,17273.030302604475
144,16,412618.3224043716,7096.343223506671
144,32,383494.5737704918,32261.58555144912
144,64,370309.3169398907,19589.14702118771
192,8,338298.2841530055,17394.125485121654
192,16,418980.7049180328,16174.738319607648
192,32,406375.1202185792,12214.620437500367
192,64,362430.0273224044,11009.794271852094
240,8,324241.3278688525,11219.235439143431
240,16,424216.5683060109,4369.415008376161
240,32,396575.4754098361,15426.334195814417
240,64,401917.21311475406,7383.833144083673
