client,worker,netrecv_mean,netrecv_std
12,8,4124610.0975609757,46915.63615696054
12,16,4128612.4471544717,27821.75979721435
12,32,4135119.0813008132,10419.706918728272
12,64,4157242.227642276,11366.459911695654
24,8,4247518.910569106,11847.15381223929
24,16,4303696.276422764,25466.425880044975
24,32,7088165.130081301,3975396.9649130395
24,64,4288270.780487805,17799.76014183559
48,8,4247158.422764228,8040.3583039742325
48,16,4275622.032520325,6596.427820225358
48,32,4290269.447154471,4996.3330094856465
48,64,4294509.512195122,8993.882624996617
96,8,4266162.87804878,4858.146400525772
96,16,4317553.650406505,16594.235204514254
96,32,4340183.1707317075,5118.911762974929
96,64,4394878.983739838,15575.696469454013
144,8,4311395.260162602,2882.0803206283485
144,16,4341776.780487805,5367.26111977248
144,32,4379607.601626016,6931.035339298897
144,64,4361393.5121951215,7358.5980487125635
192,8,4320718.382113821,2386.7709677973426
192,16,4334990.593495935,2121.479129274387
192,32,4352440.0,9093.161413489135
192,64,4300199.414634146,36308.26596071983
