client,worker,netrecv_mean,netrecv_std
12,8,6820542.1544715455,34692.9899010303
12,16,6863752.747967481,43215.49984521568
12,32,6897402.723577236,32511.733966132622
12,64,6867557.772357724,41132.99991389452
24,8,6612025.349593495,39392.5596473527
24,16,6638788.487804878,14570.139377509942
24,32,6581861.8130081305,69446.79396939484
24,64,6623082.4878048785,33119.489090289906
48,8,6677558.365853659,29947.952587243242
48,16,6610459.593495935,27059.34033614011
48,32,6612888.43902439,6998.31821889528
48,64,6599118.0,19663.50502923882
96,8,6614822.967479675,36509.457916866566
96,16,6557422.650406505,282222.0052730397
96,32,6608665.902439024,13767.038216753434
96,64,6590836.016260162,7694.945444159291
144,8,6630013.317073171,64111.4853565275
144,16,6652675.1707317075,50079.59627799948
144,32,6561983.390243903,39441.62991276193
144,64,6565540.94308943,20709.735162110792
192,8,6604538.609756097,17488.687663434404
192,16,6740558.617886178,53009.09780518735
192,32,6561494.951219511,9378.235019707441
192,64,6652372.861788618,19538.305946121243
