client,worker,cpu_mean,cpu_std
12,8,9.438983739837399,0.16340748720366347
12,16,11.157089430894311,0.09450795654452236
12,32,11.969552845528456,0.21257148599488532
12,64,12.075154471544716,0.38966417372665113
24,8,8.725845528455286,0.23032118237086818
24,16,8.468146341463415,0.20190774344481713
24,32,10.711764227642277,1.348599379971482
24,64,10.423650406504066,0.15324311159905818
48,8,7.829747967479675,0.06545902937262613
48,16,7.761707317073173,0.20700766102533727
48,32,8.05147967479675,0.35895979907519543
48,64,9.668739837398375,0.5002450505325616
96,8,7.711195121951218,0.3403587118708458
96,16,7.7143089430894305,0.17560980389942188
96,32,7.705349593495936,0.020994785461887558
96,64,9.466089430894309,0.12249003785095362
144,8,8.097853658536586,0.11502011307962431
144,16,7.779528455284553,0.15863939297383395
144,32,7.56118699186992,0.11862680218584912
144,64,9.73278048780488,0.25179412459752887
192,8,8.199048780487805,0.15049773194649452
192,16,7.730878048780489,0.06943122655620135
192,32,7.5,0.242426658008534
192,64,8.742365853658537,0.14419549049976557
