client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
12,8,6214.2699999999995,38.56824859907398,2950.91,1.7081569014585773
12,16,6174.25,44.68445889419117,2951.5399999999995,1.6510804543287931
12,32,6146.759999999999,72.98951203198094,2948.2033333333334,0.584598627740169
12,64,6088.8,49.600553088314676,2953.74,5.300987329419453
24,8,8486.14,17.65614529467495,2950.7033333333334,6.951404334537238
24,16,8718.060000000001,37.236343357890064,2958.3633333333332,1.4784075516884196
24,32,8610.663333333334,23.9760941124465,2961.153333333333,17.6356463511329
24,64,8522.123333333331,65.0266367643976,2957.9966666666664,4.092931576375189
48,8,9536.503333333334,139.20446768053915,2951.2833333333333,3.2960818490376544
48,16,10452.516666666666,105.68259596021046,2954.1499999999996,1.074833320411464
48,32,10808.746666666668,50.87227164401354,2961.6699999999996,39.8018324536279
48,64,10679.106666666667,83.58916769268369,2961.7966666666666,4.924580072340092
96,8,9576.683333333332,42.09021607082651,2935.9499999999994,44.54773020779686
96,16,11296.68,29.935298005308223,2935.8733333333334,23.649441618966197
96,32,12922.470000000001,45.51703270937895,2973.3666666666672,47.54167388255864
96,64,12702.106666666668,18.241882821926996,2953.7766666666666,37.72069399620795
144,8,9671.14,33.19247605507398,2996.343333333333,15.688977730311974
144,16,11128.036666666667,92.18385409362888,2996.126666666667,21.88879825136352
144,32,13078.88,29.357360235553525,2983.609999999999,13.002799698526385
144,64,14165.643333333333,151.37935423593535,3013.296666666667,43.14407980502344
192,8,9931.39,131.05570647629088,3097.75,17.462212536407744
192,16,11158.676666666666,113.59481482689007,3111.163333333334,2.579926786213624
192,32,13046.276666666667,42.704698674605474,3107.3700000000003,5.454887716534618
192,64,14914.346666666666,59.39056733934224,3192.7333333333336,90.30781890598142
