client,worker,netsend_mean,netsend_std
6,8,147267.70491803277,997.1902009514525
6,16,146712.65573770492,384.12414383726065
6,32,146662.52459016393,827.1131656781436
6,64,146331.07103825136,878.1515629875167
24,8,150571.28961748633,226.2694208608127
24,16,151870.50273224045,1595.4288240316405
24,32,151112.09289617487,333.9164273844119
24,64,150474.43715846995,445.7674439126124
48,8,150609.53551912567,848.7660884211762
48,16,151682.3825136612,1127.7293076984254
48,32,150610.63934426228,1446.276903150868
48,64,150806.54098360657,1084.4339328706317
96,8,150529.36612021856,1608.4755328537542
96,16,152434.88524590165,1406.4258917360735
96,32,151184.5191256831,1066.8742437771168
96,64,151475.34972677598,286.22784485314435
144,8,151218.8306010929,532.2553337195603
144,16,146320.5519125683,6880.499683439857
144,32,151586.28961748633,657.5353726919849
144,64,151470.66666666666,975.3077048366617
192,8,148837.16393442624,301.88448728296754
192,16,150000.5519125683,233.58386826191082
192,32,151066.53551912567,291.2894995980339
192,64,150740.39344262294,234.56175416903434
240,8,149431.60655737703,1017.6216329612122
240,16,149638.56284153005,367.16570301200744
240,32,147219.05464480876,2063.9174309874297
240,64,148523.42076502732,1649.5001161633286
