client,worker,cpu_mean,cpu_std
6,8,3.7233715846994535,0.1054281777321326
6,16,3.7222295081967225,0.0200811174125982
6,32,3.7607049180327876,0.043470241761910916
6,64,4.197918032786885,0.00970099425922342
24,8,3.7537103825136615,0.09554801210062619
24,16,4.033234972677597,0.11623741434056281
24,32,3.9840000000000004,0.07318037560959706
24,64,4.126349726775956,0.14734094595583877
48,8,3.739054644808743,0.11031043580822712
48,16,3.8622076502732248,0.06282968812159426
48,32,4.1921967213114755,0.1233349286027896
48,64,4.304322404371585,0.12086027473054375
96,8,3.8636721311475415,0.1543914135918205
96,16,3.463213114754098,0.10066472699753842
96,32,3.6149234972677604,0.07432308074918038
96,64,4.425535519125684,0.11162119712672855
144,8,3.960579234972679,0.11376035161605708
144,16,3.927289617486339,0.5301108787138561
144,32,3.5065956284152997,0.2266504756536097
144,64,4.027311475409836,0.06164112891265921
192,8,4.111557377049182,0.08780919902337979
192,16,3.7176338797814203,0.09299199205074413
192,32,3.4585683060109282,0.07187727346527145
192,64,3.5002131147540982,0.15999943619447327
240,8,4.070092896174864,0.14751099290412645
240,16,3.5055901639344254,0.07199659706093266
240,32,3.568743169398907,0.10322630845652815
240,64,3.564431693989071,0.19062427526713485
