client,worker,netsend_mean,netsend_std
6,8,6512378.950819671,17200.90849583143
6,16,6532671.469945355,34147.099403723565
6,32,6513256.071038251,3084.8193192527183
6,64,6535541.049180328,29780.220253035055
24,8,6421062.792349727,17281.155748497404
24,16,6298144.68852459,76398.73335499743
24,32,6303457.797814208,28651.00460339421
24,64,6343293.169398907,21538.097851639355
48,8,6352411.098360655,38173.57434714719
48,16,6309864.978142076,13237.562192909221
48,32,6322188.31693989,10931.173633113993
48,64,6322160.672131147,11480.878252242092
96,8,6339625.349726775,12341.911002812814
96,16,6154235.590163934,50730.983712719906
96,32,6372747.076502733,8361.002740911594
96,64,6395088.508196722,19260.721346753307
144,8,6484454.262295082,63308.150757711854
144,16,6253478.557377049,19467.19244785531
144,32,6355714.415300547,16780.523988396617
144,64,6388032.486338798,22804.165239409787
192,8,6528038.75409836,40345.07564168371
192,16,6329413.661202185,93992.77721473943
192,32,6404005.852459017,35573.84108931834
192,64,6398266.601092896,47197.46072554916
240,8,6418740.174863388,85953.76877370605
240,16,6305245.377049181,85539.83999950695
240,32,6385986.726775956,27943.74797176243
240,64,6358956.699453552,46458.23376245807
