client,worker,netsend_mean,netsend_std
6,8,12489320.628415301,48968.684322837384
6,16,12503842.431693992,2349.5340442876327
6,32,12506702.950819671,5975.4039446029365
6,64,12512750.601092895,5809.601868380035
24,8,12538132.355191259,7378.669112452317
24,16,12541457.158469945,15676.505784356732
24,32,12543061.989071036,7864.850000324479
24,64,12548673.994535519,16427.04725575039
48,8,12515660.677595628,9796.140729913272
48,16,12507429.956284152,1449.9549848500817
48,32,12522224.50819672,9367.312192889909
48,64,12679575.732610911,215292.2170727543
96,8,12537875.87431694,7089.145341221509
96,16,12531860.792349726,9227.438487143108
96,32,12544820.267759562,4560.237662819548
96,64,12564571.737704918,4153.73026407486
144,8,12533407.797814207,11841.086019597733
144,16,12543291.109289616,5842.585162820795
144,32,12535394.032786885,11746.746670467788
144,64,12901409.311475411,16306.439283201917
192,8,12526324.19672131,10853.325777308442
192,16,12535944.169398906,6915.543907266995
192,32,12553800.825136611,13840.747552655032
192,64,12946600.617486337,21092.7149240828
240,8,12524552.934426231,9893.343178017212
240,16,12526340.267759563,10446.278751526608
240,32,12542685.027322404,7549.21217525093
240,64,12919724.546448087,22152.802770829934
