client,worker,netrecv_mean,netrecv_std
6,8,150042.08920187794,2121.154992527742
6,16,151193.661971831,698.7719883775088
6,32,151240.9201877934,1249.8759598488366
6,64,154822.99061032865,1675.5592550183671
24,8,390307.69953051646,6584.863374379045
24,16,396172.43192488264,5898.275986659406
24,32,392774.2816901409,5369.977997593399
24,64,389881.11267605633,2450.2097769243446
48,8,424726.1971830986,3512.200879588305
48,16,549235.0610328639,80625.64774712798
48,32,514221.2112676056,1579.4277018079679
48,64,506744.79342723003,1569.2630171596043
96,8,426946.39436619723,2267.5763886954446
96,16,502260.23004694836,1121.077310368922
96,32,602213.3708920187,1801.2887828317225
96,64,614416.1830985915,2653.6356096034233
144,8,421719.0187793427,4485.756922431325
144,16,500185.558685446,1771.7119500806389
144,32,605612.6056338028,1274.7307459386568
144,64,673401.2018779343,2080.3941645028685
192,8,427399.9577464789,3702.874259105711
192,16,501725.50704225356,2376.5986846350943
192,32,612608.2723004693,915.5502932087948
192,64,705965.4366197184,3820.065631428397
288,8,398919.30516431923,17798.06326966708
288,16,467052.7464788733,16360.163425109888
288,32,567080.882629108,40239.77581245041
288,64,711301.943661972,11881.130859394201
